DateTime,AddedIPs,RemovedIPs
1506953789,8,9
1506957409,6,3
1506961013,7,10
1506964637,5,7
1506968256,4,5
1506971807,5,10
1506975417,10,15
1506979009,9,4
1506982623,8,6
1506986213,13,7
1506989799,23,6
1506993351,5,6
1506996986,1,6
1507000565,6,28
1507004168,2,7
1507007783,7,7
1507011361,7,3
1507014953,3,35
1507018566,32,12
1507022209,2,7
1507025780,9,10
1507029393,8,5
1507032958,5,13
1507036593,8,4
1507040172,11,25
1507043783,9,11
1507047368,5,22
1507050995,40,7
1507054593,9,8
1507058204,7,6
1507061807,10,9
1507065407,17,12
1507068990,4,5
1507072540,4,15
1507076200,34,17
1507079767,5,24
1507083373,11,20
1507086973,33,38
1507090582,16,7
1507094196,18,8
1507097770,6,5
1507101360,6,4
1507105037,7,9
1507108572,12,12
1507112203,3,18
1507115760,7,7
1507119394,24,5
1507123005,8,6
1507126599,7,1
1507130148,3,4
1507133775,4,7
1507137370,4,5
1507140983,6,6
1507144580,6,9
1507148115,7,6
1507151737,4,5
1507155351,6,21
1507158958,10,9
1507162639,38,6
1507166166,5,11
1507169754,4,8
1507173380,3,28
1507176943,28,7
1507180542,2,9
1507184157,3,3
1507187740,16,10
1507191319,7,13
1507194934,8,3
1507198572,6,2
1507202167,3,17
1507205759,13,16
1507209316,15,5
1507212927,10,8
1507216549,9,4
1507220154,4,10
1507223732,4,7
1507227372,7,13
1507230948,5,19
1507234518,22,19
1507238172,15,2
1507241743,9,5
1507245392,12,3
1507249000,23,19
1507252523,19,5
1507256147,9,7
1507259738,7,37
1507263315,10,7
1507266937,4,10
1507270528,4,6
1507274133,10,4
1507277724,6,9
1507281359,4,3
1507284879,8,3
1507288514,4,7
1507292196,6,9
1507295741,3,11
1507299347,9,8
1507302957,10,15
1507306577,6,36
1507310169,11,6
1507313744,6,4
1507317347,7,11
1507320954,7,8
1507324539,5,11
1507328113,24,16
1507331693,34,4
1507335351,31,6
1507338969,12,6
1507342566,13,6
1507346134,1,30
1507349758,5,9
1507353335,2,5
1507356941,2,21
1507360572,10,12
1507364149,11,3
1507367730,15,6
1507371320,6,2
1507374951,5,6
1507378525,7,9
1507382128,10,16
1507385721,4,12
1507389349,8,8
1507392967,3,26
1507396522,34,7
1507400125,10,7
1507403758,7,9
1507407356,10,6
1507410925,5,27
1507414534,12,16
1507418140,9,14
1507421773,32,26
1507425393,34,5
1507428954,11,5
1507432558,15,18
1507436152,7,11
1507439794,6,8
1507443351,14,16
1507446950,9,17
1507450553,19,14
1507454161,5,15
1507457725,12,9
1507461355,13,5
1507464959,14,29
1507468579,8,10
1507472166,10,9
1507475781,8,9
1507479395,19,16
1507482954,9,8
1507486571,9,5
1507490198,16,5
1507493780,10,7
1507497390,9,22
1507500963,13,5
1507504548,25,5
1507508214,24,5
1507511766,7,2
1507515352,4,15
1507518961,11,32
1507522589,11,12
1507526126,15,6
1507529777,5,3
1507533397,6,10
1507536992,4,15
1507540612,6,25
1507544194,24,11
1507547734,9,12
1507551378,26,5
1507554994,5,7
1507558585,8,22
