DateTime,Entries,UniqueIPs
1506172067,14,14
1506175672,13,13
1506182866,11,11
1506186451,12,12
1506190093,13,13
1506197250,16,16
1506200859,15,15
1506204454,13,13
1506208074,14,14
1506211692,14,14
1506218873,15,15
1506226082,12,12
1506229669,13,13
1506233247,13,13
1506236849,11,11
1506247664,12,12
1506251274,13,13
1506254858,15,15
1506262051,13,13
1506265660,14,14
1506269283,12,12
1506272854,13,13
1506280060,11,11
1506283648,13,13
1506287286,13,13
1506290867,15,15
1506298113,16,16
1506301698,14,14
1506305293,13,13
1506308895,16,16
1506312475,14,14
1506323263,13,13
1506326884,13,13
1506330492,14,14
1506334099,15,15
1506337692,19,19
1506341277,20,20
1506348489,18,18
1506352077,17,17
1506355677,16,16
1506359294,14,14
1506362883,13,13
1506366471,13,13
1506370115,14,14
1506373679,16,16
1506377289,19,19
1506380888,21,21
1506384500,21,21
1506388077,20,20
1506391698,17,17
1506395274,13,13
1506398858,12,12
1506402488,10,10
1506424061,14,14
1506427681,15,15
1506431284,17,17
1506438492,13,13
1506442089,12,12
1506445675,15,15
1506449279,17,17
1506452862,18,18
1506460081,13,13
1506463669,11,11
1506467273,10,10
1506470914,12,12
1506474481,14,14
1506478086,15,15
1506488883,14,14
1506492466,13,13
1506496089,11,11
1506499676,13,13
1506503296,14,14
1506506874,16,16
1506514079,14,14
1506517701,12,12
1506524887,9,9
1506528459,11,11
1506532086,13,13
1506539288,13,13
1506542883,12,12
1506550071,14,14
1506553681,13,13
1506557325,14,14
1506564512,15,15
1506568104,14,14
1506571715,13,13
1506575290,18,18
1506578897,18,18
1506582492,20,20
1506586110,20,20
1506589717,16,16
1506593297,15,15
1506596911,14,14
1506600516,13,13
1506604102,15,15
1506607696,19,19
1506611298,20,20
1506614890,21,21
1506622103,19,19
1506625697,18,18
1506632897,22,22
1506636486,21,21
1506640099,20,20
1506643746,19,19
1506647283,17,17
1506650892,19,19
1506654519,18,18
1506658110,17,17
1506661681,19,19
1506665296,18,18
1506668896,19,19
1506672492,21,21
1506676099,19,19
1506679700,20,20
1506686936,16,16
1506690494,14,14
1506694084,16,16
1506701299,17,17
1506708514,16,16
1506715702,17,17
1506719291,18,18
1506722906,19,19
1506726509,22,22
1506730139,20,20
1506733701,18,18
1506737298,15,15
1506740886,8,8
1506744492,13,13
1506751695,14,14
1506758895,11,11
1506762502,15,15
1506766084,16,16
1506769682,18,18
1506773301,17,17
1506776898,15,15
1506780491,13,13
1506784099,11,11
1506787674,14,14
1506791292,17,17
1506802100,16,16
1506805695,15,15
1506809277,14,14
1506812882,15,15
1506816531,21,21
1506820094,19,19
1506823709,20,20
1506827307,19,19
1506830903,17,17
1506838119,17,17
1506841688,17,17
1506845294,18,18
1506852499,21,21
1506856106,23,23
1506859683,22,22
1506863305,23,23
1506866879,20,20
1506870492,19,19
1506874099,22,22
1506877706,23,23
1506881280,19,19
1506884915,20,20
1506888473,18,18
1506892100,16,16
1506895712,14,14
1506899291,17,17
1506902947,20,20
1506906519,22,22
1506910098,21,21
1506917301,22,22
1506920899,18,18
1506924495,19,19
1506931702,17,17
1506935317,16,16
1506938882,21,21
1506946093,23,23
1506953295,19,19
1506960498,20,20
1506971307,21,21
1506974904,17,17
1506982113,19,19
1506985696,18,18
1506989327,18,18
1506992861,17,17
1506996476,15,15
1507000085,12,12
1507003668,12,12
1507007289,14,14
1507014455,13,13
1507018054,11,11
1507021679,10,10
1507025279,12,12
1507028863,13,13
1507032450,12,12
1507036078,13,13
1507039683,12,12
1507043269,12,12
1507046877,13,13
1507050472,14,14
1507054085,13,13
1507057687,13,13
1507061283,12,12
1507064884,11,11
1507072070,10,10
1507079292,10,10
1507082884,11,11
1507093683,10,10
1507097270,9,9
1507104498,11,11
1507108081,13,13
1507118862,14,14
1507122500,15,15
1507129665,16,16
1507133265,13,13
1507136861,12,12
1507144063,11,11
1507147647,12,12
1507151268,11,11
1507162147,13,13
1507169288,13,13
1507172906,12,12
1507176483,17,17
1507180094,18,18
1507183682,17,17
1507187282,21,21
1507190878,19,19
1507201703,14,14
1507208868,17,17
1507212466,17,17
1507216087,17,17
1507223276,16,16
1507226906,16,16
1507230485,16,16
1507234071,15,15
1507237701,17,17
1507241291,18,18
1507244888,19,19
1507248521,19,19
1507252068,18,18
1507255671,16,16
1507259258,13,13
1507262868,14,14
1507266479,12,12
1507273675,11,11
1507277286,9,9
1507280892,10,10
1507288065,11,11
1507291692,12,12
1507306101,11,11
1507313291,12,12
1507316875,11,11
1507320486,10,10
1507327672,9,9
1507331276,11,11
1507334897,12,12
1507345679,11,11
1507349304,10,10
1507367283,11,11
1507370874,12,12
1507378072,14,14
1507381679,12,12
1507385263,11,11
1507388882,12,12
1507392495,11,11
1507396060,13,13
1507403276,13,13
1507410476,12,12
1507414083,11,11
1507417686,8,8
1507421318,9,9
1507424913,11,11
1507439314,9,9
1507453701,7,7
1507457298,8,8
1507460903,9,9
1507464485,12,12
1507475295,11,11
1507478899,9,9
1507493292,10,10
1507496907,9,9
1507504080,13,13
1507507725,12,12
1507511300,14,14
1507514916,13,13
1507518506,10,10
1507522118,12,12
1507525669,13,13
1507536508,12,12
1507540116,12,12
1507543697,12,12
1507547295,14,14
1507550897,15,15
1507554500,14,14
1507558100,15,15
1507561694,13,13
1507579703,10,10
1507590507,10,10
1507594132,14,14
1507601256,13,13
1507604893,9,9
1507615675,10,10
1507622897,9,9
1507666098,8,8
1507673300,7,7
1507680550,6,6
1507684104,8,8
1507687708,9,9
1507694913,8,8
1507698492,10,10
1507720104,9,9
1507738099,8,8
1507741703,10,10
1507759695,9,9
1507763292,10,10
1507770491,9,9
1507777707,9,9
1507781286,10,10
1507795705,9,9
1507810077,10,10
1507853344,13,13
1507867691,14,14
1507871303,12,12
1507874902,11,11
1507878492,11,11
1507882101,12,12
1507885699,11,11
1507889278,13,13
1507896499,14,14
1507900083,15,15
1507903693,15,15
1507907313,16,16
1507910895,16,16
1507914500,13,13
1507918102,14,14
1507925291,15,15
1507928899,16,16
1507932494,17,17
1507943287,18,18
1507946896,15,15
1507950499,13,13
1507954085,11,11
1507957659,9,9
1507968491,10,10
1507975680,9,9
1507979289,11,11
1507982892,11,11
1507993689,12,12
1507997277,11,11
1508008082,10,10
1508022469,13,13
1508026123,14,14
1508033274,15,15
1508036884,11,11
1508040495,10,10
1508044081,13,13
1508047674,14,14
1508051286,15,15
1508054892,14,14
1508058475,11,11
1508062098,12,12
1508065682,12,12
1508069293,13,13
1508076475,11,11
1508080096,13,13
1508083668,12,12
1508090882,11,11
1508094475,8,8
1508098079,10,10
1508105282,11,11
1508112516,13,13
1508126878,11,11
1508134068,8,8
1508137679,11,11
1508141283,13,13
1508152071,12,12
1508155667,10,10
1508162872,11,11
1508173673,14,14
1508177290,15,15
1508180885,15,15
1508188066,12,12
1508191669,13,13
1508195274,12,12
1508198915,14,14
1508202506,16,16
1508206063,16,16
1508209702,17,17
1508213295,17,17
1508216888,15,15
1508220489,11,11
1508224087,14,14
1508227691,15,15
1508231288,17,17
1508238481,15,15
1508242080,13,13
1508245683,14,14
1508249291,16,16
1508252868,15,15
1508256468,19,19
1508260082,20,20
1508263664,19,19
1508270896,17,17
1508274490,16,16
1508278092,15,15
1508281684,16,16
1508285305,11,11
1508288903,12,12
1508292495,10,10
1508296101,11,11
1508299712,12,12
1508303308,11,11
1508310514,10,10
1508314112,13,13
1508321310,14,14
1508324871,14,14
1508328490,12,12
1508335711,14,14
1508339307,12,12
1508342912,15,15
1508346507,16,16
1508350114,14,14
1508353685,15,15
1508357304,13,13
1508360914,11,11
1508364490,12,12
1508368091,9,9
1508378893,8,8
1508386101,9,9
1508389686,11,11
1508396888,12,12
1508400506,11,11
1508404105,9,9
1508414891,8,8
1508418512,12,12
1508422109,13,13
1508425707,14,14
1508429307,13,13
1508432892,9,9
1508436501,11,11
1508440107,12,12
1508443714,13,13
1508447317,12,12
1508450906,13,13
1508454500,14,14
1508458144,16,16
1508461693,15,15
1508468895,11,11
1508472505,10,10
1508479686,12,12
1508486897,12,12
1508494093,12,12
1508501283,10,10
1508508524,9,9
1508515673,8,8
1508519308,13,13
1508526509,14,14
1508533675,11,11
1508537303,12,12
1508540895,11,11
1508544560,11,11
1508548115,14,14
1508551727,13,13
1508555308,14,14
1508558913,14,14
1508562501,17,17
1508573318,15,15
1508576910,14,14
1508580527,15,15
1508584129,16,16
1508587703,16,16
1508591309,19,19
1508594919,19,19
1508602106,17,17
1508605708,15,15
1508616518,16,16
1508620071,17,17
1508623708,16,16
1508627307,18,18
1508630949,18,18
1508634482,17,17
1508638098,17,17
1508641693,14,14
1508645281,13,13
1508652517,12,12
1508656081,11,11
1508659688,10,10
1508670489,9,9
1508674093,10,10
1508677679,11,11
1508684900,12,12
1508692110,10,10
1508699298,11,11
1508702881,14,14
1508713704,14,14
1508717322,13,13
1508728078,13,13
1508731675,13,13
1508735263,15,15
1508742458,17,17
1508746074,15,15
1508749676,11,11
