DateTime,AddedIPs,RemovedIPs
1501646687,2,0
1501743864,0,1
1501751068,1,0
1501754672,0,1
1501761868,1,0
1501765459,0,1
1501769082,1,0
1501779874,0,1
1501787071,1,0
1501794265,0,1
1501797885,1,0
1501862675,0,1
1501866292,1,0
1501898683,0,1
1501905886,1,0
1501920292,0,1
1501923896,1,0
1501938284,0,1
1501945484,1,0
1501995887,0,1
1502078679,0,1
1502082278,1,0
1502093090,0,1
1502096685,1,0
1502100294,0,1
1502107534,1,0
1502114689,0,1
1502118280,1,0
1502147082,0,1
1502150725,1,0
1502165111,0,1
1502168704,1,0
1502215512,0,1
1502219114,1,0
1502233507,0,2
1502237132,2,0
1502258683,0,1
1502262293,1,0
1502273098,0,1
1502276697,1,0
1502283898,0,1
1502287508,1,0
1502305493,0,1
1502309088,1,0
1502337883,0,1
1502341497,1,0
1502352298,0,1
1502413512,0,1
1502417083,1,0
1502460305,0,1
1502463914,1,0
1502481896,0,1
1502485509,1,0
1502510707,0,1
1502514305,1,0
1502528708,1,0
1502553904,0,1
1502564702,1,0
1502604275,0,1
1502607877,1,0
1502687093,0,1
1502690675,1,1
1502694287,1,0
1502701477,0,1
1502705098,1,0
1502708673,0,1
1502726703,1,0
1502795080,0,1
1502816683,1,1
1502820288,1,0
1502838274,0,1
1502841908,1,0
1502856308,0,1
1502859882,1,0
1502863481,0,1
1502867076,1,0
1502899480,0,1
1502903088,1,0
1502917477,0,1
1502921088,1,0
1502931899,0,1
1502935471,1,0
1502942685,9,0
1502946284,1,0
1502949878,1,0
1502957084,0,1
1502960686,1,0
1502967878,0,1
1502978674,1,0
1503000285,0,1
1503003880,1,0
1503021921,0,1
1503036300,1,0
1503043515,0,1
1503050713,1,0
1503054317,0,1
1503057898,1,0
1503104705,0,1
1503115501,0,1
1503122708,0,1
1503126307,2,0
1503144299,0,1
1503147903,1,0
1503155098,1,0
1503183917,0,1
1503187543,1,1
1503194717,1,0
1503212708,0,1
1503227115,1,1
1503230715,1,0
1503237904,0,1
1503241509,0,1
1503248709,2,0
1503255914,0,1
1503259510,1,0
1503327910,0,1
1503335110,2,0
1503353105,0,1
1503356702,1,0
1503378318,0,1
1503381901,1,1
1503389105,1,1
1503428711,0,1
1503443116,1,0
1503464685,1,1
1503471892,1,0
1503486285,0,1
1503489888,1,0
1503493493,1,1
1503500694,1,0
1503515087,0,1
1503518683,1,0
1503533116,0,1
1503540304,1,0
1503565479,0,1
1503569080,1,0
1503590688,0,1
1503597873,1,0
1503615886,0,1
1503630284,1,1
1503637488,1,0
1503644698,0,1
1503648297,1,1
1503651892,1,0
1503673508,0,1
1503691487,0,1
1503695092,1,0
1503698694,1,0
1503720290,0,1
1503723893,1,0
1503752700,0,1
1503756305,1,0
1503777887,0,2
1503781483,1,0
1503785100,1,1
1503799487,1,0
1503813896,0,1
1503817482,0,2
1503821088,3,0
1503846282,0,1
1503857091,1,0
1503896678,0,1
1503900278,1,0
1503903895,0,1
1503911101,1,0
1503929089,0,1
1503932700,1,0
1503943478,0,1
1503950693,1,0
1503957888,0,1
1504091116,0,1
1504112708,1,0
1504177522,0,1
1504184718,1,0
1504213509,1,0
