DateTime,AddedIPs,RemovedIPs
1505686239,2,2
1505689831,2,1
1505693458,26,2
1505697050,2,0
1505700677,2,1
1505704268,2,6
1505707831,0,2
1505711445,2,3
1505715051,4,2
1505718654,2,2
1505722248,2,1
1505725840,3,2
1505729460,1,4
1505733063,0,1
1505736679,2,1
1505740246,1,2
1505743857,4,2
1505747453,0,1
1505751056,1,2
1505754660,1,1
1505758267,2,0
1505761861,1,1
1505765441,1,2
1505769067,2,1
1505772640,2,2
1505776253,1,1
1505779890,22,2
1505783437,1,2
1505787075,1,1
1505790649,2,14
1505794262,1,1
1505797841,1,3
1505801447,2,1
1505805046,1,1
1505808664,0,1
1505812252,1,1
1505819447,0,1
1505823047,1,0
1505826662,2,1
1505830574,1,1
1505834151,1,2
1505837553,0,1
1505841140,0,1
1505844741,0,2
1505848308,0,63
1505945439,66,0
1505948990,2,0
1505952673,13,0
1505956286,2,0
1505959831,1,1
1505963445,0,25
1505966996,0,1
1505970593,1,1
1505974218,1,1
1505977790,1,2
1505981443,1,1
1505985041,2,0
1505988637,0,2
1505992192,1,1
1505995816,1,1
1505999438,0,1
1506003045,2,1
1506006604,0,1
1506010245,1,1
1506013838,1,0
1506021016,2,1
1506024632,2,1
1506031852,1,0
1506035413,1,2
1506039043,16,1
1506042609,2,0
1506046227,3,1
1506049849,1,19
1506053399,1,1
1506057019,2,1
1506060648,1,3
1506064256,2,2
1506067793,0,1
1506071464,1,1
1506075009,1,2
1506078632,1,1
1506082184,0,2
1506085820,1,1
1506089402,2,1
1506096611,1,1
1506100233,1,1
1506103843,1,0
1506107410,1,2
1506111021,1,0
1506114604,1,2
1506118194,1,2
1506121831,1,1
1506125466,9,0
1506129042,2,1
1506132617,2,2
1506136244,1,21
1506139814,2,0
1506143416,0,3
1506147019,1,0
1506150628,3,1
1506154255,1,0
1506157817,0,1
1506161432,1,2
1506165019,3,1
1506168614,1,0
1506172225,2,2
1506175826,0,3
1506179423,0,2
1506183030,0,1
1506186616,4,0
1506190253,1,1
1506193847,4,0
1506197418,1,3
1506201024,1,1
1506204619,1,2
1506208241,2,1
1506211867,11,1
1506215440,2,3
1506219032,3,1
1506222635,1,15
1506226244,1,2
1506229834,1,1
1506233417,2,0
1506237003,2,0
1506240629,1,2
1506244227,1,2
1506251439,1,2
1506258620,1,2
1506262210,2,1
1506265826,1,3
1506273019,2,1
1506276652,0,2
1506280222,4,0
1506283811,0,1
1506287438,2,2
1506291034,2,0
1506294625,2,1
1506298270,20,1
1506301858,1,2
1506305470,0,1
1506309073,0,18
1506312652,1,1
1506316255,1,1
1506319868,1,1
1506323438,1,2
1506327055,1,1
1506330654,1,0
1506334265,0,2
1506337856,1,1
1506341452,2,0
1506345056,2,2
1506348659,2,0
1506352254,1,2
1506359444,1,2
1506363052,0,2
1506366618,1,1
1506370278,2,0
1506373829,1,1
1506377447,1,0
1506381033,1,2
1506384666,17,3
1506388257,1,1
1506391856,1,1
1506395447,0,10
1506399018,1,1
1506402659,0,2
1506406245,0,1
1506409836,0,1
1506413445,1,0
1506417028,1,0
1506420637,1,0
1506424215,1,1
1506427832,1,1
1506431462,0,1
1506435044,0,1
1506438660,1,1
1506442244,1,0
1506445842,1,0
1506449452,0,1
1506453017,1,1
1506460239,1,0
1506463838,0,1
1506467434,1,1
1506471075,7,1
1506478252,0,1
1506481857,0,11
1506557489,17,0
1506568272,0,17
1506643922,12,0
1506647451,1,0
1506651068,1,0
1506654678,1,17
1506658287,0,1
1506661847,1,2
1506665468,1,0
1506669068,0,1
1506679865,1,0
1506683487,1,1
1506687105,1,1
1506690668,1,0
1506694262,1,1
1506697890,1,1
1506701481,0,1
1506712264,1,1
1506715872,1,0
1506719455,1,1
1506723067,0,1
1506726664,1,1
1506730324,17,1
1506733868,2,0
1506737463,0,1
1506741055,1,7
1506744670,1,1
1506748285,1,1
1506751864,1,1
1506755462,1,1
1506759069,1,1
1506762682,1,1
1506766246,1,1
1506769870,1,1
1506773479,0,1
1506777063,1,1
1506780672,1,0
1506784275,1,1
1506787842,1,1
1506791472,1,1
1506795070,1,1
1506798656,0,1
1506802274,1,1
1506805873,1,0
1506809455,1,1
1506813069,0,1
1506816710,37,0
1506823893,1,2
1506827464,0,15
1506831065,0,1
1506834665,1,0
1506838302,1,1
1506841863,1,0
1506845478,1,1
1506849055,1,1
1506852679,0,1
1506856289,1,0
1506859866,0,1
1506863491,1,0
1506867057,0,1
1506870683,1,0
1506874282,0,1
1506877887,1,2
1506881465,2,0
1506885096,1,1
1506888645,1,1
1506892283,0,1
1506895893,1,1
1506899453,1,1
1506903106,17,1
1506910276,0,1
1506913881,0,11
1506975078,0,1
1506982297,1,0
1506989479,11,0
1507000250,0,15
1507036260,0,1
1507043442,1,0
1507054258,0,1
1507057870,1,0
1507075876,22,0
1507083060,0,1
1507086657,0,35
1507090257,0,1
1507158657,0,1
1507162325,12,0
1507165871,1,0
1507173081,0,17
1507248677,15,0
1507252238,2,0
1507255842,1,0
1507259436,1,15
1507263014,1,1
1507266651,1,1
1507270243,0,1
1507273848,1,1
1507277440,1,0
1507281052,1,1
1507284604,0,1
1507288236,1,1
1507295451,0,1
1507299047,1,0
1507309868,0,1
1507317044,1,0
1507324255,0,1
1507327832,1,0
1507335055,22,1
1507338645,2,1
1507342263,1,2
1507345850,0,22
1507349472,1,1
1507360254,1,1
1507363858,0,1
1507367454,1,0
1507374659,1,0
1507378224,0,1
1507389062,0,1
1507396228,1,0
1507399827,1,0
1507403453,1,2
1507407065,1,1
1507410640,1,1
1507414238,1,1
1507421477,16,1
1507425074,2,1
1507428654,2,0
1507432271,1,12
1507435875,1,1
1507439493,2,1
1507443050,2,1
1507446642,0,2
1507450243,0,1
1507453861,2,2
1507457443,1,1
1507461047,1,0
1507464642,1,1
1507471862,1,1
1507475474,2,1
1507479070,2,2
1507482637,0,2
1507486258,1,1
1507489862,2,1
1507493460,2,0
1507497089,0,2
1507500670,1,0
1507504245,2,1
1507507889,6,0
1507511476,1,1
1507515082,0,2
1507518673,0,18
1507522289,1,1
1507525834,2,0
1507529480,1,0
1507533075,0,1
1507536681,1,1
1507540286,0,1
1507543874,1,0
1507547452,1,2
1507551075,0,1
1507554666,1,1
1507558265,2,0
1507561857,1,1
1507565476,1,1
1507569053,1,0
1507572677,0,2
1507576281,1,2
1507583472,1,0
1507590672,2,1
1507594294,32,2
1507597887,1,0
1507601409,1,1
1507605064,2,21
1507608665,2,0
1507612247,0,2
1507615834,1,1
1507619463,1,1
1507626667,1,1
1507630256,1,1
1507637461,1,1
1507641061,0,1
1507644644,0,1
1507648262,1,0
1507655438,1,2
1507662656,1,1
1507666264,2,0
1507669845,1,0
1507673467,0,1
1507677071,1,1
1507680701,10,0
1507684269,0,1
1507687875,1,2
1507691452,0,16
1507695071,0,1
1507698656,0,1
1507702274,1,0
1507705883,1,0
1507709474,2,0
1507713052,1,1
1507716663,0,1
1507720266,0,2
1507727477,1,0
1507731086,1,0
1507738259,0,1
1507741866,1,0
1507745480,0,1
1507749090,1,0
1507752658,1,0
1507759856,1,0
1507763464,0,1
1507767101,12,1
1507770649,0,1
1507774258,0,1
1507777881,0,7
1507853527,16,0
1507857078,3,0
1507864278,0,32
1507878676,0,1
1507882269,1,0
1507911073,0,1
1507914682,1,0
1507939895,27,0
1507943468,1,0
1507947082,1,0
1507950682,0,10
1507954261,0,2
1507957822,1,0
1507961444,1,0
1507965082,1,1
1507968666,0,1
1507972267,1,1
1507983068,1,1
1507986663,1,1
1507990247,2,0
1507993871,0,1
1507997448,1,1
1508001065,0,1
1508004663,1,0
1508011844,1,0
1508019071,1,1
1508022644,1,1
1508026303,15,1
1508029856,1,0
1508033452,0,1
1508037043,1,13
1508040667,1,0
1508044250,1,1
1508047833,0,1
1508051444,1,1
1508058641,1,1
1508062262,1,0
1508065839,0,1
1508069468,1,1
1508073037,1,0
1508076651,1,1
1508083845,0,1
1508087454,1,1
1508091050,1,0
1508094638,0,1
1508098248,1,0
1508101855,1,1
1508105458,1,1
1508109058,1,1
1508112672,17,1
1508119867,0,1
1508123436,0,17
1508127037,1,1
1508130649,1,0
1508137851,1,1
1508145066,0,1
1508148627,0,1
1508152247,1,0
1508155832,1,0
1508163047,0,1
1508173848,1,0
1508177472,1,1
1508181047,1,1
1508184669,1,1
1508188237,1,1
1508191836,1,0
1508195441,1,1
1508199078,17,1
1508202667,0,1
1508206243,0,1
1508209867,0,29
1508285466,10,0
1508296277,0,15
1508317886,0,1
1508343092,1,0
1508353850,0,1
1508371908,9,0
1508382683,0,14
1508389855,0,1
1508404269,1,0
1508433068,0,1
1508436673,1,0
1508458307,16,0
1508465479,0,1
1508469062,0,20
1508544729,13,0
1508548298,1,0
1508555483,0,10
1508573482,0,1
1508577074,1,0
1508595090,0,1
1508609487,1,0
1508631121,8,0
1508641860,0,10
1508652698,1,0
1508667083,0,1
1508670654,1,0
1508685074,0,1
1508692288,1,0
1508717492,13,0
1508728249,0,16
