DateTime,AddedIPs,RemovedIPs
1502892091,1,0
1502899293,2,0
1502906492,0,1
1502913691,0,2
1502920889,1,0
1502935291,0,1
1502938891,1,0
1502953253,0,2
1502960492,2,0
1502964094,1,0
1502974890,0,1
1502982090,1,1
1502996492,0,1
1503000093,1,0
1503014492,0,1
1503025301,1,0
1503039700,0,1
1503054061,0,1
1503061301,1,0
1503079300,1,1
1503090100,1,0
1503093696,1,0
1503097298,1,0
1503108101,0,1
1503111700,0,1
1503115299,1,0
1503118902,0,1
1503126100,0,1
1503129696,1,0
1503151296,1,1
1503158498,1,0
1503165701,0,1
1503169301,1,0
1503172897,0,1
1503180095,1,0
1503183701,1,1
1503194498,0,1
1503198101,0,1
1503219705,1,0
1503234097,1,1
1503248500,0,1
1503284462,0,1
1503288100,1,0
1503302463,0,1
1503306098,1,0
1503313301,1,0
1503324094,2,0
1503327702,0,1
1503338499,0,2
1503342100,1,0
1503349301,1,0
1503352897,0,1
1503356498,1,1
1503360104,1,0
1503370902,0,1
1503374498,0,1
1503385300,1,0
1503396098,1,0
1503399697,0,1
1503410501,0,1
1503421294,1,0
1503435697,0,1
1503468053,0,1
1503475292,1,0
1503478890,1,0
1503486090,1,0
1503489691,0,1
1503514891,0,1
1503547290,1,0
1503554491,1,0
1503561691,0,1
1503568890,3,1
1503583292,0,3
1503615690,1,0
1503630099,1,0
1503637300,1,0
1503644498,0,2
1503651702,0,1
1503673299,1,0
1503680498,1,0
1503687699,1,1
1503691296,0,1
1503694899,1,1
1503698499,2,0
1503702101,0,1
1503709298,0,1
1503712901,0,1
1503723702,1,0
1503738100,0,1
1503774102,1,0
1503781302,1,0
1503788498,0,1
1503792103,1,0
1503795698,1,0
1503799300,1,0
1503806501,0,1
1503810101,2,2
1503813701,0,1
1503824501,0,2
1503853299,1,0
1503856899,1,0
1503867703,0,1
1503871301,0,1
1503878466,0,1
1503882098,1,0
1503885700,1,0
1503889300,1,0
1503896499,0,1
1503900102,0,1
1503950463,0,1
1503954098,1,0
1503986502,1,0
1503990102,1,0
1504000902,1,1
1504004498,0,1
1504018899,0,1
1504026103,2,0
1504040503,0,2
1504065702,1,0
1504080102,0,1
1504098101,1,0
1504112501,0,1
1504134063,0,1
1504137701,2,0
1504141298,1,0
1504148500,1,0
1504155699,0,1
1504159299,0,1
1504162902,0,1
1504188102,1,0
1504216896,0,1
1504224102,1,0
1504227703,0,1
1504238460,0,1
1504242100,1,0
1504256497,1,0
1504263701,0,1
1504270892,1,1
1504353664,0,1
1504357298,1,0
1504360897,1,0
1504371703,0,1
1504375260,0,1
1504378899,2,0
1504389702,1,0
1504393299,0,2
1504454492,1,0
1504483257,0,2
1504486902,1,0
1504490501,1,0
1504494099,1,0
1504501298,0,1
1504508499,0,1
1504573303,1,0
1504587693,1,1
1504591302,1,0
1504598498,0,1
1504602100,0,1
1504605700,1,1
1504616502,1,0
1504620100,0,1
1504623702,1,0
1504630898,0,1
1504666901,1,0
1504681301,0,1
1504728104,1,0
1504742504,0,1
1504764101,2,0
1504771302,1,0
1504778498,0,1
1504785700,1,1
1504800100,0,1
1504803701,1,0
1504807300,3,0
1504818100,0,2
1504821703,1,0
1504825300,0,3
1504836101,0,1
1504846900,1,0
1504857702,1,0
1504872099,0,1
1504886508,1,0
1504900904,0,1
1504911702,0,1
1504918894,1,0
1504936892,1,0
1504940493,1,0
1504951292,0,1
1504954891,0,1
1504969292,0,1
1504990890,1,0
1505005291,1,1
1505059292,0,1
1505066490,1,0
1505077289,1,0
1505080887,1,0
1505095302,0,1
1505106101,0,1
1505113302,1,0
1505120503,1,0
1505127703,1,1
1505131300,0,1
1505134901,1,1
1505142098,0,1
1505149302,1,0
1505152897,1,0
1505163704,0,1
1505167298,0,1
1505206897,0,1
1505214101,1,0
1505242902,1,0
1505257303,0,1
1505264505,0,1
1505275301,1,0
1505293299,1,0
1505304097,0,1
1505307696,0,1
1505318501,1,0
1505325701,2,0
1505332900,1,1
1505347304,0,1
1505354502,0,1
1505390501,0,1
1505401300,1,0
1505415697,0,1
1505422899,1,0
1505426500,0,0
1505430100,0,0
1505433700,1,0
1505448095,0,1
1505473302,0,1
1505480503,4,0
1505494899,1,3
1505502102,0,1
1505530892,1,0
1505545294,0,1
1505574090,1,0
1505577691,1,0
1505588491,0,1
1505592092,0,2
1505595692,1,0
1505610097,1,0
1505613693,1,0
1505624493,3,1
1505628091,0,1
1505638893,0,3
1505649694,0,1
1505653291,1,0
1505696497,1,0
1505707299,0,1
1505710901,2,1
1505725302,0,1
1505757700,0,1
1505761300,1,0
1505764901,1,0
1505775699,0,1
1505779302,0,1
1505782895,1,0
1505786498,1,0
1505797298,0,1
1505829696,0,1
1505833303,1,0
1505847663,0,2
1505944898,1,0
1505948494,1,0
1505962895,0,1
1505977296,4,0
1505991699,1,3
1506006095,0,1
1506024095,0,1
1506027694,1,0
1506042098,0,1
1506052895,1,0
1506060096,1,0
1506067295,0,1
1506099690,2,0
1506114068,0,1
1506121270,1,0
1506132093,0,1
1506135691,0,2
1506146490,1,0
1506160891,1,0
1506175288,1,1
1506189692,0,1
1506222091,1,0
1506236490,1,1
1506247291,1,0
1506250894,0,1
1506258089,1,1
1506261693,0,1
1506283291,1,0
1506308500,0,1
1506312101,1,1
1506315703,1,0
1506330101,0,1
1506344502,4,0
1506358896,0,4
1506373298,1,0
1506376902,1,0
1506387698,0,1
1506391298,0,1
1506445302,1,0
1506448898,3,0
1506463300,0,3
1506466898,0,1
1506470501,0,1
1506474095,2,0
1506481303,1,0
1506488501,0,2
1506499299,1,0
1506510094,1,0
1506513698,0,1
1506520901,1,0
1506524502,0,1
1506535298,1,1
1506549699,0,1
1506567700,3,0
1506582101,0,3
1506603701,0,1
1506610903,2,0
1506628900,0,1
1506632501,1,0
1506636099,0,1
1506639700,1,0
1506654104,0,1
1506661303,1,0
1506675703,0,1
1506747701,0,1
1506754900,1,0
1506780101,0,1
1506805300,1,0
1506823301,0,1
1506826900,1,0
1506834101,1,0
1506841304,0,1
1506855699,2,1
1506859300,1,0
1506862899,1,0
1506870102,0,2
1506884501,1,0
1506891696,0,1
1506898902,0,1
1506934903,1,1
1506938501,1,0
1506956499,0,1
1506963702,2,0
1506978094,0,2
1506999691,1,0
1507014090,1,1
1507021292,1,0
1507024887,1,0
1507028491,0,1
1507035690,0,1
1507039292,1,0
1507050092,0,1
1507053689,0,1
1507064491,0,1
1507089702,1,0
1507107698,3,0
1507122100,0,3
1507150899,1,0
1507154501,0,1
1507158101,1,0
1507165300,0,1
1507176100,1,0
1507190496,0,1
1507201301,1,0
1507204896,1,0
1507215702,0,1
1507219303,0,1
1507222899,1,0
1507262501,1,0
1507266103,0,1
1507273301,1,0
1507276902,1,1
1507291302,0,1
1507294903,1,1
1507309302,1,1
1507316499,1,0
1507330899,0,1
1507348897,1,1
1507363302,1,1
1507384899,1,0
1507388499,0,1
1507399293,0,1
1507406502,1,0
1507428099,1,0
1507453300,0,1
1507456899,1,1
1507471302,1,1
1507482099,0,1
1507485700,1,0
1507500101,1,1
1507507300,1,0
1507514489,0,1
1507521693,1,0
1507536092,0,1
1507546891,0,1
1507554095,1,0
1507579292,0,2
1507582891,1,0
1507586490,2,0
1507604491,0,1
1507611693,0,1
1507615291,1,0
1507629690,0,1
1507636890,1,1
1507665692,1,0
1507669292,1,0
1507680094,0,1
1507694499,1,0
1507698102,0,1
1507701696,1,0
1507723298,0,1
1507726901,0,1
1507730502,1,0
1507734103,0,1
1507737701,1,0
1507755700,0,1
1507762896,1,0
1507766502,1,0
1507770099,0,1
1507773698,1,0
1507777300,0,1
1507780894,0,1
1507791697,1,0
1507813301,1,0
1507827700,0,1
1507831303,1,0
1507834898,1,1
1507838501,1,0
1507845699,0,1
1507863701,0,1
1507899701,0,1
1507903304,1,0
1507939301,1,0
1507953698,0,1
1507971702,1,0
1507986100,0,1
1508004100,0,1
1508007696,1,0
1508029298,1,0
1508043702,0,1
1508047299,0,1
1508050899,1,0
1508140891,1,0
1508158891,0,1
1508162491,0,1
1508166091,2,0
1508180492,0,1
1508202094,1,1
1508205692,1,0
1508220093,1,0
1508227293,0,1
1508234490,0,1
1508292102,0,1
1508306499,1,0
1508335303,1,0
1508349701,0,1
1508353298,0,1
1508374901,1,0
1508378498,1,0
1508382100,1,0
1508392898,0,1
1508396498,0,1
1508414498,1,0
1508428902,0,1
1508436097,1,0
1508443300,0,1
1508446900,1,0
1508457702,0,1
1508461296,0,1
1508464900,1,0
1508479298,0,1
1508486502,3,0
1508497298,1,0
1508511699,0,1
1508522496,0,3
1508526103,1,0
1508540500,2,1
1508544103,1,0
1508547697,0,1
1508554897,1,0
1508558502,0,2
1508562100,0,1
1508569299,1,1
1508598102,0,1
1508601699,1,0
1508623302,1,0
1508626899,2,0
1508637699,0,1
1508662903,0,2
1508677298,1,0
1508691701,2,1
1508698901,2,0
1508706096,0,2
1508713299,0,3
1508716902,1,0
1508738491,2,0
1508749291,1,1
