DateTime,Entries,UniqueIPs
1502866889,2,2
1502888492,1,1
1502892091,2,2
1502899293,4,4
1502906492,3,3
1502913691,1,1
1502920889,2,2
1502935291,1,1
1502938891,2,2
1502953253,0,0
1502960492,2,2
1502964094,3,3
1502974890,2,2
1502982090,2,2
1502996492,1,1
1503000093,2,2
1503014492,1,1
1503025301,2,2
1503039700,1,1
1503054061,0,0
1503061301,1,1
1503079300,1,1
1503090100,2,2
1503093696,3,3
1503097298,4,4
1503108101,3,3
1503111700,2,2
1503115299,3,3
1503118902,2,2
1503126100,1,1
1503129696,2,2
1503151296,2,2
1503158498,3,3
1503165701,2,2
1503169301,3,3
1503172897,2,2
1503180095,3,3
1503183701,3,3
1503194498,2,2
1503198101,1,1
1503219705,2,2
1503234097,2,2
1503248500,1,1
1503284462,0,0
1503288100,1,1
1503302463,0,0
1503306098,1,1
1503313301,2,2
1503324094,4,4
1503327702,3,3
1503338499,1,1
1503342100,2,2
1503349301,3,3
1503352897,2,2
1503356498,2,2
1503360104,3,3
1503370902,2,2
1503374498,1,1
1503385300,2,2
1503396098,3,3
1503399697,2,2
1503410501,1,1
1503421294,2,2
1503435697,1,1
1503468053,0,0
1503475292,1,1
1503478890,2,2
1503486090,3,3
1503489691,2,2
1503514891,1,1
1503547290,2,2
1503554491,3,3
1503561691,2,2
1503568890,4,4
1503583292,1,1
1503615690,2,2
1503630099,3,3
1503637300,4,4
1503644498,2,2
1503651702,1,1
1503673299,2,2
1503680498,3,3
1503687699,3,3
1503691296,2,2
1503694899,2,2
1503698499,4,4
1503702101,3,3
1503709298,2,2
1503712901,1,1
1503723702,2,2
1503738100,1,1
1503774102,2,2
1503781302,3,3
1503788498,2,2
1503792103,3,3
1503795698,4,4
1503799300,5,5
1503806501,4,4
1503810101,4,4
1503813701,3,3
1503824501,1,1
1503853299,2,2
1503856899,3,3
1503867703,2,2
1503871301,1,1
1503878466,0,0
1503882098,1,1
1503885700,2,2
1503889300,3,3
1503896499,2,2
1503900102,1,1
1503950463,0,0
1503954098,1,1
1503986502,2,2
1503990102,3,3
1504000902,3,3
1504004498,2,2
1504018899,1,1
1504026103,3,3
1504040503,1,1
1504065702,2,2
1504080102,1,1
1504098101,2,2
1504112501,1,1
1504134063,0,0
1504137701,2,2
1504141298,3,3
1504148500,4,4
1504155699,3,3
1504159299,2,2
1504162902,1,1
1504188102,2,2
1504216896,1,1
1504224102,2,2
1504227703,1,1
1504238460,0,0
1504242100,1,1
1504256497,2,2
1504263701,1,1
1504270892,1,1
1504353664,0,0
1504357298,1,1
1504360897,2,2
1504371703,1,1
1504375260,0,0
1504378899,2,2
1504389702,3,3
1504393299,1,1
1504454492,2,2
1504483257,0,0
1504486902,1,1
1504490501,2,2
1504494099,3,3
1504501298,2,2
1504508499,1,1
1504573303,2,2
