DateTime,AddedIPs,RemovedIPs
1507662749,3,1
1507664655,2,31
1507666581,2,21
1507668500,3,5
1507670410,3,1
1507672340,2,0
1507674263,1,2
1507676183,2,1
1507678120,3,1
1507680019,0,4
1507681968,0,1
1507683989,3,1
1507685795,0,4
1507687691,4,0
1507689631,3,1
1507691554,0,1
1507693472,8,4
1507695375,4,0
1507697315,3,4
1507699236,3,1
1507701139,5,3
1507703065,1,3
1507705002,0,1
1507706912,2,4
1507708899,1,2
1507710769,1,0
1507712675,1,2
1507714580,1,4
1507716522,4,9
1507718424,3,3
1507720359,2,0
1507722266,3,4
1507724207,0,3
1507726095,1,5
1507728031,0,2
1507729959,2,4
1507731889,1,1
1507733784,0,1
1507735709,5,1
1507737874,4,1
1507740043,0,2
1507741955,0,2
1507743870,8,2
1507747296,11,4
1507749402,3,3
1507751336,3,1
1507753240,3,2
1507755192,2,3
1507757054,1,3
1507759029,53,2
1507760892,26,1
1507762915,3,1
1507764761,1,3
1507766730,1,0
1507768571,5,0
1507770542,125,2
1507772433,278,1
1507774374,84,2
1507776253,2,1
1507778485,0,1
1507780342,2,7
1507782548,2,0
1507785450,0,5
1507787307,1,7
1507789288,4,1
1507793171,36,3
1507794979,40,0
1507797198,43,1
1507799058,40,1
1507801080,39,3
1507802896,17,2
1507804850,26,2
1507806748,34,2
1507808699,15,3
1507810594,24,0
1507812552,34,0
1507814438,7,3
1507816377,16,3
1507818269,19,0
1507820232,26,0
1507822096,32,4
1507824991,79,2
1507826891,56,0
1507828903,35,3
1507830726,40,1
1507832724,47,1
1507834580,42,1
1507836618,36,1
1507838437,47,1
1507840438,49,1
1507842274,55,1
1507844272,20,0
1507846091,2,29
1507848089,27,1
1507849953,2,2
1507851923,10,3
1507854045,2,3
1507855968,0,3
1507857876,3,213
1507859782,1,268
1507861697,3,3
1507864583,2,3
1507866500,2,3
1507868418,1,4
1507870346,1,3
1507872270,5,0
1507874185,2,2
1507876108,2,4
1507878059,3,1
1507879953,1,40
1507881871,2,47
1507883799,2,33
1507885708,2,51
1507887617,3,34
1507889550,0,16
1507891468,0,28
1507893381,2,40
1507895552,0,10
1507897478,3,26
1507899418,1,34
1507901307,0,5
1507904188,2,24
1507906119,1,19
1507908178,4,38
1507910252,0,57
1507912112,2,56
1507914289,0,53
1507916167,1,28
1507917991,2,42
1507919805,3,59
1507922077,5,27
1507924105,2,49
1507926010,2,50
1507927928,1,55
1507929818,1,37
1507931765,2,2
1507933569,0,73
1507935618,1,4
1507937540,2,9
1507939461,0,6
1507941377,1,0
1507943286,3,0
1507945167,3,1
1507947399,6,2
1507949414,0,3
1507951656,6,2
1507953456,0,2
1507955558,0,2
1507957484,1,3
1507959387,1,4
1507961565,2,2
1507963470,1,3
1507965399,1,5
1507967312,1,0
1507969219,1,4
1507971139,1,3
1507973064,1,2
1507974996,1,1
1507977156,0,1
1507979356,2,1
1507981226,1,4
1507983157,4,0
1507985082,0,3
1507986989,26,0
1507988904,20,1
1507990817,19,1
1507992742,2,3
1507994660,5,2
1507996594,3,0
1507998524,1,1
1508001407,1,1
1508003362,0,1
1508005241,0,1
1508007382,2,4
1508009308,1,2
1508011301,2,1
1508013148,1,1
1508015140,1,0
1508016996,2,0
1508018987,1,0
1508020817,3,0
1508022829,0,3
1508024660,1,0
1508028508,1,0
1508030487,2,2
1508032348,3,3
1508034326,2,3
1508036187,1,0
1508038148,4,8
1508041004,1,4
1508042915,3,2
1508044818,4,2
1508046763,1,1
1508048659,1,4
1508050593,12,3
1508052497,9,4
1508054471,4,0
1508056363,1,1
1508058274,0,3
1508060188,33,0
1508062104,42,0
1508064032,38,1
1508065961,36,1
1508067875,44,4
1508069809,22,3
1508071709,19,0
1508073879,41,32
