DateTime,Entries,UniqueIPs
1508361853,8203,8203
1508362587,8217,8217
1508363566,8185,8185
1508364257,8180,8180
1508365353,8179,8179
1508366060,8145,8145
1508366914,8056,8056
1508368610,8031,8031
1508369298,8042,8042
1508370013,8034,8034
1508370733,8036,8036
1508371466,8009,8009
1508372183,8022,8022
1508372917,7990,7990
1508373861,7969,7969
1508374839,7970,7970
1508375544,7977,7977
1508376276,7988,7988
1508376969,7988,7988
1508377961,7973,7973
1508378660,7962,7962
1508379381,7960,7960
1508380090,7935,7935
1508380838,7955,7955
1508381540,7949,7949
1508382262,7939,7939
1508382972,7951,7951
1508383695,7938,7938
1508384420,7942,7942
1508385130,7941,7941
1508385859,7929,7929
1508386583,7923,7923
1508387554,7922,7922
1508388254,7921,7921
1508388970,7911,7911
1508389968,7910,7910
1508390652,7920,7920
1508391377,7903,7903
1508392348,7901,7901
1508393056,7908,7908
1508393784,7916,7916
1508394501,7920,7920
1508395228,7923,7923
1508396192,7922,7922
1508396896,7937,7937
1508397613,7929,7929
1508398591,7921,7921
1508399302,7935,7935
1508400052,7938,7938
1508400993,7941,7941
1508401958,7941,7941
1508402659,7946,7946
1508403385,7948,7948
1508404099,7942,7942
1508404834,7941,7941
1508405794,7973,7973
1508406500,7965,7965
1508407223,7966,7966
1508407929,7981,7981
1508408654,7973,7973
1508409630,7981,7981
1508410328,7983,7983
1508411067,7981,7981
1508411772,7996,7996
1508412493,7992,7992
1508413219,8013,8013
1508413942,8004,8004
1508414673,8069,8069
1508415393,8057,8057
1508416351,7986,7986
1508417302,7983,7983
1508418009,8055,8055
1508418741,8040,8040
1508419451,8167,8167
1508420184,8163,8163
1508421149,8217,8217
1508421857,8205,8205
1508422589,8215,8215
1508423301,8239,8239
1508424028,8225,8225
1508424988,8244,8244
1508425945,8227,8227
1508426651,8221,8221
1508427374,8229,8229
1508428093,8241,8241
1508428838,8284,8284
1508429531,8276,8276
1508430255,8299,8299
1508430986,8312,8312
1508431712,8305,8305
1508432673,8295,8295
1508433652,8311,8311
1508434342,8316,8316
1508435053,8286,8286
1508435779,8315,8315
1508436509,8305,8305
1508437219,8296,8296
1508437952,8273,8273
1508438655,8279,8279
1508439370,8279,8279
1508440348,8262,8262
1508441050,8259,8259
1508441773,8268,8268
1508442497,8263,8263
1508443232,8246,8246
1508444211,8269,8269
1508444889,8273,8273
1508445628,8278,8278
1508446339,8257,8257
1508447066,8261,8261
1508448037,8238,8238
1508448743,8253,8253
1508450487,8226,8226
1508451137,8237,8237
1508451872,8232,8232
1508452567,8242,8242
1508453294,8203,8203
1508454033,8211,8211
1508454749,8220,8220
1508455457,8195,8195
1508456176,8222,8222
1508456896,8212,8212
1508457612,8191,8191
1508458330,8199,8199
1508459049,8184,8184
1508459774,8183,8183
1508460757,8175,8175
1508461457,8177,8177
1508462178,8170,8170
1508462890,8169,8169
1508463627,8164,8164
1508464338,8170,8170
1508465304,8156,8156
1508466271,8147,8147
1508466968,8160,8160
1508467699,8156,8156
1508468417,8160,8160
1508469143,8175,8175
1508469850,8162,8162
1508470829,8151,8151
1508471540,8131,8131
1508472260,8150,8150
1508472982,8154,8154
1508473705,8169,8169
1508474408,8151,8151
1508475131,8168,8168
1508475860,8156,8156
1508476596,8150,8150
1508477573,8145,8145
1508478504,8153,8153
1508479220,8165,8165
1508479953,8195,8195
1508480650,8216,8216
1508481426,8196,8196
1508482354,8197,8197
1508483571,8257,8257
1508484254,8262,8262
1508485232,8286,8286
1508485929,8268,8268
1508486664,8294,8294
1508487962,8335,8335
1508488569,8325,8325
1508489553,8334,8334
1508490513,8326,8326
1508491223,8335,8335
1508491946,8351,8351
1508492649,8364,8364
1508493411,8373,8373
1508494353,8385,8385
1508495054,8392,8392
1508495772,8391,8391
1508496493,8409,8409
1508497242,8411,8411
1508498199,8418,8418
1508499157,8414,8414
1508499853,8399,8399
1508500585,8398,8398
1508501297,8332,8332
1508502035,8419,8419
1508502736,8422,8422
1508503465,8422,8422
1508504175,8438,8438
1508504910,8435,8435
1508505871,8422,8422
1508506825,8430,8430
1508507538,8425,8425
1508508269,8430,8430
1508508980,8412,8412
1508509710,8399,8399
1508510665,8416,8416
1508511646,8415,8415
1508512596,8428,8428
1508513547,8449,8449
1508514250,8474,8474
1508514998,8475,8475
1508515688,8480,8480
1508516431,8476,8476
1508517399,8474,8474
1508518089,8465,8465
1508518833,8502,8502
1508519549,8474,8474
1508520260,8477,8477
1508521239,8470,8470
1508521939,8465,8465
1508522663,8472,8472
1508523377,8494,8494
1508525331,8492,8492
1508526018,8505,8505
1508526747,8506,8506
1508527701,8524,8524
1508528407,8486,8486
1508529158,8504,8504
1508529858,8530,8530
1508530573,8512,8512
1508531560,8508,8508
1508532255,8501,8501
1508532977,8485,8485
1508533687,8485,8485
1508534434,8490,8490
1508535142,8481,8481
1508535854,8486,8486
1508536844,8485,8485
1508537529,8483,8483
1508538253,8480,8480
1508539230,8469,8469
1508539928,8450,8450
1508540676,8448,8448
1508541378,8412,8412
1508542089,8414,8414
1508542820,8443,8443
1508543541,8433,8433
1508544263,8432,8432
1508544976,8433,8433
1508545952,8426,8426
1508546652,8434,8434
1508547380,8415,8415
1508548104,8420,8420
1508548840,8420,8420
1508549534,8412,8412
1508550257,8413,8413
1508550979,8402,8402
1508551702,8364,8364
1508552661,8179,8179
1508553382,8113,8113
1508554114,8116,8116
1508554812,8113,8113
1508555547,8119,8119
1508556251,8121,8121
1508556970,8294,8294
1508557694,8301,8301
1508558458,8301,8301
1508559141,8316,8316
1508559873,8324,8324
1508560572,8323,8323
1508561294,8344,8344
1508562011,8324,8324
1508562750,8335,8335
1508563451,8340,8340
1508564192,8353,8353
1508564893,8358,8358
1508565712,8374,8374
1508566349,8370,8370
1508567064,8391,8391
1508567744,8359,8359
1508568745,8368,8368
1508569468,8365,8365
1508570198,8358,8358
1508571150,8366,8366
1508572102,8381,8381
1508572821,8375,8375
1508573428,8378,8378
1508574099,8383,8383
1508575101,8395,8395
1508576047,8405,8405
1508577028,8412,8412
1508577972,8408,8408
1508578832,8391,8391
1508579548,8408,8408
1508580269,8400,8400
1508580986,8425,8425
1508581705,8428,8428
1508582660,8419,8419
1508583383,8441,8441
1508584106,8438,8438
1508584808,8444,8444
1508585536,8458,8458
1508586514,8467,8467
1508587209,8466,8466
1508587940,8478,8478
1508588652,8478,8478
1508589383,8465,8465
1508590104,8451,8451
1508590813,8473,8473
1508591533,8454,8454
1508592258,8476,8476
1508592988,8453,8453
1508593953,8457,8457
1508594664,8468,8468
1508595385,8476,8476
1508596098,8458,8458
1508596824,8484,8484
1508597540,8478,8478
1508598264,8478,8478
1508599247,8462,8462
1508599947,8476,8476
1508600668,8477,8477
1508601644,8490,8490
1508602341,8488,8488
1508603056,8476,8476
1508603768,8484,8484
1508604492,8483,8483
1508605227,8477,8477
1508605952,8466,8466
1508606651,8460,8460
1508607375,8485,8485
1508608090,8494,8494
1508608834,8462,8462
1508609799,8495,8495
1508610493,8489,8489
1508611228,8499,8499
1508611946,8488,8488
1508612662,8497,8497
1508613633,8504,8504
1508614343,8519,8519
1508615073,8519,8519
1508615770,8511,8511
1508616493,8501,8501
1508617467,8508,8508
1508618169,8494,8494
1508618896,8494,8494
1508619631,8486,8486
1508620349,8480,8480
1508621298,8477,8477
1508622008,8480,8480
1508622751,8479,8479
1508623719,8469,8469
1508624919,8456,8456
1508625877,8440,8440
1508626938,8451,8451
1508627795,8441,8441
1508628499,8459,8459
1508629227,8432,8432
1508629930,8448,8448
1508630667,8442,8442
1508631395,8434,8434
1508632091,8424,8424
1508632823,8436,8436
1508633540,8424,8424
1508634520,8412,8412
1508635460,8388,8388
1508636180,8413,8413
1508636908,8396,8396
1508637615,8367,8367
