DateTime,AddedIPs,RemovedIPs
1508206239,3,2
1508207460,5,11
1508208330,9,7
1508209840,11,3
1508211745,8,15
1508213161,4,11
1508214040,4,0
1508214507,3,0
1508215354,3,25
1508216189,3,0
1508217051,3,11
1508218525,7,15
1508219397,12,3
1508220872,9,1
1508222547,7,7
1508223656,6,3
1508224473,4,0
1508225441,6,8
1508227826,0,1644
1508229797,1668,0
1508230618,7,0
1508231433,4,1
1508232533,5,2
1508233533,6,4
1508234183,4,0
1508235333,4,3
1508236234,2,3
1508236955,2,0
1508238867,6,7
1508239705,2,1
1508240552,6,3
1508241735,9,3
1508242825,5,2
1508243707,2,2
1508244150,0,4
1508245082,4,0
1508246145,5,3
1508246891,0,1703
1508247763,1705,0
1508248676,4,0
1508249730,6,4
1508250581,0,1711
1508251535,1713,0
1508252184,3,0
1508253035,12,2
1508255136,19,4
1508256116,0,1741
1508256931,1756,0
1508257833,3,8
1508258735,6,1
1508259807,0,1756
1508260838,1764,0
1508261302,1,0
1508262334,4,3
1508263841,7,3
1508265034,5,4
1508267431,17,6
1508268502,9,1
1508269531,6,0
1508270452,7,4
1508271263,2,0
1508272107,0,1801
1508273137,1807,0
1508274640,14,5
1508276737,10,7
1508277887,4,11
1508278842,4,0
1508280152,4,19
1508281821,12,3
1508283034,14,11
1508283936,9,1
1508284595,7,1
1508285441,9,6
1508286509,12,1
1508287534,9,9
1508289033,18,5
1508290106,7,2
1508291164,3,9
1508293524,13,1
1508294727,7,3
1508296234,9,6
1508297081,2,0
1508298035,5,8
1508298154,3,0
1508299837,12,9
1508301105,8,9
1508301746,5,6
1508302589,2,5
1508303435,6,4
1508304330,8,5
1508305242,2,8
1508306118,4,1
1508307035,6,4
1508308234,5,6
1508309134,7,2
1508310238,0,1880
1508311236,1883,0
1508312199,2,6
1508313395,2,7
1508314246,3,1
1508315308,3,1
1508316129,2,5
1508316934,2,0
1508317840,1,4
1508319030,7,9
1508319762,4,4
1508320672,1,1
1508321687,3,8
1508322639,6,7
1508323536,7,0
1508324339,7,5
1508325335,3,0
1508326105,6,1
1508326962,7,10
1508328059,15,10
1508328931,9,1
1508329829,6,13
1508330688,5,2
1508331536,4,8
1508332529,5,1
1508333401,1,8
1508334286,7,4
1508334984,2,1
1508335835,7,7
1508336706,3,0
1508337637,3,11
1508338529,0,1881
1508339372,1880,0
1508340923,2,9
1508342252,8,2
1508343334,8,10
1508344231,5,8
1508345132,5,1
1508345963,4,7
1508346933,4,0
1508347824,7,5
1508348729,9,0
1508350094,12,7
1508350470,4,0
1508351431,5,6
1508352983,4,5
1508353832,1,6
1508354904,3,0
1508355749,0,1895
1508356595,1887,0
1508357434,2,4
1508358903,3,7
1508360134,4,4
1508361032,0,2
1508361924,3,3
1508362822,4,13
1508364074,2,5
1508364934,5,1
1508365841,9,5
1508366548,6,4
1508367839,8,2
1508368839,5,1
1508370095,5,6
1508371835,8,3
1508372904,5,2
1508373753,6,4
1508375306,13,6
1508376634,8,1
1508377351,4,3
1508378740,10,6
1508379634,3,0
1508380122,1,0
1508380957,3,7
1508381783,3,1
1508382637,2,4
1508384732,4,3
1508385692,3,7
1508386465,6,0
1508387297,8,2
1508388337,1,5
1508389369,1,12
1508390429,2,0
1508390904,3,0
1508391936,3,6
1508393674,4,6
1508394528,4,0
1508395355,2,8
1508397038,3,8
1508399131,5,7
1508400637,1,2
1508401582,2,4
1508402442,1,13
1508404068,0,2
1508404992,4,2
1508405883,0,2
1508406145,0,3
1508408072,8,6
1508408903,4,0
1508409933,6,2
1508410592,5,1
1508411436,1,4
1508412389,3,0
1508413237,1,5
1508414798,4,5
1508416782,4,7
1508417786,4,1
1508418644,2,2
1508419564,2,0
1508420441,2,10
1508421385,1,0
1508422255,2,6
1508423303,4,0
1508424206,5,9
1508426066,6,5
1508427747,1,7
1508429672,6,8
1508430637,0,2
1508431359,1,0
1508432670,1,5
1508433631,5,0
1508434523,5,6
1508435424,5,1
1508436636,7,6
1508438547,5,13
1508439672,4,8
1508440536,3,0
1508441440,6,7
1508442332,4,1
1508443820,11,6
1508444915,7,0
1508446534,5,15
1508447434,4,1
1508449354,7,7
1508451264,17,5
1508452110,7,1
1508453140,8,12
1508454645,10,13
1508456557,7,13
1508458462,11,13
1508460037,6,24
1508461753,2,4
1508462067,1,0
1508463038,7,10
1508463747,9,3
1508465433,11,9
1508466508,6,1
1508467529,9,8
1508468670,4,11
1508469634,1,0
1508470106,1,1
1508471136,3,13
1508472630,10,5
1508473685,2,0
1508474729,2,12
1508475715,3,6
1508476464,4,0
1508477726,5,6
1508479839,11,6
1508481413,2,8
1508482592,12,4
1508483435,3,3
1508485518,0,1858
1508488103,1871,0
1508489144,8,8
1508490251,6,2
1508491229,2,0
1508492429,7,8
1508493334,7,0
1508494127,3,9
1508495279,3,1
1508496150,2,11
1508497281,7,13
1508498133,1,1
1508499026,1,9
1508499928,6,2
1508500946,0,6
1508501664,3,0
1508502639,0,7
1508503532,3,0
1508504465,3,5
1508505280,3,0
1508506235,3,7
1508506958,1,3
1508508585,4,5
1508509738,1,0
1508510724,2,7
1508511778,3,6
1508512834,5,1
1508514009,2,14
1508515843,6,8
1508516070,1,0
1508517330,3,9
1508518224,1,4
1508519664,5,15
1508520473,2,0
1508521311,4,10
1508522353,5,2
1508525225,3,8
1508526109,0,1806
1508526932,1808,0
1508527843,5,7
1508528556,4,3
1508529383,5,5
1508530235,2,0
1508531193,3,0
1508532157,2,8
1508532988,4,0
1508533835,9,4
1508534819,3,1
1508537433,16,20
1508538503,8,1
1508539354,16,15
1508540381,8,1
1508541335,1,2
1508542237,2,7
1508543133,2,5
1508544641,5,11
1508545843,2,15
1508546732,3,4
1508548469,13,6
1508549403,2,3
1508550157,6,3
1508551195,4,12
1508552136,5,0
1508553332,4,8
1508554582,4,2
1508555434,3,7
1508556631,3,14
1508558271,6,1
1508559277,2,7
1508560118,2,0
1508561133,3,11
1508561780,0,1782
1508562641,1779,0
1508564390,3,8
1508566235,4,7
1508567581,3,4
1508568941,2,1
1508569839,0,2
1508571005,0,1769
1508571942,1765,0
1508575530,2,3
1508576637,0,4
1508577630,2,1
1508578682,3,8
1508578946,1,2
1508580635,4,6
1508581523,3,2
1508582335,1,10
1508584233,3,3
1508585127,3,0
1508586038,2,4
1508586878,2,1
1508587835,0,5
1508589030,3,3
1508590378,3,2
1508591434,3,4
1508592512,4,0
1508593534,3,4
1508594507,2,10
1508595337,4,1
1508596221,0,1740
1508597136,1742,0
1508598870,7,5
1508599836,5,3
1508600640,3,1
1508601685,5,2
1508602474,6,0
1508603303,6,0
1508604334,6,12
1508605832,9,2
1508606882,0,3
1508607906,0,1761
1508609663,1755,0
1508610504,2,0
1508611356,1,14
1508613036,7,9
1508614833,4,23
1508615730,3,0
1508616637,2,6
1508617573,2,0
1508618440,3,18
1508619336,4,0
1508620234,2,10
1508621318,2,0
1508622335,2,22
1508623355,4,25
1508624904,5,0
1508625742,0,1671
1508626592,1651,0
1508627436,3,10
1508629525,3,19
1508631035,0,10
1508632108,2,0
1508633122,0,1620
1508634643,1586,0
1508636546,3,19
1508638230,6,10
1508640335,6,10
1508640983,1,0
1508641837,5,8
1508642904,3,0
1508643941,2,9
1508644844,2,14
1508645740,3,0
1508647350,0,21
1508648825,2,13
1508651042,4,26
1508651855,0,1
1508652934,3,24
1508653707,2,0
1508654731,2,17
1508655902,2,11
1508656836,3,0
1508658041,4,40
1508660065,5,20
1508660905,3,1
1508661759,5,32
1508662797,1,22
1508663732,2,1
1508664937,5,20
1508666694,8,21
1508667638,4,2
1508668845,2,14
1508670636,5,6
1508671829,3,2
1508672977,1,1
1508674243,2,3
1508675162,4,1
1508676037,1,8
1508676893,2,0
1508677837,1,5
1508678726,3,0
1508679629,2,10
1508681353,5,10
1508682516,4,0
1508683535,2,9
1508684360,2,3
1508685331,7,3
1508686233,3,15
1508686950,6,6
1508688638,10,3
1508689472,9,1
1508690442,5,16
1508690557,0,1
1508691709,10,13
1508692539,10,0
1508693434,9,10
1508694338,10,5
1508696076,13,16
1508697030,6,17
1508697940,13,5
1508699444,17,14
1508700507,7,0
1508701534,4,14
1508703029,5,15
1508704103,4,1
1508705028,1,39
1508706641,4,11
1508707686,1,0
1508708581,2,43
1508709651,2,14
1508710530,4,2
1508711436,1,4
1508712842,4,2
1508713773,2,5
1508714686,3,1
1508715636,2,24
1508715772,1,0
1508717442,4,17
1508718618,2,16
1508719476,2,4
1508721045,3,14
1508721936,1,2
1508722957,4,21
1508723785,2,1
1508724632,2,11
1508725601,1,1
1508726730,4,29
1508728450,0,1081
1508729498,1073,0
1508731836,4,14
1508732904,2,1
1508733933,4,3
1508734585,0,1
1508735444,1,9
1508735678,1,0
1508736638,3,6
1508737450,1,1
1508738184,1,0
1508739033,3,6
1508740232,4,5
1508741096,2,1
1508742140,2,1
1508743076,1,1
1508744005,4,5
1508746467,2,1
1508747419,1,3
1508748130,0,1051
1508748987,1051,0
1508749839,2,2
1508750905,1,1
1508751927,2,7
1508752590,2,1
1508753435,4,4
