DateTime,Entries,UniqueIPs
1508206239,9904,9904
1508207460,9898,9898
1508208330,9900,9900
1508209840,9908,9908
1508211745,9901,9901
1508213161,9894,9894
1508214040,9898,9898
1508214507,9901,9901
1508215354,9879,9879
1508216189,9882,9882
1508217051,9874,9874
1508218525,9866,9866
1508219397,9875,9875
1508220872,9883,9883
1508222547,9883,9883
1508223656,9886,9886
1508224473,9890,9890
1508225441,9888,9888
1508227826,8244,8244
1508229797,9912,9912
1508230618,9919,9919
1508231433,9922,9922
1508232533,9925,9925
1508233533,9927,9927
1508234183,9931,9931
1508235333,9932,9932
1508236234,9931,9931
1508236955,9933,9933
1508238867,9932,9932
1508239705,9933,9933
1508240552,9936,9936
1508241735,9942,9942
1508242825,9945,9945
1508243707,9945,9945
1508244150,9941,9941
1508245082,9945,9945
1508246145,9947,9947
1508246891,8244,8244
1508247763,9949,9949
1508248676,9953,9953
1508249730,9955,9955
1508250581,8244,8244
1508251535,9957,9957
1508252184,9960,9960
1508253035,9970,9970
1508255136,9985,9985
1508256116,8244,8244
1508256931,10000,10000
1508257833,9995,9995
1508258735,10000,10000
1508259807,8244,8244
1508260838,10008,10008
1508261302,10009,10009
1508262334,10010,10010
1508263841,10014,10014
1508265034,10015,10015
1508267431,10026,10026
1508268502,10034,10034
1508269531,10040,10040
1508270452,10043,10043
1508271263,10045,10045
1508272107,8244,8244
1508273137,10051,10051
1508274640,10060,10060
1508276737,10063,10063
1508277887,10056,10056
1508278842,10060,10060
1508280152,10045,10045
1508281821,10054,10054
1508283034,10057,10057
1508283936,10065,10065
1508284595,10071,10071
1508285441,10074,10074
1508286509,10085,10085
1508287534,10085,10085
1508289033,10098,10098
1508290106,10103,10103
1508291164,10097,10097
1508293524,10109,10109
1508294727,10113,10113
1508296234,10116,10116
1508297081,10118,10118
1508298035,10115,10115
1508298154,10118,10118
1508299837,10121,10121
1508301105,10120,10120
1508301746,10119,10119
1508302589,10116,10116
1508303435,10118,10118
1508304330,10121,10121
1508305242,10115,10115
1508306118,10118,10118
1508307035,10120,10120
1508308234,10119,10119
1508309134,10124,10124
1508310238,8244,8244
1508311236,10127,10127
1508312199,10123,10123
1508313395,10118,10118
1508314246,10120,10120
1508315308,10122,10122
1508316129,10119,10119
1508316934,10121,10121
1508317840,10118,10118
1508319030,10116,10116
1508319762,10116,10116
1508320672,10116,10116
1508321687,10111,10111
1508322639,10110,10110
1508323536,10117,10117
1508324339,10119,10119
1508325335,10122,10122
1508326105,10127,10127
1508326962,10124,10124
1508328059,10129,10129
1508328931,10137,10137
1508329829,10130,10130
1508330688,10133,10133
1508331536,10129,10129
1508332529,10133,10133
1508333401,10126,10126
1508334286,10129,10129
1508334984,10130,10130
1508335835,10130,10130
1508336706,10133,10133
1508337637,10125,10125
1508338529,8244,8244
1508339372,10124,10124
1508340923,10117,10117
1508342252,10123,10123
1508343334,10121,10121
1508344231,10118,10118
1508345132,10122,10122
1508345963,10119,10119
1508346933,10123,10123
1508347824,10125,10125
1508348729,10134,10134
1508350094,10139,10139
1508350470,10143,10143
1508351431,10142,10142
1508352983,10141,10141
1508353832,10136,10136
1508354904,10139,10139
1508355749,8244,8244
1508356595,10131,10131
1508357434,10129,10129
1508358903,10125,10125
1508360134,10125,10125
1508361032,10123,10123
1508361924,10123,10123
1508362822,10114,10114
1508364074,10111,10111
