DateTime,Entries,UniqueIPs
1508178754,1450,1450
1508180646,1433,1433
1508181640,1439,1439
1508182537,1431,1431
1508184097,1430,1430
1508184950,1436,1436
1508185841,1440,1440
1508186745,1442,1442
1508188249,1431,1431
1508189399,1421,1421
1508191453,1424,1424
1508192313,1428,1428
1508193238,1415,1415
1508194916,1424,1424
1508195681,1432,1432
1508196771,1431,1431
1508199041,1432,1432
1508200122,1437,1437
1508201145,1437,1437
1508202641,1437,1437
1508204138,1432,1432
1508205033,1436,1436
1508206248,1436,1436
1508207493,1431,1431
1508208339,1432,1432
1508209849,1438,1438
1508211756,1432,1432
1508213189,1422,1422
1508214049,1424,1424
1508214517,1426,1426
1508215367,1408,1408
1508216199,1409,1409
1508217082,1402,1402
1508218536,1394,1394
1508219407,1395,1395
1508220882,1401,1401
1508222557,1404,1404
1508223690,1408,1408
1508224483,1410,1410
1508225451,1412,1412
1508227838,1420,1420
1508229821,1439,1439
1508230631,1444,1444
1508231684,1449,1449
1508232542,1448,1448
1508233543,1454,1454
1508234191,1457,1457
1508235343,1458,1458
1508236250,1459,1459
1508236965,1460,1460
1508238876,1462,1462
1508239714,1464,1464
1508240563,1469,1469
1508241764,1472,1472
1508242836,1471,1471
1508243716,1471,1471
1508244159,1468,1468
1508245141,1469,1469
1508246155,1473,1473
1508246910,1475,1475
1508247773,1476,1476
1508248723,1478,1478
1508249740,1481,1481
1508250601,1483,1483
1508251546,1484,1484
1508252193,1486,1486
1508254247,1504,1504
1508255148,1514,1514
1508256988,1526,1526
1508257844,1527,1527
1508258744,1530,1530
1508259831,1530,1530
1508260849,1535,1535
1508261311,1536,1536
1508262343,1536,1536
1508263849,1537,1537
1508265043,1540,1540
1508267440,1550,1550
1508268512,1558,1558
1508269541,1561,1561
1508270474,1566,1566
1508271273,1568,1568
1508272113,1570,1570
1508273147,1573,1573
1508274650,1582,1582
1508276747,1585,1585
1508277896,1583,1583
1508278851,1584,1584
1508280161,1572,1572
1508281843,1580,1580
1508283043,1583,1583
1508283946,1591,1591
1508284604,1596,1596
1508285450,1603,1603
1508286517,1613,1613
1508287544,1617,1617
1508289043,1631,1631
1508290116,1636,1636
1508292648,1638,1638
1508293712,1643,1643
1508294736,1645,1645
1508296243,1652,1652
1508297090,1654,1654
1508298044,1657,1657
1508298165,1658,1658
1508299846,1660,1660
1508301133,1659,1659
1508301758,1659,1659
1508302599,1656,1656
1508303445,1656,1656
1508304340,1657,1657
1508305251,1652,1652
1508306149,1654,1654
1508307045,1656,1656
1508308247,1656,1656
1508309144,1660,1660
1508310274,1662,1662
1508311246,1662,1662
1508312208,1660,1660
1508313407,1655,1655
1508314258,1656,1656
1508315320,1658,1658
1508316138,1657,1657
1508316944,1658,1658
1508317859,1655,1655
1508319039,1654,1654
1508319772,1653,1653
1508320682,1652,1652
1508321696,1649,1649
1508322649,1645,1645
1508323545,1650,1650
1508325345,1655,1655
1508326115,1660,1660
1508326975,1657,1657
1508328947,1669,1669
1508329841,1666,1666
1508330698,1670,1670
1508331554,1669,1669
1508332540,1673,1673
1508333438,1664,1664
1508334296,1667,1667
1508334993,1667,1667
1508335845,1668,1668
1508336718,1670,1670
1508337648,1663,1663
1508338535,1665,1665
1508339389,1663,1663
1508340935,1657,1657
1508342261,1661,1661
1508343343,1660,1660
1508344243,1660,1660
1508345142,1663,1663
1508345973,1661,1661
1508346942,1663,1663
1508347833,1665,1665
1508348742,1670,1670
1508350479,1675,1675
1508352992,1677,1677
1508353843,1674,1674
1508354914,1675,1675
1508355763,1672,1672
1508356604,1671,1671
1508357443,1670,1670
1508358912,1667,1667
1508360143,1666,1666
1508361041,1665,1665
1508361933,1664,1664
1508362831,1657,1657
1508364089,1654,1654
1508364944,1658,1658
1508365852,1660,1660
1508366557,1663,1663
1508367877,1669,1669
1508368848,1671,1671
1508370137,1674,1674
1508371843,1679,1679
1508372913,1682,1682
1508373762,1685,1685
1508375316,1694,1694
1508376644,1701,1701
1508377363,1700,1700
1508378748,1704,1704
1508379644,1707,1707
1508380132,1708,1708
1508381792,1710,1710
1508382647,1710,1710
1508384742,1713,1713
1508385708,1711,1711
1508386475,1716,1716
1508387306,1720,1720
1508389382,1719,1719
1508390439,1720,1720
1508390914,1722,1722
1508391946,1719,1719
1508393683,1718,1718
1508394540,1721,1721
1508395366,1717,1717
1508397047,1714,1714
1508399142,1712,1712
1508401600,1707,1707
1508402452,1698,1698
1508404079,1696,1696
1508405007,1696,1696
1508405968,1693,1693
1508408081,1693,1693
1508408912,1695,1695
1508409942,1697,1697
1508410603,1701,1701
1508411445,1700,1700
1508412398,1703,1703
1508413246,1703,1703
1508414808,1704,1704
1508416791,1703,1703
1508417796,1705,1705
1508418654,1704,1704
1508419573,1705,1705
1508420450,1700,1700
1508422283,1696,1696
1508423313,1700,1700
1508424219,1694,1694
1508426075,1692,1692
1508427756,1686,1686
1508429681,1683,1683
1508430649,1681,1681
1508432679,1679,1679
1508433640,1683,1683
1508434532,1681,1681
1508435433,1684,1684
1508436646,1687,1687
1508438556,1679,1679
1508439706,1676,1676
