DateTime,AddedIPs,RemovedIPs
1508191429,8,9
1508192304,3,0
1508193214,2,6
1508194899,5,3
1508195675,1,1
1508196764,3,3
1508199036,3,4
1508200116,4,3
1508201139,2,9
1508202635,9,5
1508204132,7,3
1508205027,4,3
1508206242,2,2
1508207465,3,8
1508208333,4,6
1508209843,4,1
1508211750,4,6
1508213169,3,3
1508214043,2,0
1508214511,5,0
1508215361,4,6
1508216193,2,0
1508217057,2,4
1508218530,3,5
1508219401,1,2
1508220876,2,2
1508222550,1,4
1508223661,4,3
1508224476,6,0
1508225444,5,4
1508227831,12,4
1508229814,6,8
1508230623,2,0
1508231436,2,6
1508232536,2,1
1508233536,8,7
1508234186,2,0
1508235336,4,2
1508236244,2,2
1508236959,1,0
1508238870,7,5
1508239708,2,0
1508240556,3,5
1508241747,0,5
1508242830,3,1
1508243710,1,4
1508244153,1,0
1508245125,1,2
1508246148,3,1
1508247766,5,4
1508248679,1,0
1508249733,2,2
1508251539,7,5
1508252187,1,2
1508253038,1,2
1508255140,3,1
1508256965,6,4
1508257839,1,3
1508258738,4,0
1508259817,3,0
1508260841,4,0
1508261305,1,1
1508262337,3,2
1508263844,6,0
1508265037,1,3
1508267434,7,0
1508268506,2,1
1508269534,3,2
1508270456,1,3
1508271267,0,1
1508273141,4,1
1508274643,4,2
1508276741,6,2
1508277890,4,3
1508280155,5,4
1508281835,6,6
1508283037,2,3
1508283940,4,3
1508284598,1,1
1508285444,3,4
1508286512,1,1
1508287538,2,6
1508289036,3,5
1508290110,6,0
1508291168,4,9
1508293527,8,5
1508294730,3,8
1508296237,10,11
1508297084,3,0
1508298038,3,7
1508299840,10,7
1508301111,2,8
1508301751,2,2
1508302593,7,0
1508303439,3,6
1508304334,4,0
1508305245,7,4
1508306124,3,0
1508307039,3,2
1508308237,2,10
1508309137,1,1
1508310249,1,7
1508311239,4,1
1508312202,4,4
1508313400,10,1
1508314250,3,10
1508315313,4,1
1508316132,3,51
1508316938,1,0
1508317846,5,3
1508319033,3,8
1508319765,4,2
1508320675,4,1
1508321690,4,9
1508322643,1,5
1508323539,4,0
1508324342,3,4
1508325339,7,3
1508326108,1,1
1508326968,5,5
1508328065,2,3
1508328940,6,1
1508329833,3,3
1508330692,3,3
1508331539,2,2
1508332532,2,1
1508333411,2,6
1508334289,1,1
1508334987,1,0
1508335839,1,1
1508336709,2,0
1508337641,5,4
1508339382,4,3
1508340928,4,4
1508342255,5,4
1508343337,2,6
1508344237,4,3
1508345135,3,1
1508345968,2,3
1508347827,1,4
1508348732,0,1
1508350473,3,3
1508351432,2,4
1508352986,4,5
1508353838,4,1
1508354908,5,2
1508355756,3,3
1508356598,1,0
1508357437,2,3
1508358906,2,5
1508360137,6,3
1508361035,6,4
1508361927,1,1
1508362826,0,5
1508364083,1,1
1508364938,0,1
1508365845,1,0
1508366551,1,3
1508367850,1,1
1508368842,5,1
1508370110,1,3
1508371838,5,5
1508372907,2,1
1508373756,4,8
1508375310,8,5
1508376638,2,5
1508377357,2,3
1508378743,4,8
1508379638,4,1
1508380126,6,0
1508380964,2,5
1508381786,6,0
1508382641,1,2
1508384735,8,13
1508385699,4,7
1508386469,0,2
1508387300,3,0
1508388340,8,7
1508389373,4,4
1508390433,3,0
1508390907,1,1
1508391940,2,4
1508393678,4,5
1508394533,3,0
1508395358,2,6
1508397041,5,6
1508399135,10,7
1508400641,10,3
