DateTime,AddedIPs,RemovedIPs
1508193212,23,19
1508194893,51,14
1508195673,25,8
1508196761,43,15
1508199035,49,50
1508200115,9,5
1508201138,13,13
1508202634,29,15
1508204131,38,21
1508205026,18,12
1508206241,30,29
1508207465,16,22
1508208332,15,8
1508209842,31,12
1508211748,30,22
1508213163,23,22
1508214042,11,4
1508214510,5,2
1508215360,6,22
1508216192,17,2
1508217055,15,10
1508218527,25,18
1508219400,19,9
1508220875,35,16
1508222550,39,36
1508223662,42,18
1508224475,12,3
1508225443,17,23
1508227831,28,140
1508229808,46,32
1508230621,19,5
1508231435,11,17
1508232535,22,12
1508233535,22,60
1508234185,21,2
1508235335,31,20
1508236241,23,29
1508236958,19,3
1508238869,40,33
1508239707,11,5
1508240555,21,81
1508241737,33,30
1508242829,23,59
1508243710,21,19
1508244152,10,10
1508245120,24,18
1508246147,30,1
1508246903,22,1
1508247766,22,21
1508248678,19,6
1508249732,25,22
1508251538,42,26
1508252186,16,4
1508253037,27,19
1508255139,39,35
1508256934,36,24
1508257836,20,68
1508258737,15,15
1508259812,19,44
1508260840,5,4
1508261305,6,2
1508262336,16,21
1508263843,34,25
1508265036,22,24
1508267433,60,60
1508268505,18,4
1508269533,15,26
1508270454,16,31
1508271266,16,5
1508273140,43,38
1508274642,42,30
1508276740,46,33
1508277889,30,10
1508278844,20,2
1508280154,27,25
1508281830,41,11
1508283036,27,29
1508283939,13,6
1508284598,15,7
1508285443,13,10
1508286511,19,5
1508287537,25,46
1508289035,40,18
1508290109,30,4
1508291167,21,23
1508293526,61,16
1508294730,19,33
1508296236,38,19
1508297083,15,4
1508298037,27,34
1508298158,5,0
1508299839,25,32
1508301113,25,22
1508301748,9,9
1508302592,17,4
1508303438,13,9
1508304333,11,4
1508305244,15,26
1508306126,15,2
1508307038,13,19
1508308236,16,29
1508309136,20,10
1508311238,38,22
1508312201,16,18
1508313398,24,11
1508314249,33,26
1508315310,27,3
1508316131,22,218
1508316937,31,3
1508317845,21,12
1508319032,20,23
1508319764,12,9
1508320674,17,7
1508321689,17,25
1508322642,18,35
1508323538,17,5
1508324341,14,28
1508325338,19,5
1508326107,16,4
1508326965,13,26
1508328061,23,35
1508328939,12,4
1508329832,14,37
1508330691,18,16
1508331539,14,12
1508332531,20,12
1508333413,15,32
1508334288,10,14
1508334986,8,4
1508335838,16,39
1508336708,15,4
1508337640,14,35
1508339374,34,35
1508340926,37,50
1508342255,32,16
1508343336,22,29
1508344236,18,40
1508345134,27,21
1508345967,14,37
1508346935,10,7
1508347826,11,24
1508348731,24,16
1508350472,43,31
1508351434,12,49
1508352985,28,28
1508353834,21,39
1508354907,32,6
1508356597,32,48
1508357436,25,35
1508358905,38,33
1508360136,30,21
1508361034,17,35
1508361926,34,12
1508362825,37,43
1508364081,30,42
1508364937,26,2
1508365844,18,59
1508366550,13,21
1508367852,20,18
1508368842,26,10
1508370105,27,18
1508371837,47,19
1508372906,22,8
1508373755,11,55
1508375309,21,28
1508376637,20,26
1508377354,9,6
1508378742,18,42
1508379637,23,2
1508380124,7,5
1508380960,17,29
1508381785,18,6
1508382640,16,22
1508384735,38,22
1508385695,20,25
1508386468,15,6
1508387299,17,6
1508388340,14,42
1508389371,15,13
1508390432,6,0
1508390906,7,0
1508391939,13,52
1508393677,18,40
1508394531,10,2
1508395357,8,25
1508397040,46,14
1508399134,34,29
1508400640,26,23
1508401589,23,5
1508402445,16,25
1508404071,20,21
1508404996,9,2
1508405903,10,26
1508406147,4,14
1508408074,31,32
1508408906,23,5
1508409935,17,21
1508410594,10,2
1508411439,14,40
1508412391,15,7
1508413239,17,29
1508414800,53,28
1508415637,12,3
1508416784,31,48
1508417788,11,2
1508418647,47,24
1508419566,29,3
1508420443,8,36
1508421388,60,9
1508422260,64,25
1508423306,149,2
1508424212,12,31
1508426068,18,26
1508427749,20,34
1508429674,22,33
1508430642,14,15
1508431362,4,9
1508432673,12,23
1508433633,19,3
1508434526,41,31
1508435426,14,1
1508436639,20,36
1508438550,23,45
1508439681,10,19
1508440539,55,1
1508441442,10,34
1508442335,16,3
1508443828,65,43
1508444918,19,1
1508446536,15,40
1508447437,16,36
1508449356,27,31
1508451266,63,48
1508452112,12,3
1508453144,12,34
1508454648,25,23
1508456559,22,36
1508458464,23,29
1508460039,28,49
1508460929,9,1
1508461763,7,25
1508462070,2,0
1508463040,13,37
1508463749,11,14
1508465436,17,26
1508466510,8,2
1508467531,11,45
1508468672,12,21
1508469638,14,3
1508470109,12,2
1508471138,11,34
1508472632,19,23
1508473692,16,3
1508474732,13,21
1508475719,16,17
1508476466,3,0
1508477729,10,20
1508479842,34,32
1508480067,1,0
1508481415,14,25
1508482596,16,16
1508483437,5,27
1508485527,27,58
1508488106,30,56
1508489147,15,31
1508490260,15,15
1508491232,12,12
1508492431,29,34
1508493337,12,3
1508494472,13,27
1508495281,6,4
1508496153,15,29
1508497295,17,32
1508498135,8,2
1508499028,9,19
1508499930,13,13
1508500956,13,19
1508501667,13,3
1508502642,17,22
1508503534,16,5
1508504467,14,24
1508505283,12,1
1508506237,11,22
1508506962,10,5
1508508588,20,25
1508509741,15,3
1508511780,29,70
1508512836,17,4
1508514041,29,44
1508515845,23,21
1508516072,5,0
1508517332,19,24
1508518226,12,17
1508519666,17,25
1508520475,11,3
1508521314,13,30
1508522396,15,15
1508523276,12,5
1508525230,31,49
1508526934,14,32
1508527845,9,49
1508528558,4,15
1508529386,10,2
1508530237,11,10
1508531195,14,7
1508532159,13,69
1508532991,13,1
1508533838,6,25
1508534822,14,2
1508537435,28,65
1508538506,18,5
1508539357,9,52
1508540384,24,33
1508541337,15,9
1508542240,9,31
1508543135,8,11
1508544644,18,14
1508545845,14,20
1508546734,23,7
1508548471,12,22
1508549414,12,35
1508550159,5,11
1508551202,8,32
1508552138,20,4
1508553334,12,30
1508554585,12,18
1508555437,9,25
1508556634,25,34
1508558273,29,14
1508559279,15,16
1508560123,17,4
1508561136,13,24
1508561790,8,6
1508562643,15,19
1508564393,30,25
1508566237,32,19
1508567583,16,43
1508568948,14,13
1508569841,9,28
1508571015,11,31
1508571944,16,9
1508572595,6,1
1508573463,15,18
1508575533,34,22
1508576639,19,19
1508577632,21,5
1508578692,15,26
1508578948,4,11
1508580637,34,25
1508581525,12,5
1508582338,19,24
1508584236,23,43
1508585130,10,5
1508586040,12,31
1508586880,8,0
1508587837,14,27
1508589032,18,66
1508590380,33,11
1508591437,20,24
1508592515,18,8
1508593536,13,24
1508594509,22,17
1508595339,7,5
1508597139,26,21
1508598872,28,19
1508599838,29,18
1508600642,13,0
1508601689,6,18
1508602476,14,2
1508603305,6,3
1508604336,11,34
1508605835,16,20
1508606885,22,5
1508609665,38,52
1508610506,11,4
1508611358,18,69
1508613038,20,65
1508614835,28,28
1508615732,16,5
1508616639,14,23
1508617582,6,4
1508618442,14,29
1508619338,17,5
1508620236,14,52
1508621323,11,7
1508622338,7,21
1508623363,18,28
1508624907,21,8
1508626594,23,29
1508627438,9,14
1508629527,37,35
1508631037,27,13
1508632111,16,3
1508634646,39,42
1508636548,22,14
1508638233,28,17
1508640337,21,30
1508640985,9,4
1508641841,18,17
1508642906,14,2
1508643943,13,27
1508644849,14,21
1508645743,12,3
1508647353,14,13
1508648829,17,17
1508651044,37,23
1508651858,15,2
1508652936,14,14
1508653709,4,3
1508654733,11,23
1508655904,14,13
1508656839,5,3
1508658043,14,26
1508660068,19,24
1508660908,3,2
1508661761,10,31
1508662811,8,15
1508663744,12,4
1508664939,14,11
1508666697,26,30
1508667640,4,4
1508668847,13,27
1508671832,45,39
1508672979,17,9
1508674245,27,23
1508675164,8,7
1508676040,20,22
1508676895,12,1
1508677839,15,17
1508678729,10,6
1508679631,12,27
1508681360,22,16
1508682519,17,4
1508683540,18,35
1508684367,9,18
1508685333,15,7
1508686236,15,30
1508686953,10,9
1508688640,28,14
1508689476,15,3
1508690444,15,178
1508691712,21,74
1508692542,18,8
1508693436,5,21
1508694340,16,5
1508696078,27,28
1508697033,10,17
1508697945,16,8
1508699446,18,15
1508700509,15,6
1508701536,21,33
