DateTime,Entries,UniqueIPs
1508193212,2825,2825
1508194893,2862,2862
1508195673,2879,2879
1508196761,2907,2907
1508199035,2906,2906
1508200115,2910,2910
1508201138,2910,2910
1508202634,2924,2924
1508204131,2941,2941
1508205026,2947,2947
1508206241,2948,2948
1508207465,2942,2942
1508208332,2949,2949
1508209842,2968,2968
1508211748,2976,2976
1508213163,2977,2977
1508214042,2984,2984
1508214510,2987,2987
1508215360,2971,2971
1508216192,2986,2986
1508217055,2991,2991
1508218527,2998,2998
1508219400,3008,3008
1508220875,3027,3027
1508222550,3030,3030
1508223662,3054,3054
1508224475,3063,3063
1508225443,3057,3057
1508227831,2945,2945
1508229808,2959,2959
1508230621,2973,2973
1508231435,2967,2967
1508232535,2977,2977
1508233535,2939,2939
1508234185,2958,2958
1508235335,2969,2969
1508236241,2963,2963
1508236958,2979,2979
1508238869,2986,2986
1508239707,2992,2992
1508240555,2932,2932
1508241737,2935,2935
1508242829,2899,2899
1508243710,2901,2901
1508244152,2901,2901
1508245120,2907,2907
1508246147,2936,2936
1508246903,2957,2957
1508247766,2958,2958
1508248678,2971,2971
1508249732,2974,2974
1508251538,2990,2990
1508252186,3002,3002
1508253037,3010,3010
1508255139,3014,3014
1508256934,3026,3026
1508257836,2978,2978
1508258737,2978,2978
1508259812,2953,2953
1508260840,2954,2954
1508261305,2958,2958
1508262336,2953,2953
1508263843,2962,2962
1508265036,2960,2960
1508267433,2960,2960
1508268505,2974,2974
1508269533,2963,2963
1508270454,2948,2948
1508271266,2959,2959
1508273140,2964,2964
1508274642,2976,2976
1508276740,2989,2989
1508277889,3009,3009
1508278844,3027,3027
1508280154,3029,3029
1508281830,3059,3059
1508283036,3057,3057
1508283939,3064,3064
1508284598,3072,3072
1508285443,3075,3075
1508286511,3089,3089
1508287537,3068,3068
1508289035,3090,3090
1508290109,3116,3116
1508291167,3114,3114
1508293526,3159,3159
1508294730,3145,3145
1508296236,3164,3164
1508297083,3175,3175
1508298037,3168,3168
1508298158,3173,3173
1508299839,3166,3166
1508301113,3169,3169
1508301748,3169,3169
1508302592,3182,3182
1508303438,3186,3186
1508304333,3193,3193
1508305244,3182,3182
1508306126,3195,3195
1508307038,3189,3189
1508308236,3176,3176
1508309136,3186,3186
1508311238,3202,3202
1508312201,3200,3200
1508313398,3213,3213
1508314249,3220,3220
1508315310,3244,3244
1508316131,3048,3048
1508316937,3076,3076
1508317845,3085,3085
1508319032,3082,3082
1508319764,3085,3085
1508320674,3095,3095
1508321689,3087,3087
1508322642,3070,3070
1508323538,3082,3082
1508324341,3068,3068
1508325338,3082,3082
1508326107,3094,3094
1508326965,3081,3081
1508328061,3069,3069
1508328939,3077,3077
1508329832,3054,3054
1508330691,3056,3056
1508331539,3058,3058
1508332531,3066,3066
1508333413,3049,3049
1508334288,3045,3045
1508334986,3049,3049
1508335838,3026,3026
1508336708,3037,3037
1508337640,3016,3016
1508339374,3015,3015
1508340926,3002,3002
1508342255,3018,3018
1508343336,3011,3011
1508344236,2989,2989
1508345134,2995,2995
1508345967,2972,2972
1508346935,2975,2975
1508347826,2962,2962
1508348731,2970,2970
1508350472,2982,2982
1508351434,2945,2945
1508352985,2945,2945
1508353834,2927,2927
1508354907,2953,2953
1508356597,2937,2937
1508357436,2927,2927
1508358905,2932,2932
1508360136,2941,2941
1508361034,2923,2923
1508361926,2945,2945
1508362825,2939,2939
1508364081,2927,2927
1508364937,2951,2951
1508365844,2910,2910
1508366550,2902,2902
1508367852,2904,2904
1508368842,2920,2920
1508370105,2929,2929
1508371837,2957,2957
1508372906,2971,2971
1508373755,2927,2927
1508375309,2920,2920
1508376637,2914,2914
1508377354,2917,2917
1508378742,2893,2893
1508379637,2914,2914
1508380124,2916,2916
1508380960,2904,2904
1508381785,2916,2916
1508382640,2910,2910
1508384735,2926,2926
1508385695,2921,2921
1508386468,2930,2930
1508387299,2941,2941
1508388340,2913,2913
1508389371,2915,2915
1508390432,2921,2921
1508390906,2928,2928
1508391939,2889,2889
1508393677,2867,2867
1508394531,2875,2875
1508395357,2858,2858
1508397040,2890,2890
1508399134,2895,2895
1508400640,2898,2898
1508401589,2916,2916
1508402445,2907,2907
1508404071,2906,2906
1508404996,2913,2913
1508405903,2897,2897
1508406147,2887,2887
1508408074,2886,2886
1508408906,2904,2904
1508409935,2900,2900
1508410594,2908,2908
1508411439,2882,2882
1508412391,2890,2890
1508413239,2878,2878
1508414800,2903,2903
1508415637,2912,2912
1508416784,2895,2895
1508417788,2904,2904
1508418647,2927,2927
1508419566,2953,2953
1508420443,2925,2925
1508421388,2976,2976
1508422260,3015,3015
1508423306,3162,3162
1508424212,3143,3143
1508426068,3135,3135
1508427749,3121,3121
1508429674,3110,3110
1508430642,3109,3109
1508431362,3104,3104
1508432673,3093,3093
1508433633,3109,3109
1508434526,3119,3119
1508435426,3132,3132
1508436639,3116,3116
1508438550,3094,3094
1508439681,3085,3085
1508440539,3139,3139
1508441442,3115,3115
1508442335,3128,3128
1508443828,3150,3150
1508444918,3168,3168
1508446536,3143,3143
1508447437,3123,3123
1508449356,3119,3119
1508451266,3134,3134
1508452112,3143,3143
1508453144,3121,3121
1508454648,3123,3123
1508456559,3109,3109
1508458464,3103,3103
1508460039,3082,3082
1508460929,3090,3090
1508461763,3072,3072
1508462070,3074,3074
1508463040,3050,3050
1508463749,3047,3047
1508465436,3038,3038
1508466510,3044,3044
1508467531,3010,3010
1508468672,3001,3001
1508469638,3012,3012
1508470109,3022,3022
1508471138,2999,2999
1508472632,2995,2995
1508473692,3008,3008
1508474732,3000,3000
1508475719,2999,2999
1508476466,3002,3002
1508477729,2992,2992
1508479842,2994,2994
1508480067,2995,2995
1508481415,2984,2984
1508482596,2984,2984
1508483437,2962,2962
1508485527,2931,2931
1508488106,2905,2905
1508489147,2889,2889
1508490260,2889,2889
1508491232,2889,2889
1508492431,2884,2884
1508493337,2893,2893
1508494472,2879,2879
1508495281,2881,2881
1508496153,2867,2867
1508497295,2852,2852
1508498135,2858,2858
1508499028,2848,2848
1508499930,2848,2848
1508500956,2842,2842
1508501667,2852,2852
1508502642,2847,2847
1508503534,2858,2858
1508504467,2848,2848
1508505283,2859,2859
1508506237,2848,2848
1508506962,2853,2853
1508508588,2848,2848
1508509741,2860,2860
1508511780,2819,2819
1508512836,2832,2832
1508514041,2817,2817
1508515845,2819,2819
1508516072,2824,2824
1508517332,2819,2819
1508518226,2814,2814
1508519666,2806,2806
1508520475,2814,2814
1508521314,2797,2797
1508522396,2797,2797
1508523276,2804,2804
1508525230,2786,2786
1508526934,2768,2768
1508527845,2728,2728
1508528558,2717,2717
1508529386,2725,2725
1508530237,2726,2726
1508531195,2733,2733
1508532159,2677,2677
1508532991,2689,2689
1508533838,2670,2670
1508534822,2682,2682
1508537435,2645,2645
1508538506,2658,2658
1508539357,2615,2615
1508540384,2606,2606
1508541337,2612,2612
1508542240,2590,2590
1508543135,2587,2587
1508544644,2591,2591
1508545845,2585,2585
1508546734,2601,2601
1508548471,2591,2591
1508549414,2568,2568
1508550159,2562,2562
1508551202,2538,2538
1508552138,2554,2554
1508553334,2536,2536
1508554585,2530,2530
1508555437,2514,2514
1508556634,2505,2505
1508558273,2520,2520
1508559279,2519,2519
1508560123,2532,2532
1508561136,2521,2521
1508561790,2523,2523
1508562643,2519,2519
1508564393,2524,2524
1508566237,2537,2537
1508567583,2510,2510
1508568948,2511,2511
1508569841,2492,2492
1508571015,2472,2472
1508571944,2479,2479
1508572595,2484,2484
1508573463,2481,2481
1508575533,2493,2493
1508576639,2493,2493
1508577632,2509,2509
1508578692,2498,2498
1508578948,2491,2491
1508580637,2500,2500
1508581525,2507,2507
1508582338,2502,2502
1508584236,2482,2482
1508585130,2487,2487
1508586040,2468,2468
1508586880,2476,2476
1508587837,2463,2463
1508589032,2415,2415
1508590380,2437,2437
1508591437,2433,2433
1508592515,2443,2443
1508593536,2432,2432
1508594509,2437,2437
1508595339,2439,2439
1508597139,2444,2444
1508598872,2453,2453
1508599838,2464,2464
1508600642,2477,2477
1508601689,2465,2465
1508602476,2477,2477
1508603305,2480,2480
1508604336,2457,2457
1508605835,2453,2453
1508606885,2470,2470
1508609665,2456,2456
1508610506,2463,2463
1508611358,2412,2412
1508613038,2367,2367
1508614835,2367,2367
1508615732,2378,2378
1508616639,2369,2369
1508617582,2371,2371
1508618442,2356,2356
1508619338,2368,2368
1508620236,2330,2330
1508621323,2334,2334
1508622338,2320,2320
1508623363,2310,2310
1508624907,2323,2323
1508626594,2317,2317
1508627438,2312,2312
1508629527,2314,2314
1508631037,2328,2328
1508632111,2341,2341
1508634646,2338,2338
1508636548,2346,2346
1508638233,2357,2357
1508640337,2348,2348
1508640985,2353,2353
1508641841,2354,2354
1508642906,2366,2366
1508643943,2352,2352
1508644849,2345,2345
1508645743,2354,2354
1508647353,2355,2355
1508648829,2355,2355
1508651044,2369,2369
1508651858,2382,2382
1508652936,2382,2382
1508653709,2383,2383
1508654733,2371,2371
1508655904,2372,2372
1508656839,2374,2374
1508658043,2362,2362
1508660068,2357,2357
1508660908,2358,2358
1508661761,2337,2337
1508662811,2330,2330
1508663744,2338,2338
1508664939,2341,2341
1508666697,2337,2337
1508667640,2337,2337
1508668847,2323,2323
1508671832,2329,2329
1508672979,2337,2337
1508674245,2341,2341
1508675164,2342,2342
1508676040,2340,2340
1508676895,2351,2351
1508677839,2349,2349
1508678729,2353,2353
1508679631,2338,2338
1508681360,2344,2344
1508682519,2357,2357
1508683540,2340,2340
1508684367,2331,2331
1508685333,2339,2339
1508686236,2324,2324
1508686953,2325,2325
1508688640,2339,2339
1508689476,2351,2351
1508690444,2188,2188
1508691712,2135,2135
1508692542,2145,2145
1508693436,2129,2129
1508694340,2140,2140
1508696078,2139,2139
1508697033,2132,2132
1508697945,2140,2140
1508699446,2143,2143
1508700509,2152,2152
1508701536,2140,2140
1508703031,2152,2152
1508704106,2166,2166
1508705031,2149,2149
1508706644,2161,2161
1508707691,2163,2163
1508708583,2154,2154
1508709653,2133,2133
1508710535,2140,2140
1508711439,2134,2134
1508712852,2143,2143
1508713775,2151,2151
1508714690,2166,2166
1508715639,2153,2153
1508715775,2155,2155
1508717444,2157,2157
1508718620,2161,2161
1508719479,2166,2166
1508721047,2168,2168
1508721940,2177,2177
1508722960,2161,2161
1508723787,2165,2165
1508724634,2174,2174
1508725603,2186,2186
1508726733,2178,2178
1508729500,2178,2178
1508731838,2177,2177
1508732906,2185,2185
1508733935,2170,2170
1508734587,2175,2175
1508735446,2169,2169
1508735680,2170,2170
1508736641,2158,2158
1508737452,2167,2167
1508738186,2175,2175
1508739035,2165,2165
1508740235,2169,2169
1508741099,2173,2173
1508742143,2170,2170
1508743079,2187,2187
1508744014,2178,2178
1508744559,2188,2188
1508746469,2185,2185
1508747429,2181,2181
1508748990,2213,2213
1508749841,2204,2204
1508750907,2225,2225
1508751937,2213,2213
1508752592,2224,2224
1508753437,2213,2213
