DateTime,AddedIPs,RemovedIPs
1507958709,46,0
1507960545,1,0
1507961437,2,0
1507963750,1,0
1507967138,3,0
1507969247,1,0
1507973148,2,0
1507976139,1,0
1507981538,1,0
1507982374,3,0
1507986867,0,1
1507988439,1,0
1507992938,1,0
1507993843,1,0
1507994820,2,0
1507995768,2,0
1507996581,1,1
1507997442,1,1
1507998506,1,0
1508000490,1,0
1508001344,1,0
1508002658,1,0
1508003736,1,0
1508005716,2,0
1508010333,2,1
1508012073,3,0
1508015440,1,0
1508017348,1,0
1508019038,1,1
1508020251,1,0
1508022277,2,1
1508024137,1,0
1508027126,1,2
1508028163,1,0
1508031749,2,0
1508033443,2,0
1508034627,1,0
1508035537,1,0
1508042713,1,0
1508048923,1,0
1508049933,1,0
1508051436,1,1
1508053234,1,0
1508056952,1,0
1508062235,1,0
1508063630,4,0
1508065838,0,2
1508070041,0,1
1508071741,1,0
1508073572,0,1
1508074783,2,0
1508076638,0,1
1508078546,1,0
1508080042,2,0
1508080837,1,0
1508083838,0,1
1508085932,1,0
1508088165,1,0
1508092237,1,0
1508093871,0,1
1508097057,1,0
1508098195,0,2
1508100330,2,2
1508102435,3,2
1508103643,0,1
1508106636,3,1
1508107537,0,1
1508109038,0,1
1508110527,1,0
1508111726,1,0
1508112638,1,1
1508117675,0,1
1508120069,1,0
1508121035,1,0
1508123668,2,0
1508126126,1,0
1508127270,1,0
1508128237,0,46
1508130626,1,0
1508132569,1,1
1508135986,0,2
1508137846,0,1
1508139939,1,2
1508140588,2,0
1508141448,1,2
1508142642,0,1
1508143355,2,1
1508146239,1,1
1508148645,1,0
1508150555,59,1
1508151805,34,2
1508154027,2,0
1508156067,1,1
1508159437,1,0
1508160640,0,1
1508162704,1,1
1508164959,1,3
1508166866,3,2
1508168432,311,2
1508169399,369,5
1508170242,41,8
1508172343,135,13
1508173242,1,14
1508174130,3,12
1508174908,3,12
1508176113,118,11
1508177262,105,18
1508178741,157,24
1508179725,28,21
1508180625,75,26
1508181634,36,30
1508182531,9,29
1508184086,61,22
1508184944,21,25
1508185835,43,17
1508186739,8,27
1508188243,38,40
1508189387,14,26
1508191439,98,19
1508192307,159,28
1508193219,153,48
1508194900,1,53
1508195675,0,13
1508196764,3,27
1508199036,1,37
1508200116,1,18
1508201139,0,13
1508202635,1,14
1508204132,2,12
1508205027,0,6
1508206243,0,6
