DateTime,Entries,UniqueIPs
1507958709,107,107
1507960545,108,108
1507961437,110,110
1507963750,111,111
1507967138,114,114
1507969247,115,115
1507973148,117,117
1507976139,118,118
1507981538,119,119
1507982374,122,122
1507986867,121,121
1507988439,122,122
1507992938,123,123
1507993843,124,124
1507994820,126,126
1507995768,128,128
1507996581,128,128
1507997442,128,128
1507998506,129,129
1508000490,130,130
1508001344,131,131
1508002658,132,132
1508003736,133,133
1508005716,135,135
1508010333,136,136
1508012073,139,139
1508015440,140,140
1508017348,141,141
1508019038,141,141
1508020251,142,142
1508022277,143,143
1508024137,144,144
1508027126,143,143
1508028163,144,144
1508031749,146,146
1508033443,148,148
1508034627,149,149
1508035537,150,150
1508042713,151,151
1508048923,152,152
1508049933,153,153
1508051436,153,153
1508053234,154,154
1508056952,155,155
1508062235,156,156
1508063630,160,160
1508065838,158,158
1508070041,157,157
1508071741,158,158
1508073572,157,157
1508074783,159,159
1508076638,158,158
1508078546,159,159
1508080042,161,161
1508080837,162,162
1508083838,161,161
1508085932,162,162
1508088165,163,163
1508092237,164,164
1508093871,163,163
1508097057,164,164
1508098195,162,162
1508100330,162,162
1508102435,163,163
1508103643,162,162
1508106636,164,164
1508107537,163,163
1508109038,162,162
1508110527,163,163
1508111726,164,164
1508112638,164,164
1508117675,163,163
1508120069,164,164
1508121035,165,165
1508123668,167,167
1508126126,168,168
1508127270,169,169
1508128237,123,123
1508130626,124,124
1508132569,124,124
1508135986,122,122
1508137846,121,121
1508139939,120,120
1508140588,122,122
1508141448,121,121
1508142642,120,120
1508143355,121,121
1508146239,121,121
1508148645,122,122
1508150555,180,180
1508151805,212,212
1508154027,214,214
1508156067,214,214
1508159437,215,215
1508160640,214,214
1508162704,214,214
1508164959,212,212
1508166866,213,213
1508168432,522,522
1508169399,886,886
1508170242,919,919
1508172343,1041,1041
1508173242,1028,1028
1508174130,1019,1019
1508174908,1010,1010
1508176113,1117,1117
1508177262,1204,1204
1508178741,1337,1337
1508179725,1344,1344
1508180625,1393,1393
1508181634,1399,1399
1508182531,1379,1379
1508184086,1418,1418
1508184944,1414,1414
1508185835,1440,1440
1508186739,1421,1421
1508188243,1419,1419
1508189387,1407,1407
1508191439,1486,1486
1508192307,1617,1617
1508193219,1722,1722
1508194900,1670,1670
1508195675,1657,1657
1508196764,1633,1633
1508199036,1597,1597
1508200116,1580,1580
1508201139,1567,1567
1508202635,1554,1554
1508204132,1544,1544
1508205027,1538,1538
1508206243,1532,1532
1508207471,1528,1528
1508208333,1527,1527
1508209843,1521,1521
1508211750,1513,1513
1508213176,1512,1512
1508214043,1510,1510
1508214511,1507,1507
1508215361,1502,1502
1508218530,1496,1496
1508219401,1494,1494
1508220876,1489,1489
1508222551,1486,1486
1508223665,1481,1481
1508224476,1477,1477
1508225445,1472,1472
1508227832,1465,1465
1508229814,1461,1461
1508230624,1462,1462
1508231437,1464,1464
1508232536,1459,1459
1508233536,1456,1456
1508234186,1454,1454
1508235336,1452,1452
1508236244,1454,1454
1508236959,1454,1454
1508238871,1451,1451
1508239708,1449,1449
1508241747,1446,1446
1508242831,1443,1443
1508244153,1442,1442
1508245132,1441,1441
1508246149,1440,1440
1508247767,1439,1439
1508248679,1439,1439
1508249734,1438,1438
1508250595,1436,1436
1508251539,1435,1435
1508252187,1434,1434
1508253038,1432,1432
1508255140,1428,1428
1508256972,1429,1429
1508257839,1428,1428
