DateTime,AddedIPs,RemovedIPs
1504931500,0,1
1504938931,2,0
1504941042,1,0
1504951927,1,1
1504962249,1,0
1504968423,0,1
1504969923,0,1
1504971862,1,0
1504981937,0,1
1504989306,0,1
1505007150,0,3
1505008252,1,0
1505010655,0,2
1505018148,1,0
1505041176,1,0
1505043127,1,0
1505045517,2,0
1505050294,0,1
1505054931,1,0
1505056333,1,0
1505071004,0,1
1505081528,1,1
1505089846,1,0
1505099451,0,2
1505102195,2,0
1505111733,0,1
1505121277,0,1
1505132447,1,0
1505133751,0,1
1505136930,0,1
1505141877,1,0
1505174195,1,0
1505187648,0,2
1505188607,3,0
1505209548,0,1
1505214644,0,1
1505220340,0,1
1505225441,0,1
1505227358,0,2
1505232656,3,0
1505241648,1,0
1505274336,0,1
1505275852,3,0
1505286633,1,0
1505301283,0,1
1505313934,0,1
1505342047,0,1
1505344071,0,1
1505347845,1,0
1505351670,1,0
1505354195,2,0
1505367946,0,1
1505387446,0,1
1505393153,1,0
1505400930,0,1
1505405682,0,1
1505412649,0,1
1505415746,1,0
1505449893,3,1
1505452472,1,0
1505455853,0,1
1505458440,1,0
1505466409,1,0
1505467243,1,0
1505468553,1,0
1505475956,0,1
1505477451,1,0
1505485890,0,2
1505487798,1,1
1505499355,1,0
1505500219,7,0
1505500961,5,0
1505507879,0,1
1505523031,0,1
1505523961,0,1
1505534674,2,0
1505538641,0,1
1505549441,0,1
1505553345,2,0
1505570611,1,0
1505574649,1,0
1505597450,1,0
1505604043,1,0
1505621441,1,1
1505632845,1,0
1505639748,0,1
1505658644,0,1
1505673643,0,1
1505682368,0,1
1505686245,1,1
1505687312,1,1
1505688342,0,2
1505689846,3,1
1505702556,0,5
1505709044,1,0
1505711441,2,1
1505738115,0,1
1505741447,0,1
1505753136,1,0
1505767373,0,1
1505770954,0,1
1505777731,0,1
1505778158,1,0
1505783443,1,0
1505795125,1,0
1505796050,1,0
1505803540,0,1
1505807128,1,0
1505819380,1,1
1505832225,0,1
1505839258,1,0
1505841342,0,1
1505846740,1,0
1505864740,1,1
1505878838,0,1
1505880642,6,0
1505893814,0,1
1505899894,0,1
1505901289,1,0
1505921194,0,1
1505927452,0,1
1505930198,0,1
1505931045,0,1
1505947349,2,0
1505952415,0,1
1505963446,0,1
1505966990,3,1
1505967906,1,0
1505970939,1,0
1505977846,1,0
1505981450,0,1
1505994920,1,0
1506006424,1,0
1506023814,1,0
1506044742,1,0
1506047449,0,1
1506053446,2,1
1506065279,1,0
1506071737,0,1
1506079849,0,1
1506087762,1,0
1506095147,1,1
1506118248,0,13
1506123750,0,1
1506137444,0,4
1506141761,0,1
1506157017,0,2
1506164667,0,2
1506168641,1,0
1506185807,0,1
1506191456,0,1
1506217545,0,1
1506226255,1,0
1506234654,1,0
1506235542,0,1
1506237029,1,0
1506238927,6,0
1506256239,0,1
1506257139,1,0
1506265842,0,1
1506291052,1,1
1506296550,1,2
1506298239,1,1
1506310977,0,1
1506324516,1,0
1506341072,1,0
1506341675,1,0
1506359439,1,0
1506368441,0,1
1506379146,0,1
1506393052,0,1
1506398175,8,0
1506405031,0,1
1506406244,0,1
1506427846,2,0
1506429656,0,1
1506439840,0,2
1506442557,4,0
1506476745,0,1
1506481004,1,1
1506485441,0,1
1506490249,0,1
1506496482,1,0
1506502888,1,0
1506505559,1,0
1506510643,0,1
1506511847,0,1
1506514239,2,0
1506519643,1,0
1506523481,0,1
1506528957,1,0
1506534351,1,0
1506536709,1,0
1506538351,1,0
1506546871,1,0
1506570336,0,2
1506571844,1,0
1506595250,0,1
1506598563,1,0
1506611446,0,4
1506618221,1,0
1506637713,1,0
1506643849,1,0
1506650553,0,1
1506656734,1,0
1506676247,0,1
1506688850,0,1
1506694476,1,0
1506699049,3,0
1506702643,1,1
1506703567,1,0
1506713439,1,0
1506717048,0,2
1506741044,0,2
1506744638,1,0
1506763541,1,0
1506764918,2,0
1506766242,1,0
1506768339,0,3
1506771758,2,0
1506773444,1,0
1506777043,1,0
1506782737,0,2
1506787493,0,1
1506789265,0,1
1506805471,1,0
1506809561,0,1
1506810646,0,1
1506823930,2,0
1506825046,0,1
1506828932,2,0
1506831049,2,0
1506839317,1,0
1506870276,0,1
1506872558,0,1
1506895839,1,1
1506899440,1,0
1506912158,0,1
1506924426,0,1
1506933659,0,2
1506935451,0,2
1506940254,0,1
1506942640,0,3
1506944741,2,0
1506947449,0,1
1506951762,0,1
1506964471,1,0
1506971444,0,1
1506976844,0,1
1506980440,1,0
1506993042,0,1
1506998561,0,2
1506999660,0,1
1507002335,3,0
1507009541,0,1
1507023767,0,1
1507024602,1,0
1507027245,0,1
1507037143,1,0
1507050876,2,0
1507070739,0,1
1507090237,3,0
1507113646,1,2
1507116387,1,0
1507118460,1,0
1507132599,1,0
1507133429,0,1
1507154207,1,0
1507160564,0,1
1507162241,0,1
1507171537,1,1
1507173042,0,1
1507174243,0,1
1507175430,4,0
1507188511,1,0
1507196153,1,0
1507199669,0,1
1507206640,0,1
1507209039,0,1
1507219772,0,1
1507231720,1,0
1507235461,1,0
1507236160,1,0
1507239047,0,1
1507242486,1,0
1507249529,1,0
1507250452,7,0
1507251401,4,0
1507259750,0,1
1507261355,1,1
1507262190,1,0
1507280141,1,0
1507290300,1,1
1507294859,0,1
1507310911,1,0
1507343732,0,1
1507345846,0,1
1507347938,4,0
1507351539,0,1
1507358548,0,1
1507363355,1,0
1507365763,0,1
1507369359,0,1
1507370487,0,2
1507373143,0,4
1507376744,3,0
1507393495,1,0
1507399839,1,0
1507433443,4,1
1507450059,0,1
1507458624,0,1
1507461643,1,0
1507483844,1,0
1507500643,1,1
1507514137,1,0
1507517572,0,1
1507523132,2,0
1507524041,1,0
1507545758,0,1
1507549247,1,0
1507551041,1,0
1507552955,0,1
1507566858,0,1
1507567833,1,0
1507571884,1,0
1507572881,1,0
1507573729,1,0
1507603366,0,1
1507635631,1,2
1507637653,0,2
1507711366,0,1
1507720472,0,2
1507722157,0,1
1507725258,0,1
1507730880,0,1
1507733132,0,2
1507738174,0,1
1507740333,0,1
1507765532,0,1
1507767037,0,1
1507769131,0,1
1507770639,0,1
1507772719,0,1
1507776154,0,7
1507778070,0,3
1507779036,0,1
1507779932,0,1
1507785020,0,1
1507788172,0,1
1507789832,0,1
1507790553,0,3
1507791675,0,1
1507793435,0,1
1507797759,0,1
1507798851,0,1
1507801353,0,5
1507803038,0,4
1507805094,0,20
1507806635,0,18
1507925671,26,12
1507927243,5,0
1507929040,1,0
1507930111,1,0
1507931138,1,0
1507932956,1,0
1507936245,2,0
1507939840,1,0
1507940916,1,0
1507944313,1,0
1507946375,1,0
1507947346,15,0
1507948230,1,0
1507950872,1,0
1507954539,17,0
1507956994,1,0
1507967142,1,0
1507971023,1,0
1507975309,1,0
1507978592,1,0
1507979441,1,0
1507981543,6,0
1507998511,2,0
1508000504,1,0
1508009445,1,0
1508038493,3,0
1508059525,1,0
1508062239,1,0
1508067650,2,0
1508069083,1,0
1508082161,1,0
1508105444,1,1
1508106643,1,1
1508109043,1,0
1508114739,1,1
1508121755,0,1
1508127050,3,0
1508148650,0,1
1508150559,1,1
1508151822,0,1
1508156072,1,0
1508166870,0,1
1508168436,1,0
1508170246,1,0
1508184093,1,0
1508188247,0,1
1508196770,0,1
1508199040,1,0
1508207484,1,0
1508209848,1,0
1508211755,0,1
1508227837,2,0
1508229819,0,1
1508232541,1,0
1508236249,0,1
1508238875,0,1
1508244158,1,0
1508245140,1,0
1508249739,0,1
1508254246,1,0
1508270464,0,1
1508283042,1,0
1508296242,0,1
1508298043,1,0
1508301129,2,0
1508308243,0,1
1508311244,1,0
1508316137,0,1
1508319038,0,1
1508321695,0,1
1508322648,0,3
1508325344,0,2
1508326973,0,3
1508334992,1,0
1508342260,0,1
1508358911,1,0
1508360142,0,1
1508361932,1,0
1508362830,0,1
1508364943,1,0
1508367875,1,0
1508378747,0,1
1508381791,0,3
1508382646,0,1
1508384740,0,1
1508389381,0,1
1508393682,0,1
1508395364,0,4
1508397046,0,2
1508399140,0,5
1508401599,2,0
1508402451,0,5
1508413245,0,2
1508416790,0,1
1508421393,2,0
1508423311,3,0
1508424218,0,1
1508429680,0,1
1508438555,1,0
1508453150,1,0
1508454654,1,0
1508463049,1,0
1508467537,0,1
1508471144,1,4
1508481420,0,1
1508482604,0,1
1508483443,0,1
1508485535,0,1
1508516078,1,0
1508525237,16,0
1508553340,1,0
1508566243,1,0
1508567611,0,1
1508569848,4,0
1508582343,0,1
1508587842,1,0
1508590386,0,1
1508605840,1,0
1508609671,0,1
1508617591,1,0
1508618448,0,1
1508638238,0,2
