DateTime,Entries,UniqueIPs
1508452805,17331,17331
1508453407,17308,17308
1508454005,17314,17314
1508454604,17310,17310
1508455204,17303,17303
1508455804,17291,17291
1508456403,17293,17293
1508457008,17208,17208
1508457604,17197,17197
1508458803,17197,17197
1508459404,17207,17207
1508460004,17207,17207
1508460603,17200,17200
1508461205,17206,17206
1508461805,17202,17202
1508462403,17211,17211
1508463002,17210,17210
1508463603,17223,17223
1508464204,17231,17231
1508464805,17231,17231
1508465403,17232,17232
1508466003,17228,17228
1508466603,17229,17229
1508467204,17224,17224
1508467804,17215,17215
1508468404,11987,11987
1508469004,17227,17227
1508469604,17219,17219
1508470208,17212,17212
1508470804,17214,17214
1508471107,17194,17194
1508471704,17191,17191
1508472304,17189,17189
1508472904,17185,17185
1508473504,17191,17191
1508474104,17190,17190
1508474705,17194,17194
1508475303,17188,17188
1508475903,17233,17233
1508476205,17223,17223
1508476804,17215,17215
1508477404,17201,17201
1508478004,17188,17188
1508478605,17197,17197
1508479205,17194,17194
1508479806,17149,17149
1508480404,17146,17146
1508481005,17141,17141
1508481605,17123,17123
1508482205,17111,17111
1508482508,17035,17035
1508483104,17032,17032
1508483704,17024,17024
1508484305,17026,17026
1508484905,16989,16989
1508485505,16982,16982
1508486104,16992,16992
1508486703,16997,16997
1508487304,17040,17040
1508488203,16993,16993
1508488804,16985,16985
1508489404,16984,16984
1508490005,16969,16969
1508490605,16959,16959
1508491205,16963,16963
1508491804,16973,16973
1508492406,16955,16955
1508493004,16962,16962
1508493606,16944,16944
1508494202,16943,16943
1508494809,9997,9997
1508495405,16891,16891
1508496005,16926,16926
1508496602,16925,16925
1508496904,16925,16925
1508497505,16915,16915
1508498103,16909,16909
1508498704,16908,16908
1508499304,16903,16903
1508499904,16904,16904
1508500504,16957,16957
1508501103,16953,16953
1508501704,16952,16952
1508502305,16927,16927
1508502607,16883,16883
1508503204,16882,16882
1508503804,16875,16875
1508504404,16873,16873
1508505004,16879,16879
1508505604,16920,16920
1508506204,16917,16917
1508506804,16913,16913
1508507405,16904,16904
1508508005,16904,16904
1508508603,16902,16902
1508508907,16874,16874
1508509505,16895,16895
1508510104,16898,16898
1508510705,16891,16891
1508511305,16880,16880
1508511904,16882,16882
1508512504,16882,16882
1508513104,16880,16880
1508513704,16893,16893
1508514008,16852,16852
1508514604,16891,16891
1508515204,16911,16911
1508515804,16907,16907
1508516403,16914,16914
1508517003,16904,16904
1508517604,16892,16892
1508518206,16871,16871
1508518805,16870,16870
1508519405,16860,16860
1508520604,16830,16830
1508521204,16820,16820
1508521804,16827,16827
1508522405,16828,16828
1508523004,16812,16812
1508523604,16814,16814
1508524808,16806,16806
1508525404,16827,16827
1508526004,16823,16823
1508526604,16828,16828
1508527204,16831,16831
1508527804,16829,16829
1508528403,16837,16837
1508529004,16831,16831
1508529604,16820,16820
1508530203,16830,16830
1508530805,8091,8091
1508531404,16857,16857
1508532003,16863,16863
1508532603,16863,16863
1508533206,16862,16862
1508533808,16826,16826
1508534403,16821,16821
1508535004,16813,16813
1508535307,16794,16794
1508535905,16795,16795
1508536504,16894,16894
1508537104,16903,16903
1508537703,16922,16922
1508538305,16918,16918
1508538905,16931,16931
1508539505,16943,16943
1508540105,16924,16924
1508541004,16932,16932
1508541603,16945,16945
1508542203,16956,16956
1508542803,16958,16958
1508543403,16980,16980
1508544004,17013,17013
1508544604,17019,17019
1508545204,17023,17023
1508545802,17012,17012
1508546104,17000,17000
1508546704,17002,17002
1508547304,17007,17007
1508547904,16997,16997
1508548504,16994,16994
1508549104,16977,16977
1508549704,16962,16962
1508550304,16952,16952
1508550904,16950,16950
1508551504,16963,16963
1508552104,16959,16959
1508552704,16966,16966
1508553304,16968,16968
1508553904,16987,16987
1508554506,16988,16988
1508555103,16982,16982
1508555703,16980,16980
1508557206,16981,16981
1508557803,16986,16986
1508558405,16990,16990
1508559004,16982,16982
1508559605,16971,16971
1508560204,17068,17068
1508560804,17045,17045
1508561404,17035,17035
1508562604,16999,16999
1508563204,16988,16988
1508563803,17021,17021
1508564403,17064,17064
1508565005,17052,17052
1508565605,17047,17047
1508566204,17056,17056
1508566805,17040,17040
1508567404,17047,17047
1508568004,17040,17040
1508569205,17082,17082
1508569804,17076,17076
1508570403,17081,17081
1508571004,17080,17080
1508571603,17094,17094
1508572204,17107,17107
1508572804,17130,17130
1508573707,17073,17073
1508574304,17076,17076
1508574904,17078,17078
1508575504,17097,17097
1508576103,17096,17096
1508576704,17098,17098
1508577304,17111,17111
1508577905,17103,17103
1508578503,17097,17097
1508579105,17086,17086
1508579703,17085,17085
1508580304,17128,17128
1508580904,17233,17233
1508581503,17235,17235
1508582106,17185,17185
1508582704,17290,17290
1508583305,17286,17286
1508583904,17272,17272
1508584504,17279,17279
1508585102,17309,17309
1508585703,17305,17305
1508586305,17282,17282
1508586904,17230,17230
1508587504,17219,17219
1508588104,17217,17217
1508588702,17225,17225
1508589305,17209,17209
1508589904,17215,17215
1508590504,17320,17320
1508591104,17322,17322
1508591704,17321,17321
1508592303,17294,17294
1508592904,17337,17337
1508593505,17332,17332
1508594104,17333,17333
1508594705,17426,17426
1508595304,17444,17444
1508595904,17437,17437
1508596206,17395,17395
1508596804,17405,17405
1508597403,17410,17410
1508598003,17437,17437
1508598604,17476,17476
1508599204,17475,17475
1508599806,17464,17464
1508600405,17476,17476
1508601005,17536,17536
1508601606,17508,17508
1508602203,17521,17521
1508602805,17554,17554
1508603403,17557,17557
1508604004,17567,17567
1508604605,17558,17558
1508605205,17557,17557
1508605804,17561,17561
1508606406,17550,17550
1508607004,17553,17553
1508607604,17658,17658
1508608204,17664,17664
1508608805,17717,17717
1508609404,17722,17722
1508610003,17715,17715
1508610605,17707,17707
1508611207,17678,17678
1508611803,17655,17655
1508612404,17752,17752
1508613005,17736,17736
1508613604,17728,17728
1508614204,17724,17724
1508614804,17725,17725
1508615405,17783,17783
1508616005,17784,17784
1508616604,17774,17774
1508617204,17741,17741
1508617803,17745,17745
1508618404,17734,17734
1508619004,17730,17730
1508619604,17744,17744
