DateTime,AddedIPs,RemovedIPs
1478685681,26,0
1478729548,6,0
1478751430,8,0
1478773466,12,0
1478795326,15,0
1478817400,23,0
1478839454,6,0
1478861324,32,0
1478883384,27,0
1478905290,16,0
1478927331,14,0
1478949403,8,0
1478971490,25,0
1478993574,10,0
1479015651,14,0
1479037705,28,0
1479059568,19,0
1479081408,30,0
1479103267,25,0
1479125321,52,0
1479147914,89,0
1479169994,22,0
1479192023,15,0
1479214123,26,0
1479236243,23,0
1479258085,48,0
1479280112,12,0
1479301960,32,0
1479323801,50,0
1479345874,59,0
1479367975,68,0
1479390028,37,0
1479412103,50,0
1479433959,99,0
1479456114,55,0
1479478139,25,0
1479500222,25,0
1479522259,21,0
1479544383,53,0
1479566570,35,0
1479588520,17,0
1479610588,52,0
1479632514,55,0
1479654544,39,0
1479676849,57,0
1479698926,25,0
1479720999,29,0
1479743067,520,0
1479764949,117,0
1479786884,79,0
1479808912,3291,0
1479830911,4777,0
1479852776,3704,0
1479874820,46,0
1479896673,2746,0
1479918541,2986,0
1479940596,54,0
1479962666,40,0
1479984519,2413,0
1480006371,2557,0
1480028496,35,0
1480050522,35,0
1480072373,2675,0
1480094462,39,0
1480116510,63,0
1480138354,33,0
1480160433,330,0
1480182496,175,0
1480204371,322,0
1480226489,42,0
1480248527,1194,0
1480270583,26,19
1480292653,29,16
1480314529,43,12
1480336589,538,23
1480358659,61,7
1480380552,28,3
1480402589,7,5
1480424490,988,20
1480446515,29,12
1480468604,28,5
1480490666,39,8
1480512535,781,7
1480534598,28,6
1480556443,11,15
1480578522,22,6
1480600607,28,10
1480622499,17,4
1480644533,39,17
1480666588,38,6
1480688692,757,11
1480710744,16,12
1480732588,22,16
1480754433,43,14
1480776528,6,6
1480798373,24,8
1480820246,34,4
1480842170,113,3
1480864127,77,5
1480885972,69,1
1480908031,37,2
1480929877,124,7
1480951818,13,7
1480974065,18,16
1480996568,19,7
1481018880,976,11
1481040894,75,17
1481062856,17,8
1481085179,12,2
1481108542,524,9
1481130908,12,10
1481153509,34,11
1481175386,23,7
1481197250,34,4
1481219099,9,9
1481241177,7,17
1481263295,31,15
1481285350,57,8
1481307415,11,0
1481329465,31,1
