DateTime,Entries,UniqueIPs
1506031443,6541,6541
1506036004,6529,6529
1506039845,6538,6538
1506045611,6528,6528
1506049443,6507,6507
1506055205,6507,6507
1506060963,6514,6514
1506064803,6516,6516
1506070564,6518,6518
1506080165,6536,6536
1506084244,6537,6537
1506086165,6544,6544
1506090003,6562,6562
1506095763,6605,6605
1506103448,6571,6571
1506111124,6558,6558
1506117124,6538,6538
1506123364,6527,6527
1506132964,6517,6517
1506136803,6495,6495
1506144484,6445,6445
1506148324,6494,6494
1506154325,6508,6508
1506160083,6512,6512
1506165845,6541,6541
1506169686,6549,6549
1506175683,6579,6579
1506181444,6550,6550
1506191044,6583,6583
1506194884,6598,6598
1506200885,6544,6544
1506206884,6530,6530
1506214815,6495,6495
1506220564,6518,6518
1506226324,6473,6473
1506234003,6494,6494
1506238084,6509,6509
1506241924,6533,6533
1506245763,6541,6541
1506249605,6534,6534
1506255363,6556,6556
1506261123,6546,6546
1506264964,6572,6572
1506268820,6579,6579
1506276483,6574,6574
1506280564,6575,6575
1506286323,6565,6565
1506290165,6530,6530
1506292086,6506,6506
1506296163,6484,6484
1506301923,6463,6463
1506307683,6466,6466
1506313444,6454,6454
1506319214,6466,6466
1506324964,6489,6489
1506332644,6490,6490
1506342243,6507,6507
1506346084,6504,6504
1506350644,6506,6506
1506356403,6537,6537
1506364084,6529,6529
1506369844,6531,6531
1506375605,6492,6492
1506379444,6470,6470
1506387123,6471,6471
1506390965,6450,6450
1506398643,6412,6412
1506404404,6409,6409
1506408244,6426,6426
1506414003,6465,6465
1506417844,6456,6456
1506421684,6469,6469
1506425525,6465,6465
1506429363,6499,6499
1506433204,6461,6461
1506437284,6499,6499
1506441365,6535,6535
1506449044,6529,6529
1506455045,6528,6528
1506458884,6537,6537
1506462723,6480,6480
1506468963,6488,6488
1506474723,6452,6452
1506480483,6419,6419
1506488164,6417,6417
1506495843,6423,6423
1506499683,6452,6452
1506507363,6450,6450
1506511205,6434,6434
1506515763,6473,6473
1506517685,6479,6479
1506523443,6477,6477
1506531363,6523,6523
1506539043,6530,6530
1506546724,6505,6505
1506552485,6480,6480
1506556324,6443,6443
1506558243,6461,6461
1506565923,6429,6429
1506570004,6410,6410
1506575766,6391,6391
1506581523,6442,6442
1506587283,6454,6454
1506591123,6461,6461
1506597363,6463,6463
1506601215,6470,6470
1506606963,6462,6462
1506610815,6469,6469
1506616564,6485,6485
1506622324,6462,6462
1506628084,6478,6478
1506635763,6492,6492
1506640324,6418,6418
1506646323,6436,6436
1506652089,6435,6435
1506657843,6388,6388
1506659763,6387,6387
1506663843,6375,6375
1506667684,6407,6407
1506671523,6423,6423
1506677283,6415,6415
1506681124,6437,6437
1506686888,6421,6421
1506694564,6416,6416
1506702485,6413,6413
1506706324,6402,6402
1506712083,6401,6401
1506719764,6381,6381
1506726726,6360,6360
1506728644,6357,6357
1506734406,6346,6346
1506744243,6312,6312
1506751924,6322,6322
1506755763,6313,6313
1506759604,6347,6347
1506765364,6381,6381
1506773043,6385,6385
1506779044,6397,6397
1506782883,6421,6421
1506786964,6409,6409
1506792723,6407,6407
1506798723,6411,6411
1506803524,6402,6402
1506807845,6398,6398
1506815523,6418,6418
1506823216,6445,6445
1506828966,6434,6434
1506834723,6411,6411
1506840484,6466,6466
1506848166,6492,6492
1506852018,6529,6529
1506859686,6555,6555
1506867365,6556,6556
1506871203,6561,6561
1506876964,6548,6548
1506884643,6543,6543
1506888483,6542,6542
1506895449,6498,6498
1506901204,6496,6496
1506905044,6514,6514
1506908884,6467,6467
1506918486,6443,6443
1506924243,6451,6451
1506930005,6459,6459
1506933848,6470,6470
1506936003,6463,6463
1506939844,6460,6460
1506946323,6475,6475
1506950163,6454,6454
1506957844,6503,6503
1506961924,6508,6508
1506966003,6518,6518
1506970083,6533,6533
1506975609,6539,6539
1506981844,6489,6489
1506989523,6458,6458
1506993363,6419,6419
1506997204,6426,6426
1507001044,6410,6410
1507004884,6397,6397
1507010644,6437,6437
1507018324,6442,6442
1507024084,6450,6450
1507027923,6478,6478
1507031764,6477,6477
1507039683,6512,6512
1507047364,6541,6541
1507051444,6543,6543
1507057444,6567,6567
1507059363,6569,6569
1507063204,6546,6546
1507069203,6523,6523
1507073043,6496,6496
1507076885,6495,6495
1507080724,6463,6463
1507084563,6469,6469
1507088404,6446,6446
1507092244,6419,6419
1507096083,6443,6443
1507103764,6460,6460
1507109524,6468,6468
1507117205,6473,6473
1507121043,6488,6488
1507126803,6492,6492
1507129446,6512,6512
1507135204,6517,6517
1507141205,6532,6532
1507145046,6540,6540
1507150820,6508,6508
1507157767,6475,6475
1507161618,6461,6461
1507169285,6433,6433
1507171205,6452,6452
1507175043,6429,6429
1507177205,6411,6411
1507182965,6432,6432
1507190645,6469,6469
1507198323,6475,6475
1507204084,6481,6481
1507209123,6476,6476
1507212962,6498,6498
1507218723,6500,6500
1507220883,6520,6520
1507228804,6536,6536
1507232643,6546,6546
1507236484,6540,6540
1507238407,6517,6517
1507245364,6482,6482
1507251363,6447,6447
1507257363,6429,6429
1507265043,6400,6400
1507272006,6422,6422
1507275844,6425,6425
1507277763,6437,6437
1507283525,6448,6448
1507285685,6457,6457
1507291444,6453,6453
1507297204,6470,6470
1507304884,6486,6486
1507310643,6466,6466
1507316414,6514,6514
1507322406,6509,6509
1507326244,6486,6486
1507330085,6455,6455
1507338007,6447,6447
1507345685,6400,6400
1507349524,6389,6389
1507355283,6415,6415
1507362964,6419,6419
1507370646,6450,6450
1507376404,6461,6461
1507380245,6472,6472
1507384085,6491,6491
1507393685,6509,6509
1507397524,6516,6516
1507403284,6525,6525
1507407124,6476,6476
1507410965,6459,6459
1507416722,6428,6428
1507424413,6418,6418
1507430165,6429,6429
1507434003,6391,6391
1507439764,6381,6381
1507447444,6399,6399
1507454163,6445,6445
1507461843,6458,6458
1507467607,6500,6500
1507473363,6513,6513
1507477203,6505,6505
1507482963,6513,6513
1507490883,6523,6523
1507494723,6518,6518
1507498567,6506,6506
1507504323,6444,6444
1507510811,6413,6413
1507518484,6406,6406
1507526164,6385,6385
1507530004,6410,6410
1507535764,6420,6420
1507539612,6417,6417
1507541524,6439,6439
1507547285,6451,6451
1507553045,6446,6446
1507556884,6488,6488
1507566725,6471,6471
1507574405,6529,6529
1507578244,6493,6493
1507586644,6434,6434
1507592403,6438,6438
1507598163,6406,6406
1507603923,6400,6400
1507611611,6370,6370
1507619283,6393,6393
1507626963,6397,6397
1507632964,6411,6411
1507636814,6427,6427
1507644483,6432,6432
1507646403,6439,6439
1507650245,6474,6474
1507661044,6470,6470
1507666803,6488,6488
1507672564,6433,6433
1507678323,6388,6388
1507684323,6398,6398
