DateTime,AddedIPs,RemovedIPs
1507686258,28,17
1507688176,19,18
1507690097,37,29
1507692020,16,8
1507693940,20,31
1507695867,45,0
1507697782,15,28
1507699702,32,16
1507701622,31,0
1507704499,38,34
1507706431,22,18
1507708345,24,25
1507710253,14,15
1507712184,18,16
1507714092,17,0
1507716051,15,12
1507717942,12,12
1507719860,13,12
1507721773,10,17
1507723720,14,9
1507725621,15,16
1507727551,24,28
1507729463,27,36
1507731402,12,34
1507733293,18,21
1507735233,23,0
1507737385,10,27
1507739556,14,12
1507741479,9,32
1507745309,12,30
1507747752,32,30
1507749613,11,6
1507751544,19,35
1507753451,40,0
1507755384,13,0
1507757302,30,29
1507761144,29,71
1507763325,25,14
1507767153,41,58
1507769068,40,8
1507770987,33,9
1507772896,42,31
1507776738,32,56
1507778658,27,13
1507782504,33,72
1507784465,30,20
1507786359,17,31
1507788283,23,37
1507790180,6,0
1507794034,26,54
1507795948,12,24
1507797863,11,12
1507799797,10,23
1507801712,12,19
1507803635,20,15
1507805554,7,12
1507807468,8,12
1507809385,5,8
1507811308,13,12
1507815149,14,32
1507817324,29,32
1507819222,34,11
1507821149,26,18
1507823065,28,21
1507825253,21,11
1507827148,27,14
1507829066,40,12
1507830983,16,0
1507832905,27,13
1507834850,12,33
1507837000,12,6
1507838894,9,16
1507840835,15,27
1507842748,15,9
1507844674,28,24
1507846991,32,0
1507848988,24,31
1507850887,23,19
1507852824,5,0
1507854741,39,38
1507856653,7,37
1507858565,5,28
1507862419,17,46
1507864337,24,34
1507866248,33,27
1507868183,28,0
1507870102,36,39
1507872009,19,28
1507875848,25,37
1507877775,33,7
1507879698,42,0
1507881604,10,26
1507883539,9,11
1507885455,15,12
1507889296,6,27
1507891219,18,17
1507893140,16,5
1507895050,14,6
1507896989,32,9
1507898903,26,15
1507900808,15,0
1507902731,8,11
1507904652,34,26
1507906580,30,35
1507908508,27,28
1507910688,11,32
1507912589,12,23
1507914527,20,27
1507916425,10,36
1507918578,21,16
1507920502,39,37
1507922437,26,10
1507924333,9,16
1507926263,29,11
1507928183,23,13
1507930104,38,18
1507932042,16,33
1507933961,18,29
1507935874,12,24
1507937795,16,23
1507939705,5,5
1507941618,12,37
1507944155,25,7
1507946176,12,6
1507948323,9,0
1507950490,10,15
1507952291,29,21
1507954719,36,64
1507956989,33,34
1507958898,26,20
1507961079,28,0
1507964912,27,64
1507966833,32,41
1507968742,16,10
1507970654,13,12
1507972595,5,18
1507974503,18,0
1507976655,12,7
1507978613,16,13
1507980749,20,19
1507982682,28,14
1507984591,5,23
1507986503,30,32
1507988422,30,15
1507990352,19,7
1507992256,33,30
1507994194,24,33
1507996100,30,24
1507998015,30,12
1507999943,22,11
1508001854,34,20
1508005701,35,28
1508007875,24,45
1508009781,31,23
1508011713,25,11
1508013625,30,29
1508015544,25,19
1508017458,26,42
1508019397,20,14
1508021305,31,18
1508023234,23,20
1508025149,38,17
1508027067,31,2
1508028985,25,12
1508030892,27,19
1508032832,36,12
1508034754,43,8
1508036663,28,0
1508038591,30,9
1508040507,44,29
1508042426,26,33
1508044356,7,31
1508046266,28,24
1508048193,19,29
1508050100,26,0
1508052030,26,24
1508053944,22,28
1508055861,13,21
1508057783,10,12
1508061637,9,26
1508063551,12,15
1508065473,12,13
1508067374,15,19
1508069323,8,31
1508071226,13,4
1508073395,21,18
1508075292,28,27
1508077209,20,15
1508079148,16,30
1508081071,29,25
1508084215,19,27
1508086097,26,28
1508088035,27,19
1508089943,33,37
1508091858,28,0
1508093771,26,33
1508095707,22,21
1508097623,20,30
1508099539,32,27
1508103389,25,54
1508105305,16,28
1508107214,28,21
1508109138,25,29
1508111065,24,30
1508113005,24,34
1508114909,31,40
1508116813,26,26
1508118739,11,27
1508120655,31,37
1508122589,16,33
1508124501,28,34
1508126429,27,32
1508128342,18,45
1508130265,30,23
1508132184,24,9
1508134110,10,32
1508136025,22,24
1508137950,25,28
1508139859,28,28
1508141781,9,22
1508143698,13,14
1508145626,10,13
1508147570,9,0
1508155223,10,56
1508157141,14,11
1508161219,25,29
1508163131,6,23
1508165052,31,17
1508166988,5,14
1508168894,21,32
1508170820,20,18
1508172743,9,23
1508174652,30,26
1508176568,16,26
1508178493,32,27
1508180426,6,31
1508182349,9,24
1508184254,7,21
1508186170,16,28
1508188101,32,0
1508190006,13,28
1508191931,30,14
1508193861,25,29
1508195805,19,25
1508197763,27,26
1508199648,19,28
1508201553,34,29
1508203721,40,27
1508205643,33,11
1508207557,22,28
1508209470,11,14
1508211398,14,32
1508213322,16,26
1508215236,41,24
1508219088,17,65
1508220984,21,16
1508222939,27,22
1508226759,30,59
1508231541,12,27
1508233463,9,9
1508235377,16,9
1508237314,16,0
1508239225,15,0
1508241149,13,0
1508244976,19,18
1508246900,26,0
1508248841,20,27
1508250754,8,5
1508252681,9,39
1508254588,5,4
1508256508,11,26
1508258417,24,16
1508260344,37,9
1508266111,28,74
1508268074,35,6
1508269962,7,9
1508271882,18,8
1508275697,30,49
1508277624,18,18
1508279684,12,31
1508281694,25,24
1508283627,25,26
1508287690,34,43
1508289633,9,27
1508291529,6,41
1508293456,34,35
1508295384,28,26
1508297306,31,12
1508299218,19,15
1508301157,30,19
1508303061,24,38
1508304988,28,0
1508306892,12,19
1508312904,28,60
1508314827,12,32
1508316747,22,0
1508318670,9,13
1508322501,21,25
1508324432,17,16
1508326361,13,11
1508328273,26,7
1508331130,18,0
1508333050,31,18
1508334966,12,22
1508336887,17,20
1508339072,21,10
1508340970,26,10
1508342905,7,4
1508344822,22,37
1508346751,24,35
1508348665,27,0
1508350573,27,0
1508352491,29,0
1508354408,19,26
1508356330,7,24
1508358251,19,8
1508360181,8,17
1508362102,24,23
1508364018,9,0
1508366057,20,21
1508368606,14,38
1508370505,26,26
1508372427,13,0
1508374331,5,33
1508376272,29,9
1508380343,22,31
1508382258,42,27
1508384171,12,28
1508386092,11,19
1508388021,17,29
1508391854,30,55
1508393781,37,18
1508395703,35,0
1508397609,16,0
1508399549,8,24
1508401460,16,15
1508403381,11,20
1508405312,8,8
1508407219,11,0
1508409138,12,9
1508414902,17,54
1508416821,11,0
1508418737,7,18
1508422585,20,34
1508424500,26,17
1508426425,10,21
1508428365,33,22
1508430251,26,10
1508434090,22,48
1508436029,16,32
1508437948,12,30
1508439868,10,28
1508441770,15,26
1508443693,24,10
1508445624,11,23
1508447550,27,9
1508450483,13,35
1508452451,9,0
1508456172,27,32
1508458327,38,27
1508460254,35,17
1508462174,37,6
1508464096,36,27
1508466267,37,0
1508468167,14,19
1508470088,18,42
1508473932,17,18
1508475856,11,16
1508478024,26,0
1508479949,38,33
1508481866,18,36
1508483794,15,35
1508485704,24,17
1508487957,12,25
1508491684,8,14
1508493872,12,19
1508495768,8,12
1508497712,11,0
1508499608,24,0
1508501537,35,17
1508503461,27,10
1508505377,21,8
1508507295,29,0
1508509219,18,17
1508511170,35,23
1508513051,33,9
1508514994,16,28
1508516894,23,29
1508518830,10,0
1508520747,11,25
1508522659,10,13
1508525327,25,11
1508527230,13,10
1508529153,11,13
1508531058,35,20
1508532973,8,15
1508534892,33,27
1508536840,20,0
1508538802,7,13
1508540672,18,8
1508542570,12,0
1508544496,7,28
1508546421,28,38
1508548341,30,35
1508550253,23,41
1508552193,36,41
1508554110,25,36
1508556012,22,15
1508557937,25,27
1508559869,29,0
1508563694,35,32
1508565708,26,27
1508567740,41,38
1508571737,17,34
1508576043,14,39
1508577968,18,0
1508579895,8,9
1508581701,17,13
1508583731,21,10
1508585532,13,11
1508587472,19,25
1508589378,38,36
1508591298,38,27
1508593207,55,21
1508595127,36,26
1508597087,28,20
1508599243,36,33
1508601164,31,29
1508603052,32,13
1508604972,26,22
1508606892,36,8
1508610748,8,20
1508614569,37,32
1508616489,18,12
1508618420,48,36
1508620346,37,11
1508622259,44,35
1508624191,21,16
1508626089,23,8
1508628007,22,19
1508629925,29,10
1508631855,30,8
1508633778,29,25
1508635699,27,30
1508637611,22,17
1508639531,25,31
1508641470,28,27
1508643391,31,19
1508645319,28,22
1508647211,18,28
1508649148,22,0
1508652999,22,54
1508654902,31,37
1508656842,24,0
1508658767,24,19
1508660669,15,0
1508662571,15,13
1508664504,10,14
1508666439,12,8
1508668351,11,16
1508670263,10,28
1508672196,12,12
1508674105,32,19
1508676016,23,33
1508680365,25,92
1508682256,38,35
1508684182,8,29
1508688021,11,67
1508689940,19,35
1508691860,5,31
1508693793,13,36
1508695694,17,0
1508697627,13,9
1508699553,25,0
1508701465,22,29
1508703375,33,19
1508705294,26,38
1508707241,17,36
1508709148,23,40
1508711486,37,20
1508713460,8,20
1508715371,15,20
1508717300,8,22
1508719208,12,33
1508721126,27,34
1508723052,40,30
1508726894,24,47
1508728836,25,32
1508730730,15,35
1508734582,12,56
1508736507,22,20
1508738434,25,0
1508740353,11,28
1508742278,22,33
1508744182,17,33
1508746100,12,25
1508748025,11,17
1508749949,10,16
1508751855,10,10
1508753794,5,8
