DateTime,Entries,UniqueIPs
1507686258,4353,4448
1507688176,4357,4453
1507690097,4365,4462
1507692020,4376,4473
1507693940,4372,4469
1507695867,4385,4483
1507697782,4376,4473
1507699702,4373,4469
1507701622,4378,4474
1507704499,4378,4474
1507706431,4384,4480
1507708345,4395,4491
1507710253,4396,4492
1507712184,4400,4497
1507714092,4412,4509
1507716051,4422,4519
1507717942,4429,4526
1507719860,4431,4528
1507721773,4428,4524
1507723720,4421,4516
1507725621,4410,4505
1507727551,4423,4517
1507729463,4440,4534
1507731402,4441,4535
1507733293,4445,4540
1507735233,4454,4550
1507737385,4455,4551
1507739556,4448,4542
1507741479,4446,4540
1507745309,4435,4529
1507747752,4433,4524
1507749613,4437,4528
1507751544,4442,4533
1507753451,4453,4544
1507755384,4438,4527
1507757302,4443,4532
1507761144,4453,4542
1507763325,4452,4540
1507767153,4471,4558
1507769068,4482,4567
1507770987,4479,4561
1507772896,4493,4576
1507776738,4503,4586
1507778658,4490,4575
1507782504,4493,4578
1507784465,4490,4575
1507786359,4476,4561
1507788283,4485,4570
1507790180,4489,4574
1507794034,4461,4544
1507795948,4472,4555
1507797863,4473,4556
1507799797,4456,4539
1507801712,4458,4541
1507803635,4468,4551
1507805554,4466,4549
1507807468,4472,4555
1507809385,4465,4547
1507811308,4463,4545
1507815149,4462,4544
1507817324,4471,4553
1507819222,4470,4553
1507821149,4475,4559
1507823065,4476,4560
1507825253,4483,4567
1507827148,4483,4570
1507829066,4494,4578
1507830983,4497,4581
1507832905,4502,4587
1507834850,4502,4587
1507837000,4503,4588
1507838894,4511,4596
1507840835,4502,4587
1507842748,4502,4587
1507844674,4510,4595
1507846991,4535,4621
1507848988,4540,4625
1507850887,4546,4631
1507852824,4540,4625
1507854741,4562,4647
1507856653,4562,4647
1507858565,4554,4639
1507862419,4541,4626
1507864337,4539,4624
1507866248,4561,4646
1507868183,4566,4651
1507870102,4589,4674
1507872009,4591,4675
1507875848,4590,4675
1507877775,4588,4675
1507879698,4606,4694
1507881604,4603,4691
1507883539,4600,4686
1507885455,4610,4696
1507889296,4608,4694
1507891219,4611,4697
1507893140,4615,4701
1507895050,4616,4702
1507896989,4626,4712
1507898903,4642,4728
1507900808,4644,4730
1507902731,4629,4716
1507904652,4640,4728
1507906580,4661,4749
1507908508,4666,4754
1507910688,4669,4757
1507912589,4660,4749
1507914527,4663,4756
1507916425,4656,4749
1507918578,4661,4754
1507920502,4679,4775
1507922437,4695,4791
1507924333,4683,4779
1507926263,4690,4788
1507928183,4702,4800
1507930104,4724,4824
1507932042,4725,4825
1507933961,4728,4828
1507935874,4720,4820
1507937795,4723,4823
1507939705,4717,4817
1507941618,4712,4812
1507944155,4699,4799
1507946176,4696,4796
1507948323,4656,4755
1507950490,4655,4755
1507952291,4674,4775
1507954719,4673,4774
1507956989,4682,4783
1507958898,4681,4778
1507961079,4682,4778
1507964912,4660,4756
1507966833,4665,4761
1507968742,4660,4756
1507970654,4657,4753
1507972595,4652,4747
1507974503,4660,4755
1507976655,4662,4757
1507978613,4667,4761
1507980749,4676,4770
1507982682,4678,4772
1507984591,4681,4775
1507986503,4675,4769
1507988422,4693,4787
1507990352,4683,4776
1507992256,4706,4799
1507994194,4703,4796
