DateTime,AddedIPs,RemovedIPs
1507686258,48,16
1507688176,35,47
1507690097,52,34
1507692020,20,53
1507693940,33,21
1507695867,66,33
1507697782,33,70
1507699702,52,29
1507701622,51,49
1507704499,59,50
1507706431,29,56
1507708345,43,35
1507710253,23,44
1507712184,34,25
1507714092,25,35
1507716051,27,25
1507717942,20,27
1507719860,20,18
1507721773,14,21
1507723720,25,15
1507725621,20,25
1507727551,33,16
1507729463,47,36
1507731402,23,45
1507733293,37,22
1507735233,42,40
1507737385,20,40
1507739556,24,23
1507741479,21,22
1507745309,18,22
1507747752,49,15
1507749613,22,51
1507751544,32,20
1507753451,60,33
1507755384,21,61
1507757302,53,19
1507761144,54,53
1507763325,35,55
1507767153,63,36
1507769068,63,63
1507770987,48,60
1507772896,67,46
1507776738,57,67
1507778658,45,61
1507782504,60,44
1507784465,55,58
1507786359,27,56
1507788283,41,25
1507790180,19,46
1507794034,61,17
1507795948,21,57
1507797863,21,26
1507799797,29,23
1507801712,24,30
1507803635,39,24
1507805554,23,38
1507807468,19,19
1507809385,22,19
1507811308,28,25
1507815149,27,26
1507817324,56,23
1507819222,55,57
1507821149,52,56
1507823065,59,57
1507825253,43,54
1507827148,43,48
1507829066,57,39
1507830983,26,62
1507832905,50,22
1507834850,20,52
1507837000,25,21
1507838894,19,25
1507840835,19,20
1507842748,37,18
1507844674,49,33
1507846991,52,49
1507848988,37,48
1507850887,38,42
1507852824,9,40
1507854741,59,10
1507856653,12,56
1507858565,13,14
1507862419,25,14
1507864337,43,24
1507866248,56,44
1507868183,55,57
1507870102,55,51
1507872009,37,57
1507875848,44,32
1507877775,46,47
1507879698,60,49
1507881604,21,61
1507883539,17,20
1507885455,31,19
1507889296,14,30
1507891219,22,12
1507893140,24,23
1507895050,32,24
1507896989,49,28
1507898903,52,51
1507900808,25,51
1507902731,17,25
1507904652,54,20
1507906580,48,48
1507908508,42,54
1507910688,18,39
1507912589,19,23
1507914527,29,16
1507916425,19,30
1507918578,39,17
1507920502,62,39
1507922437,45,64
1507924333,14,44
1507926263,49,14
1507928183,33,46
1507930104,53,33
1507932042,31,57
1507933961,31,29
1507935874,34,33
1507937795,28,34
1507939705,11,28
1507941618,22,10
1507944155,38,24
1507946176,21,40
1507948323,16,19
1507950490,20,16
1507952291,53,16
1507954719,52,50
1507956989,45,49
1507958898,42,51
1507961079,50,39
1507964912,41,42
1507966833,46,48
