DateTime,Entries,UniqueIPs
1499106211,27655,27655
1499116887,29492,29492
1499127753,33251,33251
1499135268,36191,36191
1499145513,37701,37701
1499156237,42137,42137
1499166999,42590,42590
1499177804,43002,43002
1499188671,43861,43861
1499199459,45204,45204
1499210229,46978,46978
1499221030,48440,48440
1499231860,49971,49971
1499242648,52398,52398
1499253445,55886,55886
1499264307,59716,59716
1499275075,64646,64646
1499285901,67046,67046
1499296675,70323,70323
1499307490,70597,70597
1499318283,70721,70721
1499329118,71063,71063
1499340191,71440,71440
1499350684,72550,72550
1499361595,73292,73292
1499372323,74777,74777
1499383555,76659,76659
1499393980,77176,77176
1499404714,77267,77267
1499415457,77347,77347
1499426222,77720,77720
1499437041,77928,77928
1499447806,78048,78048
1499458604,78152,78152
1499469407,78342,78342
1499480208,77520,77520
1499491005,77609,77609
1499501828,77785,77785
1499512608,78082,78082
1499523406,78225,78225
1499534206,78289,78289
1499545031,78430,78430
1499555810,78547,78547
1499566610,76665,76665
1499577409,76767,76767
1499588209,76829,76829
1499599009,76882,76882
1499609818,76944,76944
1499620609,77015,77015
1499631410,77153,77153
1499642214,77200,77200
1499653009,69937,69937
1499663809,70083,70083
1499674613,70179,70179
1499685410,70294,70294
1499696209,70401,70401
1499707009,70563,70563
1499717809,70730,70730
1499728610,70836,70836
1499739413,56721,56721
1499750209,56953,56953
1499761009,57100,57100
1499771821,57372,57372
1499782609,57617,57617
1499793419,57739,57739
1499804209,57866,57866
1499815010,58019,58019
1499825862,47270,47270
1499833316,47456,47456
1499843884,47886,47886
1499854651,48298,48298
1499865496,48617,48617
1499876267,49072,49072
1499883454,49471,49471
1499894233,50334,50334
1499905184,43794,43794
1499912237,44835,44835
1499919583,45363,45363
1499927114,46409,46409
1499937885,46684,46684
1499948246,46935,46935
1499959035,47265,47265
1499969943,47828,47828
1499980666,48448,48448
1499991473,44543,44543
1499998624,44751,44751
1500005994,44907,44907
1500016791,45204,45204
1500024225,45423,45423
1500034675,46064,46064
1500045472,46303,46303
1500056207,46502,46502
1500067005,46759,46759
1500077805,43518,43518
1500088669,43793,43793
1500099557,44452,44452
1500110412,45025,45025
1500121079,46283,46283
1500131926,47767,47767
1500142892,48901,48901
1500153570,49697,49697
1500164317,49261,49261
1500175035,50196,50196
1500185822,50278,50278
1500196619,50510,50510
1500207411,50635,50635
1500218209,50771,50771
1500229007,50883,50883
1500239808,50997,50997
1500250609,49170,49170
1500261452,49369,49369
1500272216,49548,49548
1500283009,49717,49717
1500293867,49825,49825
1500304608,50037,50037
1500315419,50171,50171
1500326207,50302,50302
1500337008,48327,48327
1500347852,48448,48448
1500355204,48538,48538
1500365845,48879,48879
1500373097,49226,49226
1500380416,49640,49640
1500391155,50615,50615
1500401896,50834,50834
1500412624,51301,51301
1500423412,48502,48502
1500434262,48626,48626
1500448827,48871,48871
1500459833,49187,49187
1500470368,49420,49420
1500481023,49798,49798
1500491823,50166,50166
1500502629,50829,50829
1500513426,47253,47253
1500524362,47374,47374
1500535072,47677,47677
1500545831,47982,47982
1500556630,48537,48537
1500567495,49369,49369
1500574730,50116,50116
1500585437,50675,50675
1500592648,50867,50867
1500603464,47932,47932
1500610831,48005,48005
1500621575,48229,48229
1500632266,48528,48528
1500643062,48711,48711
1500653888,48864,48864
1500664667,48984,48984
1500675608,49072,49072
1500686301,44255,44255
1500693760,44529,44529
1500704513,44862,44862
1500715382,45601,45601
1500722543,46248,46248
1500733021,47537,47537
1500743869,48600,48600
1500754629,48752,48752
1500765416,49000,49000
1500776212,47053,47053
1500787028,47567,47567
1500797817,47736,47736
1500808613,48016,48016
1500819416,48182,48182
1500830210,48329,48329
1500841010,48464,48464
1500851811,48577,48577
1500862609,46389,46389
1500873412,46512,46512
1500884211,46635,46635
1500895011,46784,46784
1500905811,46895,46895
1500916610,47006,47006
1500927410,47118,47118
1500938209,47221,47221
1500949009,44557,44557
1500959815,44697,44697
1500970610,44831,44831
1500981260,44984,44984
1500992112,45122,45122
1501002967,45283,45283
1501013810,45443,45443
1501024608,45565,45565
1501035409,43098,43098
1501046213,43249,43249
1501057010,43411,43411
1501067808,43536,43536
1501078608,43675,43675
1501089413,43801,43801
1501100210,43933,43933
1501111011,44029,44029
1501121808,40803,40803
1501132607,40945,40945
1501143407,41074,41074
1501154208,41209,41209
1501165007,41348,41348
1501175808,41462,41462
1501186608,41566,41566
1501197408,41681,41681
1501208296,39229,39229
1501219097,39363,39363
1501229899,39496,39496
1501240705,39610,39610
1501251510,39720,39720
1501262304,39842,39842
1501273113,39945,39945
1501283898,40037,40037
1501294646,36989,36989
1501305459,37110,37110
1501316242,37227,37227
1501327048,37347,37347
1501337844,37448,37448
1501348646,37553,37553
1501359446,37665,37665
1501370265,37771,37771
1501381042,34839,34839
1501391860,34964,34964
1501402529,35047,35047
1501413453,35217,35217
1501424255,35329,35329
1501435077,35436,35436
1501445859,35579,35579
1501456645,35699,35699
1501467450,33497,33497
1501478244,33625,33625
1501489044,33758,33758
1501499851,33893,33893
1501510659,34010,34010
1501521442,34121,34121
1501532255,34256,34256
1501543048,34405,34405
1501553842,32567,32567
1501564648,32748,32748
1501575444,32922,32922
1501586243,33106,33106
1501597046,33301,33301
1501607844,33456,33456
1501618645,33624,33624
1501629531,33778,33778
1501640326,32265,32265
1501651068,32391,32391
1501661884,32552,32552
1501672770,32689,32689
1501683474,32812,32812
1501694276,32957,32957
1501705080,33106,33106
1501715875,33225,33225
1501726668,31878,31878
1501737459,32023,32023
1501748268,32142,32142
1501759061,32274,32274
1501769874,32391,32391
1501780668,32513,32513
1501795815,32142,32142
1501901328,30949,30949
1501981642,30506,30506
1502108255,30254,30254
1502189148,29261,29261
1502296028,28599,28599
1502386693,27868,27868
1502452744,26818,26818
1502560397,26250,26250
1502712606,24782,24782
1502798453,24163,24163
1502880700,23498,23498
1502978086,22495,22495
1502984667,22540,22540
1503091042,21565,21565
1503286500,17664,17664
1503353414,17993,17993
1503439365,16547,16547
1503611105,14403,14403
1503918143,10870,10870
1504583275,9863,9863
1504812073,11966,11966
1505133783,11964,11964
1505769892,9962,9962
1506093784,8573,8573
1506368808,15000,15000
1506379201,15000,15000
1506390001,15000,15000
1506400801,15000,15000
