DateTime,Entries,UniqueIPs
1508265140,36632,36632
1508266117,36461,36461
1508267064,36148,36148
1508268079,35920,35920
1508269002,35830,35830
1508269968,35684,35684
1508270898,35492,35492
1508271899,35395,35395
1508272827,35281,35281
1508273780,35180,35180
1508274751,34971,34971
1508275702,35090,35090
1508276669,34512,34512
1508277630,34335,34335
1508278588,34432,34432
1508279699,34253,34253
1508280734,34095,34095
1508281700,33841,33841
1508282683,33560,33560
1508283633,33018,33018
1508284573,33118,33118
1508285804,32637,32637
1508286746,32372,32372
1508287695,32100,32100
1508288670,31881,31881
1508289639,31972,31972
1508290593,31521,31521
1508291536,31664,31664
1508292516,31082,31082
1508293472,30933,30933
1508294412,31038,31038
1508295389,30799,30799
1508296334,30577,30577
1508297321,30027,30027
1508298261,30130,30130
1508299223,30003,30003
1508300198,29893,29893
1508301162,29534,29534
1508302096,29649,29649
1508303077,29549,29549
1508304012,29652,29652
1508304994,29468,29468
1508305949,29612,29612
1508306897,29531,29531
1508307865,29476,29476
1508308838,29226,29226
1508311024,29117,29117
1508311945,28960,28960
1508312909,28896,28896
1508313873,28764,28764
1508314833,28854,28854
1508315775,28932,28932
1508316761,28931,28931
1508317693,28906,28906
1508318679,28910,28910
1508319627,28946,28946
1508320612,28926,28926
1508321546,28929,28929
1508322516,28888,28888
1508323477,28885,28885
1508324437,28905,28905
1508325383,28848,28848
1508326376,28800,28800
1508327294,28789,28789
1508328278,28763,28763
1508329235,28751,28751
1508330315,28748,28748
1508331379,28800,28800
1508332341,28808,28808
1508333307,28658,28658
1508334259,28792,28792
1508335241,28890,28890
1508336211,28757,28757
1508337149,28875,28875
1508338101,28912,28912
1508339077,28931,28931
1508340035,28966,28966
1508340985,28998,28998
1508341974,28954,28954
1508342910,29144,29144
1508343874,28995,28995
1508344827,29084,29084
1508345788,29117,29117
1508346756,29259,29259
1508347699,29363,29363
1508348669,29184,29184
1508349648,29229,29229
1508350578,29376,29376
1508351565,29288,29288
1508352495,29431,29431
1508353471,29412,29412
1508354413,29540,29540
1508355401,29602,29602
1508356335,29670,29670
1508357312,29663,29663
1508358266,29851,29851
1508359218,29936,29936
1508360186,29863,29863
1508361157,29900,29900
1508362107,29818,29818
1508363073,29802,29802
1508364023,29998,29998
1508365365,29947,29947
1508366427,29926,29926
1508368624,30057,30057
1508369535,30092,30092
1508370510,30098,30098
1508371478,29995,29995
1508372433,29977,29977
1508373387,29997,29997
1508374337,29975,29975
1508375293,30016,30016
1508376288,30062,30062
1508377228,30090,30090
1508378438,30193,30193
1508379393,30196,30196
1508380349,30226,30226
1508381293,30260,30260
1508382273,30336,30336
1508383223,30392,30392
1508384176,30400,30400
1508385142,30398,30398
1508386097,30478,30478
1508387055,30488,30488
1508388026,30494,30494
1508388981,30487,30487
1508389980,30545,30545
1508390892,30568,30568
1508391861,30580,30580
1508392827,30596,30596
1508393796,30636,30636
1508394740,30636,30636
1508395709,30653,30653
1508396663,30797,30797
