DateTime,AddedIPs,RemovedIPs
1508265140,31,80
1508266117,32,3
1508267064,32,37
1508268079,26,66
1508269002,32,41
1508269968,34,40
1508270898,19,6
1508271899,34,91
1508272827,23,39
1508273780,26,5
1508274751,30,68
1508275702,29,5
1508276669,35,78
1508277630,27,7
1508278588,35,33
1508279699,61,68
1508280734,40,29
1508281700,32,38
1508282683,27,41
1508283633,30,39
1508284573,30,43
1508285804,37,48
1508286746,26,26
1508287695,26,44
1508288670,38,52
1508289639,33,43
1508290593,26,40
1508291536,35,58
1508292516,41,41
1508293472,36,35
1508294412,33,30
1508295389,55,41
1508296334,39,32
1508297321,49,43
1508298261,36,35
1508299223,45,49
1508300198,19,54
1508301162,16,27
1508302096,42,36
1508303077,72,33
1508304012,24,44
1508304994,32,30
1508305949,36,39
1508306897,30,32
1508307865,32,34
1508308838,24,51
1508311024,63,94
1508311945,12,50
1508312909,29,33
1508313873,69,48
1508314833,33,38
1508315775,23,39
1508316761,50,44
1508317693,40,37
1508318679,34,31
1508319627,27,33
1508320612,41,51
1508321546,35,36
1508322516,35,40
1508323477,46,39
1508324437,45,49
1508325383,30,32
1508326376,33,45
1508327294,24,31
1508328278,43,52
1508329235,36,50
1508330315,30,5
1508331379,40,38
1508332341,38,30
1508333307,39,75
1508334259,25,5
1508335241,46,37
1508336211,43,78
1508337149,38,35
1508338101,21,8
1508339077,40,37
1508340035,50,69
1508340985,38,50
1508341974,35,38
1508342910,39,5
1508343874,31,75
1508344827,44,47
1508345788,20,7
1508346756,48,58
1508347699,54,48
1508348669,40,50
1508349648,54,44
1508350578,55,41
1508351565,48,33
1508352495,30,35
1508353471,48,51
1508354413,34,37
1508355401,47,48
1508356335,47,67
1508357312,65,50
1508358266,76,65
1508359218,56,48
1508360186,45,36
1508361157,53,46
1508362107,35,40
1508363073,40,55
1508364023,47,53
1508365365,59,60
1508366427,36,39
1508368624,81,156
1508369535,27,5
1508370510,36,53
1508371478,23,39
1508372433,48,37
1508373387,34,59
1508374337,39,42
1508375293,37,58
1508376288,44,48
1508377228,38,38
1508378438,60,58
1508379393,48,51
1508380349,49,38
1508381293,47,44
1508382273,46,32
1508383223,57,60
1508384176,43,27
1508385142,39,49
1508386097,58,30
1508387055,41,44
1508388026,45,41
1508388981,34,44
1508389980,38,34
1508390892,57,45
1508391861,43,42
1508392827,41,55
1508393796,52,35
1508394740,44,42
1508395709,28,40
1508396663,48,40
1508397624,35,44
1508398603,44,51
1508399556,37,56
1508400507,50,56
1508401465,42,37
1508402426,54,46
1508403396,34,28
1508404339,49,37
1508405317,40,29
1508406255,40,25
1508407234,49,32
1508408189,39,33
1508409144,31,32
1508410105,66,107
1508411078,32,44
1508412022,39,53
1508412978,45,40
1508413954,50,98
1508414908,39,4
1508415863,50,53
1508416827,113,13
1508417787,38,46
1508418754,33,39
1508419708,25,41
1508420662,27,39
1508421617,39,40
1508422600,35,30
1508423551,31,44
1508424505,38,38
1508425476,31,36
1508426431,36,31
1508427387,37,42
1508428370,49,41
1508429305,35,25
1508430267,41,47
1508431212,34,33
1508432191,46,34
1508433138,38,24
1508434095,38,32
1508435065,37,35
1508436034,43,36
1508436977,44,22
1508437963,30,27
1508438894,40,5
1508439874,57,43
1508440827,80,123
1508441785,77,138
1508442743,45,78
1508443699,47,34
1508444654,27,35
1508445639,39,49
1508446572,35,26
1508447556,29,42
1508448497,23,42
1508450499,57,88
1508451613,52,45
1508452579,27,41
1508453539,40,45
1508454491,38,33
1508455470,39,38
1508456424,25,26
1508457372,42,40
1508458344,29,32
1508459291,52,44
1508460259,42,32
1508461230,54,44
1508462190,54,37
1508463152,41,40
1508464101,43,46
1508465316,65,35
1508466283,42,33
1508467225,50,32
1508468173,40,22
1508469259,48,27
1508470344,35,33
1508471296,24,31
1508472272,53,46
1508473217,39,35
1508474184,39,34
1508475142,44,42
1508476103,47,35
1508477054,34,46
1508478029,39,40
1508478974,36,37
1508479964,47,46
1508480895,34,37
1508481872,40,33
1508482840,53,59
1508483800,37,46
1508484738,43,46
1508485709,44,48
1508486677,39,54
1508487975,54,65
1508489065,42,36
1508490032,30,40
1508490981,37,41
1508491957,49,33
1508492909,50,36
1508493878,59,39
1508494823,57,41
1508495783,53,39
1508496751,42,45
1508497717,35,37
1508498661,35,37
1508499614,32,47
1508500597,60,68
1508501542,50,10
1508502504,34,34
1508503476,55,41
1508504440,44,39
1508505382,41,61
1508506352,49,41
1508507308,34,40
1508508280,57,41
1508509226,33,43
1508510197,37,36
1508511175,48,47
1508512121,52,40
1508513057,53,42
1508514016,49,33
1508515010,46,40
1508515957,49,42
1508516899,39,35
1508517860,39,38
1508518844,39,53
1508519786,32,53
1508520754,55,61
1508521696,36,44
1508522675,34,43
1508523630,23,9
1508525343,64,88
1508526264,46,34
1508527235,28,29
1508528172,39,44
1508529169,46,33
1508530095,52,42
1508531064,59,33
1508532023,51,45
1508532989,30,46
1508533954,46,39
1508534898,31,25
1508535866,23,43
1508536855,41,37
1508537791,41,44
1508538807,29,37
1508539709,41,45
1508540687,28,31
1508541625,29,44
1508542575,36,42
1508543553,45,36
1508544502,39,52
1508545500,60,40
1508546427,43,38
1508547392,41,35
1508548346,46,48
1508549303,43,46
1508550269,57,52
1508551227,49,30
1508552199,63,43
1508553137,44,37
1508554125,41,37
1508555063,40,39
1508556018,32,36
1508556982,45,5
1508557943,47,70
1508558894,36,6
1508559885,59,79
1508560823,40,26
1508561778,33,3
1508562761,34,52
1508563700,30,34
1508564660,29,28
1508565723,25,27
1508566809,33,29
1508567757,53,21
1508568757,42,34
1508569865,44,41
1508570775,38,34
1508571742,39,37
1508572832,35,39
1508574111,42,54
1508575112,30,35
1508576059,26,42
1508577040,49,35
1508577985,31,48
1508579053,34,35
1508580019,45,41
1508580999,39,87
1508581938,47,7
1508582904,39,96
1508583856,33,7
1508584820,34,31
1508585781,26,42
1508586728,35,42
1508587699,23,36
1508588665,39,38
1508589614,37,80
1508590584,33,2
1508591545,32,64
1508592508,42,80
1508593459,30,7
1508594424,41,60
1508595396,30,24
1508596339,43,36
1508597298,29,38
1508598275,27,39
1508599258,45,39
1508600174,34,41
1508601172,37,35
1508602096,30,30
1508603068,26,58
1508604024,35,47
1508604977,28,44
1508605965,32,33
1508606898,29,42
1508607858,20,49
1508608845,31,45
1508609811,35,31
1508610755,30,44
1508611695,25,54
1508612673,32,40
1508613645,29,26
1508614575,24,39
1508615543,20,38
1508616505,25,34
1508617480,24,36
1508618425,25,30
1508619376,26,47
1508620362,40,39
1508621309,25,39
1508622265,18,37
1508623231,24,33
1508624197,30,46
1508625392,34,27
1508626344,31,46
1508627302,43,89
1508628253,27,56
1508629239,22,48
1508630181,14,5
1508631155,45,62
1508632102,33,76
1508633057,21,3
1508634013,45,22
1508634992,42,28
1508635938,28,5
1508636919,34,42
1508637864,35,14
1508638812,39,7
1508640038,33,34
1508640996,38,12
1508641938,35,14
1508642910,34,23
1508643860,37,22
1508644834,32,16
1508645802,39,60
1508646738,33,65
1508647709,42,73
1508648688,42,83
1508649630,44,89
1508650597,54,143
1508651546,53,153
1508652506,36,62
1508653465,37,36
1508654429,30,40
1508655371,29,40
1508656361,26,46
1508657294,32,31
1508658255,38,30
1508659239,35,31
1508660209,34,42
1508661150,28,43
1508662096,31,37
1508663073,33,36
1508664024,23,26
1508664988,28,38
1508665944,27,25
1508666897,24,33
1508667865,34,30
1508668834,39,45
1508669783,41,30
1508670738,39,32
1508671714,34,42
1508672657,36,31
1508673622,32,36
1508674599,26,34
1508675535,42,29
1508676511,23,41
1508678468,73,88
1508679403,29,39
1508680370,35,31
1508681294,27,40
1508682271,24,34
1508683237,33,29
1508684188,32,37
1508685138,29,30
1508686119,42,37
1508687069,22,34
1508688027,33,53
1508688994,29,35
1508689956,31,35
1508690921,27,25
1508691867,30,39
1508692817,21,53
1508693808,26,56
1508694750,30,35
