DateTime,AddedIPs,RemovedIPs
1508265140,823,823
1508266117,688,687
1508267064,738,718
1508268079,658,657
1508269002,712,721
1508269968,819,816
1508270898,703,703
1508271899,710,705
1508272827,679,688
1508273780,827,825
1508274751,711,702
1508275702,772,771
1508276669,729,731
1508277630,819,826
1508278588,672,670
1508279699,784,794
1508280734,910,913
1508281700,675,681
1508282683,667,673
1508283633,610,612
1508284573,713,710
1508285804,951,973
1508286746,743,762
1508287695,608,627
1508288670,867,889
1508289639,714,743
1508290593,710,733
1508291536,738,749
1508292516,704,714
1508293472,744,744
1508294412,632,619
1508295389,752,736
1508296334,667,658
1508297321,826,830
1508298261,602,606
1508299223,775,776
1508300198,600,621
1508301162,649,661
1508302096,679,677
1508303077,1059,1046
1508304012,602,597
1508304994,670,674
1508305949,786,793
1508306897,692,684
1508307865,704,696
1508308838,681,677
1508311024,1164,1202
1508311945,108,116
1508312909,589,596
1508313873,1628,1601
1508314833,634,637
1508315775,569,568
1508316761,872,882
1508317693,673,665
1508318679,588,590
1508319627,652,655
1508320612,642,652
1508321546,761,772
1508322516,724,731
1508323477,641,643
1508324437,760,757
1508325383,546,544
1508326376,670,665
1508327294,713,724
1508328278,882,884
1508329235,654,673
1508330315,729,726
1508331379,779,776
1508332341,830,826
1508333307,635,630
1508334259,651,638
1508335241,908,897
1508336211,697,704
1508337149,725,732
1508338101,611,614
1508339077,779,784
1508340035,622,626
1508340985,662,651
1508341974,805,804
1508342910,703,696
1508343874,589,584
1508344827,894,893
1508345788,686,688
1508346756,695,692
1508347699,787,792
1508348669,677,681
1508349648,811,796
1508350578,745,751
1508351565,738,731
1508352495,602,602
1508353471,838,827
1508354413,678,681
1508355401,806,796
1508356335,752,756
1508357312,956,953
1508358266,701,703
1508359218,817,827
1508360186,915,915
1508361157,839,826
1508362107,691,691
1508363073,712,707
1508364023,814,814
1508365365,960,961
1508366427,744,740
1508368624,1595,1592
1508369535,637,634
1508370510,809,808
1508371478,646,647
1508372433,704,704
1508373387,639,649
1508374337,674,683
1508375293,826,826
1508376288,831,839
1508377228,612,617
1508378438,948,945
1508379393,694,675
1508380349,613,600
1508381293,855,847
1508382273,834,824
1508383223,743,735
1508384176,720,709
1508385142,652,647
1508386097,857,847
1508387055,630,615
1508388026,696,685
1508388981,881,921
1508389980,754,761
1508390892,631,619
1508391861,715,721
1508392827,703,709
1508393796,705,706
1508394740,636,628
1508395709,817,806
1508396663,658,665
1508397624,742,730
1508398603,693,685
1508399556,681,673
1508400507,790,796
1508401465,699,694
1508402426,736,734
1508403396,747,765
1508404339,667,665
1508405317,624,620
1508406255,552,539
1508407234,820,806
1508408189,701,704
1508409144,603,608
1508410105,729,738
1508411078,700,702
1508412022,662,663
1508412978,646,641
1508413954,836,845
1508414908,707,711
1508415863,675,678
1508416827,655,647
1508417787,761,743
1508418754,665,662
1508419708,857,849
1508420662,647,645
1508421617,797,783
1508422600,685,696
1508423551,749,754
1508424505,721,736
1508425476,792,805
1508426431,772,770
1508427387,700,707
1508428370,775,762
1508429305,713,704
1508430267,779,779
1508431212,798,803
1508432191,979,980
1508433138,784,785
1508434095,683,666
1508435065,828,839
1508436034,632,633
1508436977,767,814
1508437963,720,731
1508438894,539,533
1508439874,1001,952
1508440827,854,840
1508441785,677,693
1508442743,842,847
1508443699,726,725
1508444654,603,597
1508445639,693,694
1508446572,819,819
1508447556,654,660
1508448497,622,616
1508450499,1440,1437
1508451613,855,845
1508452579,640,634
1508453539,806,811
1508454491,738,733
1508455470,650,652
1508456424,661,654
1508457372,738,738
1508458344,617,632
1508459291,716,728
1508460259,747,753
1508461230,775,762
1508462190,723,724
1508463152,763,762
1508464101,626,624
1508465316,1007,1003
1508466283,752,751
1508467225,648,632
1508468173,752,758
1508469259,774,767
1508470344,837,845
1508471296,554,560
1508472272,789,782
1508473217,594,592
1508474184,781,779
1508475142,608,602
1508476103,793,789
1508477054,690,699
1508478029,763,763
1508478974,748,750
1508479964,664,680
1508480895,684,682
1508481872,716,721
1508482840,776,778
1508483800,616,622
1508484738,822,805
1508485709,737,719
1508486677,660,654
1508487975,1050,1062
1508489065,805,810
1508490032,725,729
1508490981,676,674
1508491957,757,768
1508492909,529,518
1508493878,781,763
1508494823,745,756
1508495783,640,650
1508496751,787,806
1508497717,643,651
1508498661,547,561
1508499614,727,736
1508500597,741,755
1508501542,835,832
1508502504,666,660
1508503476,695,666
1508504440,866,856
1508505382,699,689
1508506352,834,828
1508507308,651,648
1508508280,830,823
1508509226,643,640
1508510197,756,750
1508511175,650,652
1508512121,794,799
1508513057,564,578
1508514016,747,739
1508515010,752,770
1508515957,793,810
1508516899,675,688
1508517860,767,740
1508518844,700,679
1508519786,832,822
1508520754,797,783
1508521696,591,592
1508522675,894,891
1508523630,674,674
1508525343,1224,1212
1508526264,788,788
1508527235,630,629
1508528172,760,761
1508529169,831,826
1508530095,654,653
1508531064,812,815
1508532023,816,810
1508532989,678,677
1508533954,968,974
1508534898,645,659
1508535866,714,715
1508536855,872,870
1508537791,760,754
1508538807,698,690
1508539709,859,862
1508540687,735,737
1508541625,564,571
1508542575,776,783
1508543553,722,718
1508544502,793,808
1508545500,816,827
1508546427,701,702
1508547392,680,686
1508548346,895,906
1508549303,635,643
1508550269,784,780
1508551227,758,758
1508552199,791,784
1508553137,751,748
1508554125,770,771
1508555063,831,827
1508556018,707,719
1508556982,890,882
1508557943,718,721
1508558894,752,753
1508559885,791,783
1508560823,657,653
1508561778,756,755
1508562761,802,802
1508563700,532,538
1508564660,587,596
1508565723,574,590
1508566809,605,610
1508567757,1198,1186
1508568757,855,852
1508569865,753,745
1508570775,687,697
1508571742,656,648
1508572832,916,919
1508574111,909,913
1508575112,719,738
1508576059,690,689
1508577040,710,708
1508577985,763,768
1508579053,584,577
1508580019,781,809
1508580999,727,729
1508581938,716,724
1508582904,640,641
1508583856,754,768
1508584820,656,703
1508585781,582,588
1508586728,729,736
1508587699,569,578
1508588665,652,655
1508589614,704,702
1508590584,719,707
1508591545,731,714
1508592508,581,579
1508593459,777,781
1508594424,700,697
1508595396,742,753
1508596339,679,678
1508597298,791,803
1508598275,603,606
1508599258,724,724
1508600174,638,642
1508601172,790,794
1508602096,528,533
1508603068,718,718
1508604024,758,761
1508604977,722,735
1508605965,725,727
1508606898,622,616
1508607858,692,686
1508608845,649,643
1508609811,786,799
1508610755,664,666
1508611695,661,654
1508612673,745,738
1508613645,790,788
1508614575,624,621
1508615543,778,777
1508616505,595,600
1508617480,823,828
1508618425,668,677
1508619376,749,751
1508620362,763,767
1508621309,611,615
1508622265,616,624
1508623231,746,743
1508624197,692,683
1508625392,795,792
1508626344,835,841
1508627302,650,653
1508628253,604,611
1508629239,795,793
1508630181,653,661
1508631155,812,812
1508632102,606,614
1508633057,585,601
1508634013,822,833
1508634992,631,642
1508635938,709,725
1508636919,656,654
1508637864,725,718
1508638812,622,603
1508640038,794,790
1508640996,797,789
1508641938,749,740
1508642910,763,764
1508643860,713,706
1508644834,799,804
1508645802,641,634
1508646738,619,615
1508647709,737,743
1508648688,610,613
1508649630,641,640
1508650597,716,721
1508651546,687,682
1508652506,588,579
1508653465,661,667
1508654429,598,596
1508655371,782,783
1508656361,694,706
1508657294,541,535
1508658255,748,749
1508659239,683,676
1508660209,713,713
1508661150,587,591
1508662096,763,757
1508663073,699,698
1508664024,539,554
1508664988,731,735
1508665944,610,620
1508666897,610,607
1508667865,826,830
1508668834,694,690
1508669783,568,562
1508670738,702,714
1508671714,565,567
1508672657,742,752
1508673622,715,707
1508674599,604,607
1508675535,677,678
1508676511,730,740
1508678468,1355,1350
1508679403,669,667
1508680370,728,715
1508681294,658,648
1508682271,685,686
1508683237,716,718
1508684188,754,766
1508685138,521,519
1508686119,812,810
1508687069,557,547
1508688027,730,712
1508688994,623,619
1508689956,775,773
1508690921,639,640
1508691867,749,737
1508692817,624,632
1508693808,664,664
1508694750,586,599
1508695700,692,689
1508696657,717,719
1508697649,727,713
1508698599,698,694
1508699559,722,725
1508700505,778,779
1508701479,664,659
1508702513,783,773
1508703624,837,847
1508704581,675,672
1508705543,732,734
1508706772,860,858
1508707695,561,564
1508708658,756,752
1508709637,660,656
1508710593,788,791
1508711506,660,655
1508712502,795,796
1508713467,704,692
1508714436,690,688
1508715377,662,665
1508716355,833,829
1508717306,723,726
1508718516,802,811
1508719457,728,734
1508720441,719,707
1508721404,720,730
1508722368,728,718
1508723296,785,780
1508724265,692,690
1508725223,716,701
1508726210,641,637
1508727386,969,960
1508728351,674,671
1508729292,699,693
1508730256,763,763
1508731243,699,698
1508732189,702,702
1508733136,616,612
1508734117,744,731
1508735065,706,706
1508736013,656,661
1508736995,680,679
1508737944,646,652
1508738893,827,807
1508739875,570,581
1508740816,779,773
1508741789,687,696
1508742751,682,686
1508743692,665,663
1508744666,730,733
1508745659,767,752
1508746582,768,769
1508747553,603,597
1508748497,649,653
1508749482,803,792
1508750413,665,660
1508751384,702,694
1508752341,624,631
1508753338,677,665
1508754268,598,608
