DateTime,Entries,UniqueIPs
1508265140,2946,2946
1508266117,2947,2947
1508267064,2967,2967
1508268079,2968,2968
1508269002,2959,2959
1508269968,2962,2962
1508270898,2962,2962
1508271899,2967,2967
1508272827,2958,2958
1508273780,2960,2960
1508274751,2969,2969
1508275702,2970,2970
1508276669,2968,2968
1508277630,2961,2961
1508278588,2963,2963
1508279699,2953,2953
1508280734,2950,2950
1508281700,2944,2944
1508282683,2938,2938
1508283633,2936,2936
1508284573,2939,2939
1508285804,2917,2917
1508286746,2898,2898
1508287695,2879,2879
1508288670,2857,2857
1508289639,2828,2828
1508290593,2805,2805
1508291536,2794,2794
1508292516,2784,2784
1508293472,2784,2784
1508294412,2797,2797
1508295389,2813,2813
1508296334,2822,2822
1508297321,2818,2818
1508298261,2814,2814
1508299223,2813,2813
1508300198,2792,2792
1508301162,2780,2780
1508302096,2782,2782
1508303077,2795,2795
1508304012,2800,2800
1508304994,2796,2796
1508305949,2789,2789
1508306897,2797,2797
1508307865,2805,2805
1508308838,2809,2809
1508311024,2771,2771
1508311945,2763,2763
1508312909,2756,2756
1508313873,2783,2783
1508314833,2780,2780
1508315775,2781,2781
1508316761,2771,2771
1508317693,2779,2779
1508318679,2777,2777
1508319627,2774,2774
1508320612,2764,2764
1508321546,2753,2753
1508322516,2746,2746
1508323477,2744,2744
1508324437,2747,2747
1508325383,2749,2749
1508326376,2754,2754
1508327294,2743,2743
1508328278,2741,2741
1508329235,2722,2722
1508330315,2725,2725
1508331379,2728,2728
1508332341,2732,2732
1508333307,2737,2737
1508334259,2750,2750
1508335241,2761,2761
1508336211,2754,2754
1508337149,2747,2747
1508338101,2744,2744
1508339077,2739,2739
1508340035,2735,2735
1508340985,2746,2746
1508341974,2747,2747
1508342910,2754,2754
1508343874,2759,2759
1508344827,2760,2760
1508345788,2758,2758
1508346756,2761,2761
1508347699,2756,2756
1508348669,2752,2752
1508349648,2767,2767
1508350578,2761,2761
1508351565,2768,2768
1508352495,2768,2768
1508353471,2779,2779
1508354413,2776,2776
1508355401,2786,2786
1508356335,2782,2782
1508357312,2785,2785
1508358266,2783,2783
1508359218,2773,2773
1508360186,2773,2773
1508361157,2786,2786
1508362107,2786,2786
1508363073,2791,2791
1508364023,2791,2791
1508365365,2790,2790
1508366427,2794,2794
1508368624,2797,2797
1508369535,2800,2800
1508370510,2801,2801
1508371478,2800,2800
1508372433,2800,2800
1508373387,2790,2790
1508374337,2781,2781
1508375293,2781,2781
1508376288,2773,2773
1508377228,2768,2768
1508378438,2771,2771
1508379393,2790,2790
1508380349,2803,2803
1508381293,2811,2811
1508382273,2821,2821
1508383223,2829,2829
1508384176,2840,2840
1508385142,2845,2845
1508386097,2855,2855
1508387055,2870,2870
1508388026,2881,2881
1508388981,2841,2841
1508389980,2834,2834
1508390892,2846,2846
1508391861,2840,2840
1508392827,2834,2834
1508393796,2833,2833
1508394740,2841,2841
1508395709,2852,2852
1508396663,2845,2845
1508397624,2857,2857
1508398603,2865,2865
1508399556,2873,2873
1508400507,2867,2867
1508401465,2872,2872
1508402426,2874,2874
1508403396,2856,2856
1508404339,2858,2858
1508405317,2862,2862
1508406255,2875,2875
1508407234,2889,2889
1508408189,2886,2886
1508409144,2881,2881
1508410105,2872,2872
1508411078,2870,2870
1508412022,2869,2869
1508412978,2874,2874
1508413954,2865,2865
1508414908,2861,2861
1508415863,2858,2858
1508416827,2866,2866
1508417787,2884,2884
1508418754,2887,2887
1508419708,2895,2895
1508420662,2897,2897
1508421617,2911,2911
1508422600,2900,2900
1508423551,2895,2895
1508424505,2880,2880
1508425476,2867,2867
1508426431,2869,2869
1508427387,2862,2862
1508428370,2875,2875
1508429305,2884,2884
1508430267,2884,2884
1508431212,2879,2879
1508432191,2878,2878
1508433138,2877,2877
1508434095,2894,2894
1508435065,2883,2883
1508436034,2882,2882
1508436977,2835,2835
1508437963,2824,2824
1508438894,2830,2830
1508439874,2879,2879
1508440827,2893,2893
1508441785,2877,2877
1508442743,2872,2872
1508443699,2873,2873
1508444654,2879,2879
1508445639,2878,2878
1508446572,2878,2878
1508447556,2872,2872
1508448497,2878,2878
1508450499,2881,2881
1508451613,2891,2891
1508452579,2897,2897
1508453539,2892,2892
1508454491,2897,2897
1508455470,2895,2895
1508456424,2902,2902
1508457372,2902,2902
1508458344,2887,2887
1508459291,2875,2875
1508460259,2869,2869
1508461230,2882,2882
1508462190,2881,2881
1508463152,2882,2882
1508464101,2884,2884
1508465316,2888,2888
1508466283,2889,2889
1508467225,2905,2905
1508468173,2899,2899
1508469259,2906,2906
1508470344,2898,2898
1508471296,2892,2892
1508472272,2899,2899
1508473217,2901,2901
1508474184,2903,2903
1508475142,2909,2909
1508476103,2913,2913
1508477054,2904,2904
1508478029,2904,2904
1508478974,2902,2902
1508479964,2886,2886
1508480895,2888,2888
1508481872,2883,2883
1508482840,2881,2881
1508483800,2875,2875
1508484738,2892,2892
1508485709,2910,2910
1508486677,2916,2916
1508487975,2904,2904
1508489065,2899,2899
1508490032,2895,2895
1508490981,2897,2897
1508491957,2886,2886
1508492909,2897,2897
1508493878,2915,2915
1508494823,2904,2904
1508495783,2894,2894
1508496751,2875,2875
1508497717,2867,2867
1508498661,2853,2853
1508499614,2844,2844
1508500597,2830,2830
1508501542,2833,2833
1508502504,2839,2839
1508503476,2868,2868
1508504440,2878,2878
1508505382,2888,2888
1508506352,2894,2894
1508507308,2897,2897
1508508280,2904,2904
1508509226,2907,2907
1508510197,2913,2913
1508511175,2911,2911
1508512121,2906,2906
1508513057,2892,2892
1508514016,2900,2900
1508515010,2882,2882
1508515957,2865,2865
1508516899,2852,2852
1508517860,2879,2879
1508518844,2900,2900
1508519786,2910,2910
1508520754,2924,2924
1508521696,2923,2923
1508522675,2926,2926
1508523630,2926,2926
1508525343,2938,2938
1508526264,2938,2938
1508527235,2939,2939
1508528172,2938,2938
1508529169,2943,2943
1508530095,2944,2944
1508531064,2941,2941
1508532023,2947,2947
1508532989,2948,2948
1508533954,2942,2942
1508534898,2928,2928
1508535866,2927,2927
1508536855,2929,2929
1508537791,2935,2935
1508538807,2943,2943
1508539709,2940,2940
1508540687,2938,2938
1508541625,2931,2931
1508542575,2924,2924
1508543553,2928,2928
1508544502,2913,2913
1508545500,2902,2902
1508546427,2901,2901
1508547392,2895,2895
1508548346,2884,2884
1508549303,2876,2876
1508550269,2880,2880
1508551227,2880,2880
1508552199,2887,2887
1508553137,2890,2890
1508554125,2889,2889
1508555063,2893,2893
1508556018,2881,2881
1508556982,2889,2889
1508557943,2886,2886
1508558894,2885,2885
1508559885,2893,2893
1508560823,2897,2897
1508561778,2898,2898
1508562761,2898,2898
1508563700,2892,2892
1508564660,2883,2883
1508565723,2867,2867
1508566809,2862,2862
1508567757,2874,2874
1508568757,2877,2877
1508569865,2885,2885
1508570775,2875,2875
1508571742,2883,2883
1508572832,2880,2880
1508574111,2876,2876
1508575112,2857,2857
1508576059,2858,2858
1508577040,2860,2860
1508577985,2855,2855
1508579053,2862,2862
1508580019,2834,2834
1508580999,2832,2832
1508581938,2824,2824
1508582904,2823,2823
1508583856,2809,2809
1508584820,2762,2762
1508585781,2756,2756
1508586728,2749,2749
1508587699,2740,2740
