DateTime,AddedIPs,RemovedIPs
1508265137,10,18
1508266114,8,0
1508267061,10,5
1508268077,9,16
1508269000,4,8
1508269965,14,5
1508270895,10,0
1508271896,7,17
1508272825,11,8
1508273777,9,0
1508274749,9,9
1508275700,5,0
1508276667,4,15
1508277627,6,0
1508278586,9,6
1508279697,10,10
1508280731,8,2
1508281697,12,11
1508282680,6,10
1508283630,6,12
1508284571,6,6
1508285801,10,6
1508286744,6,14
1508287693,7,11
1508288667,9,14
1508289636,10,6
1508290590,6,4
1508291534,14,13
1508292513,13,8
1508293469,16,11
1508294410,16,7
1508295387,27,10
1508296332,17,6
1508297318,15,6
1508298258,14,6
1508299221,12,6
1508300195,0,12
1508301160,0,5
1508302093,18,7
1508303075,35,12
1508304010,15,6
1508304991,11,7
1508305946,11,14
1508306895,19,8
1508307862,16,6
1508308835,7,7
1508311020,28,15
1508311943,7,4
1508312907,9,3
1508313871,20,4
1508314830,15,7
1508315773,11,7
1508316759,19,5
1508317691,11,4
1508318676,12,7
1508319625,6,5
1508320610,14,1
1508321544,10,6
1508322513,11,8
1508323475,10,9
1508324434,14,4
1508325381,10,9
1508326374,10,6
1508327292,8,0
1508328275,15,6
1508329233,13,9
1508330312,10,0
1508331377,10,2
1508332338,7,5
1508333304,10,9
1508334257,7,0
1508335239,14,9
1508336209,9,16
1508337146,4,11
1508338098,6,0
1508339074,8,5
1508340033,9,26
1508340983,13,5
1508341971,6,12
1508342908,15,0
1508343871,10,15
1508344825,6,7
1508345786,3,0
1508346753,10,10
1508347697,6,8
1508348667,3,3
1508349646,9,7
1508350575,11,10
1508351562,11,7
1508352493,8,6
1508353469,9,5
1508354411,5,4
1508355398,9,12
1508356332,8,9
1508357309,9,6
1508358264,8,10
1508359215,10,4
1508360183,10,3
1508361154,8,6
1508362105,5,10
1508363071,4,3
1508364020,7,10
1508365363,11,5
1508366425,11,5
1508368620,15,28
1508369532,10,0
1508370507,10,8
1508371475,5,9
1508372431,14,10
1508373384,10,18
1508374334,13,13
1508375291,12,11
1508376285,17,15
1508377226,18,24
1508378435,30,26
1508379390,29,13
1508380346,28,8
1508381290,28,7
1508382271,15,4
1508383220,27,10
1508384174,20,5
1508385140,13,12
1508386095,21,7
1508387053,18,6
1508388024,18,16
1508388979,9,8
1508389977,10,4
1508390889,23,5
1508391858,14,6
1508392825,13,11
1508393794,14,10
1508394738,12,7
1508395706,5,8
1508396660,13,11
1508397622,9,7
1508398601,13,7
1508399553,13,13
1508400504,14,8
1508401463,17,7
1508402424,16,13
1508403394,3,4
1508404337,14,20
1508405315,15,7
1508406252,16,7
1508407232,17,9
1508408187,9,17
1508409142,15,9
1508410102,16,6
1508411076,12,6
1508412020,12,12
1508412976,13,7
1508413952,15,19
1508414905,9,0
1508415860,7,11
1508416825,10,0
1508417784,12,6
1508418752,13,3
1508419705,8,8
1508420659,11,8
1508421615,19,6
1508422598,11,7
1508423548,8,12
1508424503,7,8
1508425473,8,9
1508426428,18,15
1508427385,14,11
1508428368,15,10
1508429303,9,8
1508430264,6,7
1508431210,6,8
1508432189,11,10
1508433135,5,8
1508434093,11,7
1508435062,6,12
1508436032,11,14
1508436975,9,20
1508437961,5,8
1508438891,11,6
1508439871,6,10
1508440825,10,6
1508441782,5,8
1508442741,7,5
1508443696,6,18
1508444652,9,10
1508445637,5,9
1508446569,5,5
1508447554,5,9
1508448495,6,10
1508450496,12,16
1508451611,14,3
1508452577,8,4
1508453537,7,5
1508454489,15,5
1508455468,8,7
1508456421,11,5
1508457370,9,7
1508458342,10,5
1508459289,16,11
1508460257,22,6
1508461228,27,9
1508462187,27,10
1508463150,19,12
1508464099,20,12
1508465313,33,12
1508466280,15,7
1508467223,28,17
1508468170,12,4
1508469257,16,9
1508470342,21,7
1508471293,13,5
1508472269,17,10
1508473215,15,8
1508474181,13,7
1508475140,16,10
1508476101,15,7
1508477052,10,8
1508478026,18,6
1508478972,11,10
1508479962,16,17
1508480893,9,5
1508481870,13,7
1508482837,11,11
1508483797,5,5
1508484736,17,13
1508485707,12,13
1508486675,9,7
1508487972,20,14
1508489062,14,10
1508490030,9,10
1508490979,12,7
1508491955,18,8
1508492907,20,13
1508493875,28,8
1508494821,24,2
1508495781,23,16
1508496747,13,11
1508497715,9,8
1508498659,13,7
1508499611,7,16
1508500594,21,13
1508501540,17,0
1508502501,21,6
1508503474,27,9
1508504437,16,1
1508505380,13,17
1508506350,14,9
1508507305,12,4
