DateTime,AddedIPs,RemovedIPs
1508265137,10,11
1508266114,8,12
1508267061,10,9
1508268077,9,11
1508269000,4,10
1508269965,14,9
1508270895,10,13
1508271896,7,9
1508272825,11,8
1508273777,9,7
1508274749,9,5
1508275700,5,9
1508276667,4,8
1508277627,6,9
1508278586,9,8
1508279697,10,11
1508280731,8,11
1508281697,12,6
1508282680,6,15
1508283630,6,11
1508284571,6,17
1508285801,10,34
1508286744,6,25
1508287693,7,27
1508288667,9,28
1508289636,10,42
1508290590,6,31
1508291534,14,16
1508292513,13,21
1508293469,16,15
1508294410,16,12
1508295387,27,14
1508296332,17,14
1508297318,15,16
1508298258,14,11
1508299221,12,16
1508300195,0,22
1508301160,0,15
1508302093,18,11
1508303075,35,23
1508304010,15,12
1508304991,11,14
1508305946,11,15
1508306895,19,11
1508307862,16,11
1508308835,7,13
1508311020,28,42
1508311943,7,17
1508312907,9,9
1508313871,20,9
1508314830,15,17
1508315773,11,13
1508316759,19,20
1508317691,11,8
1508318676,12,16
1508319625,6,12
1508320610,14,11
1508321544,10,13
1508322513,11,17
1508323475,10,16
1508324434,14,13
1508325381,10,8
1508326374,10,5
1508327292,8,11
1508328275,15,13
1508329233,13,20
1508330312,10,9
1508331377,10,11
1508332338,7,15
1508333304,10,6
1508334257,7,3
1508335239,14,5
1508336209,9,11
1508337146,4,9
1508338098,6,3
1508339074,8,9
1508340033,9,10
1508340983,13,13
1508341971,6,11
1508342908,15,8
1508343871,10,7
1508344825,6,10
1508345786,3,6
1508346753,10,5
1508347697,6,11
1508348667,3,11
1508349646,9,1
1508350575,11,9
1508351562,11,2
1508352493,8,7
1508353469,9,13
1508354411,5,7
1508355398,9,5
1508356332,8,11
1508357309,9,5
1508358264,8,4
1508359215,10,10
1508360183,10,7
1508361154,8,2
1508362105,5,2
1508363071,4,6
1508364020,7,5
1508365363,11,9
1508366425,11,8
1508368620,15,6
1508369532,10,6
1508370507,10,14
1508371475,5,10
1508372431,14,21
1508373384,10,18
1508374334,13,23
1508375291,12,16
1508376285,17,19
1508377226,18,17
1508378435,30,25
1508379390,29,13
1508380346,28,18
1508381290,28,20
1508382271,15,9
1508383220,27,18
1508384174,20,9
1508385140,13,6
1508386095,21,10
1508387053,18,0
1508388024,18,0
1508388979,9,44
1508389977,10,15
1508390889,23,13
1508391858,14,12
1508392825,14,11
1508393794,14,11
1508394738,12,6
1508395706,5,3
1508396660,13,17
1508397622,9,10
1508398601,13,10
1508399553,13,11
1508400504,14,7
1508401463,17,12
1508402424,16,14
1508403394,3,9
1508404337,14,14
1508405315,15,13
1508406252,16,10
1508407232,17,8
1508408187,9,13
1508409142,15,12
1508410102,16,10
1508411076,12,16
1508412020,12,8
1508412976,13,9
1508413952,15,12
1508414905,9,10
1508415860,7,9
1508416825,10,10
1508417784,12,5
1508418752,13,9
1508419705,8,17
1508420659,11,13
1508421615,20,12
1508422598,11,9
1508423548,9,15
1508424503,7,19
1508425473,8,19
1508426428,18,9
1508427385,14,17
1508428368,15,10
1508429303,9,10
1508430264,6,13
1508431210,6,10
1508432189,11,9
1508433135,5,6
1508434093,12,4
1508435062,6,13
1508436032,11,9
1508436975,9,12
1508437961,5,9
1508438891,11,4
1508439871,6,8
1508440825,10,4
1508441782,5,8
1508442741,7,9
1508443696,6,5
1508444652,9,11
1508445637,5,8
1508446569,5,3
1508447554,5,8
1508448495,6,5
1508450496,12,15
1508451611,14,6
1508452577,8,2
1508453537,7,3
1508454489,15,6
1508455468,8,11
1508456421,11,7
1508457370,9,12
1508458342,10,28
1508459289,16,26
1508460257,22,22
1508461228,27,19
1508462187,27,27
1508463150,19,25
1508464099,20,16
1508465313,33,24
1508466280,15,16
1508467223,28,12
1508468170,12,14
1508469257,16,12
1508470342,21,21
1508471293,13,15
1508472269,17,15
1508473215,15,12
1508474181,13,13
1508475140,16,10
1508476101,15,12
1508477052,10,13
1508478026,18,15
1508478972,11,12
1508479962,16,14
1508480893,9,10
1508481870,13,11
1508482837,11,15
1508483797,5,11
1508484736,17,16
1508485707,12,11
1508486675,9,10
1508487972,20,26
1508489062,14,16
1508490030,9,10
1508490979,12,11
1508491955,18,29
1508492907,20,16
1508493875,28,5
1508494821,24,25
1508495781,23,30
