DateTime,AddedIPs,RemovedIPs
1508265140,165,443
1508266117,151,362
1508267064,146,539
1508268079,116,453
1508269002,190,289
1508269968,163,401
1508270898,134,430
1508271899,119,284
1508272827,135,358
1508273780,179,342
1508274751,130,461
1508275702,166,0
1508276669,153,1007
1508277630,189,375
1508278588,132,0
1508279699,171,378
1508280734,180,321
1508281700,150,441
1508282683,168,486
1508283633,143,850
1508284573,161,0
1508285804,215,823
1508286746,170,491
1508287695,126,472
1508288670,176,473
1508289639,138,0
1508290593,182,784
1508291536,189,0
1508292516,157,940
1508293472,164,386
1508294412,132,0
1508295389,156,553
1508296334,139,530
1508297321,174,1028
1508298261,135,0
1508299223,208,422
1508300198,129,293
1508301162,137,643
1508302096,137,0
1508303077,221,424
1508304012,115,0
1508304994,141,368
1508305949,189,0
1508306897,128,208
1508307865,128,192
1508308838,123,391
1508311024,303,359
1508311945,26,211
1508312909,139,197
1508313873,393,475
1508314833,145,0
1508315775,122,0
1508316761,209,208
1508317693,150,168
1508318679,153,161
1508319627,185,171
1508320612,153,175
1508321546,199,188
1508322516,146,208
1508323477,173,208
1508324437,193,163
1508325383,110,182
1508326376,134,187
1508327294,167,193
1508328278,221,234
1508329235,169,216
1508330315,203,191
1508331379,220,178
1508332341,214,205
1508333307,185,432
1508334259,175,0
1508335241,259,150
1508336211,182,355
1508337149,182,0
1508338101,177,128
1508339077,206,178
1508340035,164,156
1508340985,194,167
1508341974,232,353
1508342910,243,0
1508343874,140,362
1508344827,238,168
1508345788,202,175
1508346756,217,0
1508347699,225,130
1508348669,184,419
1508349648,223,192
1508350578,215,0
1508351565,234,426
1508352495,177,0
1508353471,250,344
1508354413,173,0
1508355401,224,212
1508356335,257,206
1508357312,347,423
1508358266,243,0
1508359218,276,212
1508360186,235,352
1508361157,249,241
1508362107,193,303
1508363073,201,240
1508364023,267,0
1508365365,310,358
1508366427,251,251
1508368624,464,305
1508369535,213,158
1508370510,213,181
1508371478,176,241
1508372433,172,186
1508373387,162,135
1508374337,168,236
1508375293,239,165
1508376288,234,174
1508377228,171,164
1508378438,275,169
1508379393,167,196
1508380349,177,158
1508381293,203,177
1508382273,264,163
1508383223,219,183
1508384176,188,151
1508385142,158,194
1508386097,245,163
1508387055,166,171
1508388026,179,173
1508388981,228,233
1508389980,213,143
1508390892,182,166
1508391861,191,168
1508392827,164,171
1508393796,208,192
1508394740,171,214
1508395709,218,335
1508396663,193,0
1508397624,223,1
1508398603,182,143
1508399556,179,481
1508400507,227,153
1508401465,196,156
1508402426,202,223
1508403396,194,156
1508404339,170,136
1508405317,175,143
1508406255,122,159
1508407234,225,200
1508408189,200,215
1508409144,150,168
1508410105,185,182
1508411078,154,130
1508412022,159,187
1508412978,179,209
1508413954,228,244
1508414908,185,181
1508415863,192,203
1508416827,240,201
1508417787,196,235
1508418754,190,187
1508419708,220,188
1508420662,168,261
1508421617,198,0
1508422600,181,200
1508423551,184,354
1508424505,170,203
1508425476,211,0
1508426431,189,137
1508427387,214,404
1508428370,242,0
1508429305,205,194
1508430267,296,172
1508431212,243,291
1508432191,271,396
1508433138,227,0
1508434095,194,225
1508435065,219,206
1508436034,202,263
1508436977,278,216
1508437963,233,216
1508438894,167,170
1508439874,299,435
1508440827,277,215
1508441785,216,0
1508442743,241,450
1508443699,190,0
1508444654,152,201
1508445639,190,558
1508446572,235,0
1508447556,159,253
1508448497,151,193
1508450499,360,632
1508451613,243,0
1508452579,148,209
1508453539,200,505
1508454491,173,0
1508455470,194,156
1508456424,181,212
1508457372,206,166
1508458344,182,192
1508459291,209,145
1508460259,215,158
1508461230,171,204
1508462190,151,181
1508463152,186,156
1508464101,146,236
1508465316,224,184
1508466283,205,159
1508467225,149,238
1508468173,168,221
1508469259,187,186
1508470344,210,188
1508471296,136,184
1508472272,209,227
1508473217,131,169
1508474184,188,158
1508475142,158,277
1508476103,199,193
1508477054,196,151
1508478029,194,177
1508478974,182,178
1508479964,195,196
1508480895,188,160
1508481872,183,198
1508482840,219,197
1508483800,160,178
1508484738,220,179
1508485709,198,170
1508486677,178,213
1508487975,252,372
1508489065,190,196
1508490032,170,178
1508490981,171,152
1508491957,176,132
1508492909,125,227
1508493878,187,212
1508494823,207,136
1508495783,179,204
1508496751,212,200
1508497717,159,181
1508498661,145,178
1508499614,175,219
1508500597,189,179
1508501542,236,180
1508502504,174,186
1508503476,186,236
1508504440,245,214
1508505382,173,301
1508506352,233,168
1508507308,171,223
1508508280,228,194
1508509226,172,167
1508510197,204,195
1508511175,195,217
1508512121,237,198
1508513057,179,177
1508514016,217,198
1508515010,233,198
1508515957,266,252
1508516899,214,237
1508517860,211,322
1508518844,185,277
1508519786,228,237
1508520754,247,229
1508521696,179,174
1508522675,266,238
1508523630,199,230
1508525343,332,512
