DateTime,Entries,UniqueIPs
1508265140,39834,45026
1508266117,39632,44815
1508267064,39268,44422
1508268079,38986,44085
1508269002,38891,43986
1508269968,38701,43748
1508270898,38452,43452
1508271899,38314,43287
1508272827,38147,43064
1508273780,38006,42901
1508274751,37728,42570
1508275702,37861,42736
1508276669,37161,41882
1508277630,36978,41696
1508278588,37089,41828
1508279699,36906,41621
1508280734,36756,41480
1508281700,36483,41189
1508282683,36190,40871
1508283633,35591,40164
1508284573,35711,40325
1508285804,35168,39717
1508286746,34862,39396
1508287695,34554,39050
1508288670,34286,38753
1508289639,34392,38891
1508290593,33851,38289
1508291536,34011,38478
1508292516,33344,37695
1508293472,33149,37473
1508294412,33253,37605
1508295389,32919,37208
1508296334,32582,36817
1508297321,31862,35963
1508298261,31972,36098
1508299223,31809,35884
1508300198,31680,35720
1508301162,31265,35214
1508302096,31383,35351
1508303077,31225,35148
1508304012,31327,35263
1508304994,31131,35036
1508305949,31294,35225
1508306897,31223,35145
1508307865,31181,35081
1508308838,30950,34813
1508311024,30914,34757
1508311945,30760,34572
1508312909,30728,34514
1508313873,30655,34432
1508314833,30766,34577
1508315775,30861,34699
1508316761,30857,34700
1508317693,30836,34682
1508318679,30830,34674
1508319627,30865,34688
1508320612,30851,34666
1508321546,30854,34677
1508322516,30805,34615
1508323477,30796,34580
1508324437,30829,34610
1508325383,30769,34538
1508326376,30724,34485
1508327294,30714,34459
1508328278,30690,34446
1508329235,30673,34399
1508330315,30683,34411
1508331379,30731,34453
1508332341,30745,34462
1508333307,30550,34215
1508334259,30696,34390
1508335241,30797,34499
1508336211,30650,34326
1508337149,30794,34508
1508338101,30841,34557
1508339077,30870,34585
1508340035,30896,34593
1508340985,30929,34620
1508341974,30867,34499
1508342910,31078,34742
1508343874,30900,34520
1508344827,30984,34590
1508345788,31019,34617
1508346756,31193,34834
1508347699,31290,34929
1508348669,31093,34694
1508349648,31133,34725
1508350578,31302,34940
1508351565,31171,34748
1508352495,31326,34925
1508353471,31274,34831
1508354413,31420,35004
1508355401,31460,35016
1508356335,31522,35067
1508357312,31485,34991
1508358266,31694,35234
1508359218,31777,35298
1508360186,31688,35181
1508361157,31711,35189
1508362107,31617,35079
1508363073,31590,35040
1508364023,31819,35307
1508365365,31764,35259
1508366427,31748,35259
1508368624,31888,35418
1508369535,31929,35473
1508370510,31937,35505
1508371478,31861,35440
1508372433,31843,35426
1508373387,31865,35453
1508374337,31826,35385
1508375293,31886,35459
1508376288,31942,35519
1508377228,31965,35526
1508378438,32055,35632
1508379393,32023,35603
1508380349,32039,35622
1508381293,32052,35648
1508382273,32136,35749
1508383223,32175,35785
1508384176,32179,35822
1508385142,32165,35786
1508386097,32246,35868
1508387055,32250,35863
1508388026,32258,35869
1508388981,32277,35864
1508389980,32340,35934
1508390892,32358,35950
1508391861,32372,35973
1508392827,32385,35966
1508393796,32415,35982
1508394740,32403,35939
1508395709,32397,35822
1508396663,32562,36015
1508397624,32741,36237
1508398603,32798,36276
1508399556,32547,35974
1508400507,32607,36048
1508401465,32650,36088
1508402426,32638,36067
1508403396,32668,36105
1508404339,32694,36139
1508405317,32715,36171
1508406255,32689,36134
1508407234,32711,36159
1508408189,32702,36144
1508409144,32690,36126
1508410105,32704,36129
1508411078,32722,36153
1508412022,32709,36125
1508412978,32687,36095
1508413954,32672,36079
1508414908,32674,36083
1508415863,32668,36072
1508416827,32718,36111
1508417787,32681,36072
1508418754,32685,36075
1508419708,32703,36107
1508420662,32624,36014
1508421617,32789,36212
1508422600,32748,36193
1508423551,32619,36023
1508424505,32587,35990
1508425476,32753,36201
1508426431,32796,36253
1508427387,32639,36063
1508428370,32818,36305
1508429305,32804,36316
1508430267,32836,36440
1508431212,32792,36392
1508432191,32698,36267
1508433138,32873,36494
1508434095,32829,36463
1508435065,32818,36476
1508436034,32743,36415
1508436977,32803,36477
1508437963,32808,36494
1508438894,32812,36491
1508439874,32699,36355
1508440827,32749,36417
1508441785,32932,36633
1508442743,32776,36424
1508443699,32947,36614
1508444654,32911,36565
1508445639,32606,36197
1508446572,32813,36432
1508447556,32734,36338
1508448497,32696,36296
1508450499,32455,36024
1508451613,32638,36267
1508452579,32586,36206
1508453539,32378,35901
1508454491,32520,36074
1508455470,32537,36112
1508456424,32510,36081
1508457372,32539,36121
1508458344,32534,36111
1508459291,32589,36175
1508460259,32635,36232
1508461230,32597,36199
1508462190,32575,36169
1508463152,32592,36199
1508464101,32512,36109
1508465316,32526,36149
1508466283,32551,36195
1508467225,32466,36106
1508468173,32414,36053
1508469259,32429,36054
1508470344,32444,36076
1508471296,32407,36028
1508472272,32391,36010
1508473217,32356,35972
1508474184,32375,36002
1508475142,32290,35883
1508476103,32292,35889
1508477054,32327,35934
1508478029,32349,35951
1508478974,32345,35955
1508479964,32339,35954
1508480895,32356,35982
1508481872,32348,35967
1508482840,32379,35989
1508483800,32346,35971
1508484738,32388,36012
1508485709,32419,36040
1508486677,32390,36005
1508487975,32274,35885
1508489065,32283,35879
1508490032,32267,35871
1508490981,32273,35890
1508491957,32303,35934
1508492909,32211,35832
1508493878,32203,35807
1508494823,32269,35878
1508495783,32243,35853
1508496751,32251,35865
1508497717,32245,35843
1508498661,32223,35810
1508499614,32193,35766
1508500597,32204,35776
1508501542,32245,35832
1508502504,32241,35820
1508503476,32205,35770
1508504440,32225,35801
1508505382,32096,35673
1508506352,32152,35738
1508507308,32088,35686
1508508280,32126,35720
1508509226,32119,35725
1508510197,32109,35734
1508511175,32111,35712
1508512121,32129,35751
1508513057,32129,35753
1508514016,32158,35772
1508515010,32198,35807
1508515957,32218,35821
1508516899,32219,35798
1508517860,32156,35687
1508518844,32091,35595
1508519786,32071,35586
1508520754,32073,35604
1508521696,32062,35609
1508522675,32084,35637
1508523630,32058,35606
1508525343,31935,35426
1508526264,32117,35644
1508527235,31830,35295
1508528172,31999,35499
1508529169,31793,35244
1508530095,31982,35465
1508531064,31886,35345
1508532023,32108,35608
1508532989,31931,35402
1508533954,32166,35675
1508534898,31826,35252
1508535866,31977,35445
1508536855,32177,35675
1508537791,32205,35712
1508538807,32221,35731
1508539709,32280,35784
1508540687,32262,35785
1508541625,32260,35777
1508542575,32318,35835
1508543553,32320,35825
1508544502,32351,35859
1508545500,32389,35893
1508546427,32400,35869
1508547392,32363,35824
1508548346,32371,35856
1508549303,32350,35816
1508550269,32413,35881
1508551227,32372,35841
1508552199,32396,35874
1508553137,32473,35940
1508554125,32470,35926
1508555063,32512,35963
1508556018,32491,35940
1508556982,32611,36061
1508557943,32599,36022
1508558894,32612,36040
1508559885,32602,36015
1508560823,32646,36068
1508561778,32676,36080
1508562761,32680,36092
1508563700,32643,36039
1508564660,32598,35971
1508565723,32561,35927
1508566809,32506,35878
1508567757,32593,35985
1508568757,32604,35996
1508569865,32551,35955
1508570775,32506,35894
1508571742,32427,35809
1508572832,32439,35834
1508574111,32371,35748
1508575112,32317,35683
1508576059,32262,35633
1508577040,32254,35601
1508577985,32270,35598
1508579053,32306,35653
1508580019,32336,35691
1508580999,32332,35684
1508581938,32359,35717
1508582904,32347,35697
1508583856,32358,35714
1508584820,32375,35731
1508585781,32281,35617
1508586728,32263,35610
1508587699,32168,35517
1508588665,32150,35498
1508589614,32150,35480
1508590584,32087,35410
1508591545,32110,35413
1508592508,32091,35382
1508593459,32097,35386
1508594424,32058,35334
1508595396,32072,35341
1508596339,32057,35332
1508597298,32059,35329
1508598275,31988,35247
1508599258,32023,35285
1508600174,31947,35209
1508601172,31940,35211
1508602096,31861,35106
1508603068,31868,35087
1508604024,31850,35053
1508604977,31826,35025
1508605965,31739,34941
1508606898,31671,34858
1508607858,31681,34861
1508608845,31631,34791
1508609811,31676,34825
1508610755,31504,34615
1508611695,31646,34781
1508612673,31479,34606
1508613645,31451,34579
1508614575,31387,34507
1508615543,31534,34685
1508616505,31318,34432
1508617480,31298,34414
1508618425,31225,34351
1508619376,31368,34528
1508620362,31116,34236
1508621309,31099,34213
1508622265,31201,34348
1508623231,31164,34305
1508624197,30968,34081
1508625392,30960,34076
1508626344,30940,34062
1508627302,30975,34091
1508628253,30910,34015
1508629239,30887,34008
1508630181,30807,33927
1508631155,30782,33889
1508632102,30737,33827
1508633057,30712,33786
1508634013,30680,33738
1508634992,30656,33717
1508635938,30639,33698
1508636919,30621,33679
1508637864,30586,33637
1508638812,30524,33590
1508640038,30502,33630
1508640996,30447,33632
1508641938,30505,33691
1508642910,30459,33643
1508643860,30415,33582
1508644834,30378,33555
1508645802,30304,33477
1508646738,30278,33456
1508647709,30298,33462
1508648688,30269,33423
1508649630,30272,33429
1508650597,30278,33439
1508651546,30287,33448
1508652506,30311,33460
1508653465,30158,33280
1508654429,30077,33191
1508655371,30061,33182
1508656361,30083,33194
1508657294,30031,33142
1508658255,29970,33064
1508659239,29935,33002
1508660209,30074,33181
1508661150,30045,33139
1508662096,30038,33145
1508663073,30006,33112
1508664024,29979,33077
1508664988,30000,33108
1508665944,29970,33073
1508666897,29913,33006
1508667865,29903,32993
1508668834,29909,32991
1508669783,29861,32927
1508670738,29848,32917
1508671714,29855,32918
1508672657,29841,32908
1508673622,29871,32948
1508674599,29884,32972
1508675535,29891,32981
1508676511,29897,32988
1508678468,29917,33025
1508679403,29876,32969
1508680370,29881,32992
1508681294,29837,32956
1508682271,29850,32957
1508683237,29877,32968
1508684188,29916,33020
1508685138,29881,32974
1508686119,29919,33043
1508687069,29865,32970
1508688027,29909,33020
1508688994,29888,32986
1508689956,29896,32985
1508690921,29848,32930
1508691867,29852,32956
1508692817,29876,32981
1508693808,29873,32985
1508694750,29895,33010
1508695700,29890,33004
1508696657,29908,33016
1508697649,29900,33011
1508698599,29879,32997
1508699559,29890,32998
1508700505,29911,33055
1508701479,29905,33041
1508702513,29961,33110
1508703624,29985,33143
1508704581,30024,33171
1508705543,29986,33138
1508706772,29892,32996
1508707695,29991,33124
1508708658,30000,33124
1508709637,29855,32926
1508710593,30016,33134
1508711506,29977,33094
1508712502,29955,33085
1508713467,29968,33088
1508714436,30008,33142
1508715377,29973,33109
1508716355,30000,33160
1508717306,30000,33160
1508718516,29945,33087
1508719457,30107,33280
1508720441,29931,33073
1508721404,29918,33065
1508722368,29930,33089
1508723296,30085,33268
1508724265,29927,33081
1508725223,29886,33031
1508726210,30019,33186
1508727386,30025,33196
1508728351,29870,32975
1508729292,30027,33172
1508730256,30065,33201
1508731243,29867,32996
1508732189,30007,33167
1508733136,30003,33170
1508734117,29895,33033
1508735065,30065,33223
1508736013,30089,33256
1508736995,30111,33267
1508737944,30124,33279
1508738893,30173,33349
1508739875,30018,33151
1508740816,30189,33352
1508741789,29999,33158
1508742751,30158,33343
1508743692,30213,33406
1508744666,30095,33259
1508745659,30070,33242
1508746582,30228,33432
1508747553,30063,33226
1508748497,30061,33209
1508749482,30129,33297
1508750413,30278,33473
1508751384,30301,33501
1508752341,30333,33563
1508753338,30204,33411
1508754268,30226,33432
