DateTime,AddedIPs,RemovedIPs
1508265140,830,830
1508266117,697,697
1508267064,738,738
1508268079,660,660
1508269002,724,724
1508269968,819,819
1508270898,707,707
1508271899,714,714
1508272827,685,685
1508273780,833,833
1508274751,714,714
1508275702,777,777
1508276669,735,735
1508277630,826,826
1508278588,673,673
1508279699,796,796
1508280734,914,914
1508281700,689,689
1508282683,674,674
1508283633,611,611
1508284573,715,715
1508285804,957,957
1508286746,748,748
1508287695,610,610
1508288670,870,870
1508289639,714,714
1508290593,713,713
1508291536,742,742
1508292516,704,704
1508293472,740,740
1508294412,623,623
1508295389,731,731
1508296334,657,657
1508297321,823,823
1508298261,598,598
1508299223,771,771
1508300198,609,609
1508301162,657,657
1508302096,672,672
1508303077,1039,1039
1508304012,593,593
1508304994,668,668
1508305949,790,790
1508306897,682,682
1508307865,693,693
1508308838,678,678
1508311024,1175,1175
1508311945,102,102
1508312909,592,592
1508313873,1630,1630
1508314833,633,633
1508315775,566,566
1508316761,868,868
1508317693,670,670
1508318679,584,584
1508319627,657,657
1508320612,645,645
1508321546,772,772
1508322516,725,725
1508323477,644,644
1508324437,764,764
1508325383,546,546
1508326376,673,673
1508327294,729,729
1508328278,892,892
1508329235,666,666
1508330315,737,737
1508331379,787,787
1508332341,843,843
1508333307,637,637
1508334259,651,651
1508335241,913,913
1508336211,704,704
1508337149,735,735
1508338101,624,624
1508339077,793,793
1508340035,625,625
1508340985,660,660
1508341974,815,815
1508342910,704,704
1508343874,586,586
1508344827,901,901
1508345788,695,695
1508346756,698,698
1508347699,791,791
1508348669,682,682
1508349648,808,808
1508350578,752,752
1508351565,736,736
1508352495,601,601
1508353471,834,834
1508354413,680,680
1508355401,805,805
1508356335,748,748
1508357312,955,955
1508358266,705,705
1508359218,821,821
1508360186,919,919
1508361157,842,842
1508362107,695,695
1508363073,714,714
1508364023,821,821
1508365365,961,961
1508366427,742,742
1508368624,1610,1610
1508369535,637,637
1508370510,807,807
1508371478,650,650
1508372433,696,696
1508373387,634,634
1508374337,667,667
1508375293,820,820
1508376288,825,825
1508377228,606,606
1508378438,927,927
1508379393,675,675
1508380349,594,594
1508381293,836,836
1508382273,828,828
1508383223,723,723
1508384176,710,710
1508385142,645,645
1508386097,845,845
1508387055,623,623
1508388026,693,693
1508388981,886,886
1508389980,761,761
1508390892,623,623
1508391861,718,718
1508392827,709,709
1508393796,714,714
1508394740,640,640
1508395709,825,825
1508396663,668,668
1508397624,739,739
1508398603,691,691
1508399556,681,681
1508400507,793,793
1508401465,696,696
1508402426,738,738
1508403396,771,771
1508404339,668,668
1508405317,621,621
1508406255,544,544
1508407234,821,821
1508408189,702,702
1508409144,604,604
1508410105,743,743
1508411078,706,706
1508412022,673,673
1508412978,654,654
1508413954,854,854
1508414908,724,724
1508415863,692,692
1508416827,664,664
1508417787,767,767
1508418754,679,679
1508419708,857,857
1508420662,646,646
1508421617,796,796
1508422600,690,690
1508423551,758,758
1508424505,731,731
1508425476,806,806
1508426431,778,778
1508427387,705,705
1508428370,780,780
1508429305,715,715
1508430267,786,786
1508431212,810,810
1508432191,986,986
1508433138,791,791
1508434095,678,678
1508435065,842,842
1508436034,636,636
1508436977,813,813
1508437963,739,739
1508438894,545,545
1508439874,1007,1007
1508440827,858,858
1508441785,691,691
1508442743,858,858
1508443699,733,733
1508444654,603,603
1508445639,705,705
1508446572,831,831
1508447556,660,660
1508448497,631,631
1508450499,1448,1448
1508451613,854,854
1508452579,643,643
1508453539,818,818
1508454491,738,738
1508455470,652,652
1508456424,660,660
1508457372,742,742
1508458344,615,615
1508459291,714,714
1508460259,740,740
1508461230,761,761
1508462190,706,706
1508463152,753,753
1508464101,620,620
1508465316,988,988
1508466283,751,751
1508467225,631,631
1508468173,753,753
1508469259,772,772
1508470344,839,839
1508471296,552,552
1508472272,787,787
1508473217,591,591
1508474184,784,784
1508475142,606,606
1508476103,791,791
1508477054,697,697
1508478029,766,766
1508478974,756,756
1508479964,679,679
1508480895,689,689
1508481872,730,730
1508482840,792,792
1508483800,630,630
1508484738,815,815
1508485709,735,735
1508486677,660,660
1508487975,1050,1050
1508489065,803,803
1508490032,733,733
1508490981,675,675
1508491957,752,752
1508492909,517,517
1508493878,769,769
1508494823,744,744
1508495783,632,632
1508496751,793,793
1508497717,649,649
1508498661,552,552
1508499614,737,737
1508500597,760,760
1508501542,850,850
1508502504,667,667
1508503476,687,687
1508504440,873,873
1508505382,702,702
1508506352,836,836
1508507308,655,655
1508508280,830,830
1508509226,646,646
1508510197,759,759
1508511175,659,659
1508512121,805,805
1508513057,574,574
1508514016,755,755
1508515010,781,781
1508515957,831,831
1508516899,702,702
1508517860,778,778
1508518844,711,711
1508519786,846,846
1508520754,805,805
1508521696,600,600
1508522675,905,905
1508523630,681,681
1508525343,1230,1230
1508526264,792,792
1508527235,629,629
1508528172,760,760
1508529169,831,831
1508530095,650,650
1508531064,811,811
1508532023,813,813
1508532989,682,682
1508533954,976,976
1508534898,651,651
1508535866,715,715
1508536855,876,876
1508537791,761,761
1508538807,693,693
1508539709,865,865
1508540687,740,740
1508541625,567,567
1508542575,783,783
1508543553,714,714
1508544502,792,792
1508545500,809,809
1508546427,689,689
1508547392,671,671
1508548346,890,890
1508549303,619,619
1508550269,766,766
1508551227,750,750
1508552199,776,776
1508553137,741,741
1508554125,763,763
1508555063,832,832
1508556018,707,707
1508556982,887,887
1508557943,714,714
1508558894,745,745
1508559885,775,775
1508560823,647,647
1508561778,755,755
1508562761,802,802
1508563700,530,530
1508564660,589,589
1508565723,582,582
1508566809,600,600
1508567757,1211,1211
1508568757,867,867
1508569865,736,736
1508570775,690,690
1508571742,648,648
1508572832,914,914
1508574111,907,907
1508575112,725,725
1508576059,694,694
1508577040,701,701
1508577985,769,769
1508579053,576,576
1508580019,782,782
1508580999,731,731
1508581938,714,714
1508582904,648,648
1508583856,766,766
1508584820,669,669
1508585781,587,587
1508586728,739,739
1508587699,582,582
1508588665,665,665
1508589614,709,709
1508590584,723,723
1508591545,732,732
1508592508,583,583
1508593459,783,783
1508594424,701,701
1508595396,753,753
1508596339,679,679
1508597298,806,806
1508598275,616,616
1508599258,734,734
1508600174,646,646
1508601172,800,800
1508602096,533,533
1508603068,731,731
1508604024,765,765
1508604977,738,738
1508605965,740,740
1508606898,625,625
1508607858,695,695
1508608845,651,651
1508609811,803,803
1508610755,667,667
1508611695,664,664
1508612673,753,753
1508613645,789,789
1508614575,624,624
1508615543,780,780
1508616505,597,597
1508617480,831,831
1508618425,671,671
1508619376,755,755
1508620362,764,764
1508621309,616,616
1508622265,621,621
1508623231,745,745
1508624197,692,692
1508625392,795,795
1508626344,842,842
1508627302,651,651
1508628253,608,608
1508629239,800,800
1508630181,651,651
1508631155,809,809
1508632102,602,602
1508633057,579,579
1508634013,817,817
1508634992,624,624
1508635938,712,712
1508636919,648,648
1508637864,716,716
1508638812,600,600
1508640038,782,782
1508640996,786,786
1508641938,737,737
1508642910,751,751
1508643860,700,700
1508644834,795,795
1508645802,628,628
1508646738,613,613
1508647709,740,740
1508648688,613,613
1508649630,638,638
1508650597,719,719
1508651546,683,683
1508652506,584,584
1508653465,660,660
1508654429,596,596
1508655371,785,785
1508656361,699,699
1508657294,530,530
1508658255,753,753
1508659239,676,676
1508660209,709,709
1508661150,590,590
1508662096,758,758
1508663073,699,699
1508664024,543,543
1508664988,732,732
1508665944,615,615
1508666897,606,606
1508667865,832,832
1508668834,691,691
1508669783,559,559
1508670738,712,712
1508671714,568,568
1508672657,754,754
1508673622,718,718
1508674599,612,612
1508675535,682,682
1508676511,749,749
1508678468,1368,1368
1508679403,677,677
1508680370,731,731
1508681294,659,659
1508682271,697,697
1508683237,723,723
1508684188,772,772
1508685138,526,526
1508686119,825,825
1508687069,557,557
1508688027,734,734
1508688994,630,630
1508689956,780,780
1508690921,645,645
1508691867,751,751
1508692817,636,636
1508693808,670,670
1508694750,600,600
1508695700,694,694
1508696657,723,723
1508697649,732,732
1508698599,696,696
1508699559,731,731
1508700505,780,780
1508701479,665,665
1508702513,780,780
1508703624,844,844
1508704581,675,675
1508705543,738,738
1508706772,866,866
1508707695,562,562
1508708658,756,756
1508709637,660,660
1508710593,791,791
1508711506,655,655
1508712502,799,799
1508713467,695,695
1508714436,687,687
1508715377,660,660
1508716355,827,827
1508717306,718,718
1508718516,787,787
1508719457,712,712
1508720441,699,699
1508721404,713,713
1508722368,716,716
1508723296,773,773
1508724265,687,687
1508725223,692,692
1508726210,639,639
1508727386,970,970
1508728351,668,668
1508729292,691,691
1508730256,763,763
1508731243,694,694
1508732189,694,694
1508733136,611,611
1508734117,737,737
1508735065,705,705
1508736013,657,657
1508736995,682,682
1508737944,644,644
1508738893,817,817
1508739875,572,572
1508740816,774,774
1508741789,688,688
1508742751,679,679
1508743692,667,667
1508744666,728,728
1508745659,757,757
1508746582,770,770
1508747553,598,598
1508748497,655,655
1508749482,793,793
1508750413,661,661
1508751384,700,700
1508752341,632,632
1508753338,672,672
1508754268,604,604
