DateTime,AddedIPs,RemovedIPs
1482902181,1,0
1482945849,1,0
1482989543,7,0
1483033208,2,0
1483076888,4,0
1483120569,4,0
1483207930,2,0
1483295289,1,0
1483338970,1,0
1483382649,2,0
1483426329,1,0
1483513692,3,0
1483557371,4,0
1483601049,5,0
1483644730,3,0
1483688411,6,0
1483776018,1,0
1483819692,4,0
1483863608,5,0
1483907528,1,0
1483951209,4,0
1483994890,5,0
1484038568,2,0
1484082249,3,0
1484125931,3,0
1484169609,2,0
1484213289,2,0
1484257209,2,0
1484344567,6,0
1484388251,1,0
1484431928,1,0
1484475609,2,0
1484519288,5,0
1484562968,1,0
1484606650,10,0
1484650330,2,0
1484694020,8,0
1484781369,4,0
1484825051,3,0
1484868728,3,0
1484912420,2,0
1484956330,2,0
1485000008,2,0
1485043692,2,0
1485087368,2,0
1485131050,2,0
1485174734,4,0
1485218409,3,0
1485262091,2,0
1485305769,5,0
1485349691,1,0
1485393608,2,0
1485481209,1,0
1485524888,2,0
1485568573,1,0
1485612490,1,0
1485700329,2,0
1485744010,1,0
1485787688,2,0
1485831368,1,0
1485875049,4,0
1485918728,4,0
1485962410,1,0
1486006089,2,0
1486049777,1,0
1486093449,4,0
1486137129,2,0
1486180816,5,0
1486224490,1,0
1486268410,1,0
1486312088,2,0
1486355783,4,0
1486443128,1,0
1486486815,2,0
1486530728,3,0
1486574648,1,0
1486618328,1,0
1486662011,4,0
1486705688,2,0
1486749369,2,0
1486836729,2,0
1486880410,4,0
1486924089,2,0
1487011448,4,0
1487055128,2,0
1487098811,1,0
1487142493,2,0
1487186170,3,0
1487229849,3,0
1487273530,3,0
1487317209,4,0
1487360888,1,0
1487404593,1,0
1487448247,2,0
1487579289,1,0
1487622968,1,0
1487666888,3,0
1487710569,1,0
1487754249,1,0
1487797934,1,0
1487841632,3,0
1487885288,5,0
1487928968,2,0
1487972650,1,0
1488016328,1,0
1488060017,1,0
1488103691,2,0
1488147375,2,0
1488191049,5,0
1488234727,2,0
1488278410,3,0
1488322087,2,0
1488365769,5,0
1488409449,3,0
1488453128,2,0
1488496812,3,0
1488540489,3,0
1488584649,3,0
1488628330,4,0
1488672013,3,0
1488759368,1,0
1488803050,2,0
1488890413,1,0
1488977769,1,0
1489021451,1,0
1489065129,2,0
1489108822,1,0
1489152490,1,0
1489283528,4,0
1489327212,4,0
1489370889,3,0
1489414569,3,0
1489458249,4,0
1489545610,1,0
1489589289,2,0
1489632969,2,0
1489676649,2,0
1489720328,3,0
1489764017,2,0
1489807688,1,0
1489851368,3,0
1489895049,1,0
1489938729,3,0
1489982421,1,0
1490069768,2,0
1490113448,1,0
1490157132,3,0
1490200812,5,0
1490244488,5,0
1490288171,5,0
1490332089,6,0
1490375768,6,0
1490419449,6,0
1490463381,2,0
1490507054,4,0
1490638093,2,0
1490725449,7,0
1490769129,4,0
1490812818,2,0
1490856488,2,0
1490900168,4,0
1490944091,4,0
1490987768,2,0
1491075127,3,0
1491118810,2,0
1491162488,2,0
1491250090,1,0
1491337469,4,0
1491381128,1,0
1491424809,1,0
1491468488,4,0
1491512169,1,0
1491556090,1,0
1491599767,1,0
1491643449,3,0
1491687131,1,0
1491730826,2,0
1491774490,2,0
1491818189,3,0
1491905528,4,0
1491949208,2,0
1491992889,3,0
1492036568,1,0
1492080248,6,0
1492123930,5,0
1492211530,1,0
1492255228,2,0
1492298888,2,0
1492342568,1,0
1492429928,3,0
1492473621,2,0
1492517289,3,0
1492560968,1,0
1492604652,2,0
1492648329,3,0
1492692008,2,0
1492735688,5,0
1492779369,1,0
1492823533,3,0
1492867207,1,0
1492954811,1,0
1492998488,2,0
1493042171,1,0
1493086090,2,0
1493129768,2,0
1493173449,3,0
1493217128,1,0
1493260808,1,0
1493304489,4,0
1493348169,1,0
1493391850,1,0
1493435530,4,0
1493522889,1,0
1493566589,3,0
1493610249,3,0
1493653930,1,0
1493697616,6,0
1493741290,4,0
1493828648,3,0
1493872569,2,0
1493916249,2,0
1493959930,2,0
1494090968,2,0
1494134651,4,0
1494222010,3,0
1494265687,4,0
1494309372,1,0
1494353289,2,0
1494396972,1,0
1494440649,2,0
1494484329,1,0
1494528008,1,0
1494571688,1,0
1494615369,2,0
1494659050,1,0
1494790087,3,0
1494833768,1,0
1494921369,1,0
1494965289,3,0
1495052648,1,0
1495096331,4,0
1495140012,3,0
1495183689,2,0
1495227371,1,0
1495271047,1,0
1495358410,2,0
1495404733,2,0
1495448409,1,0
1495492088,3,0
1495579448,4,0
1495710731,4,0
1495754408,2,0
1495798089,4,0
1495885448,4,0
1495929128,3,0
1495972827,1,0
1496016489,4,0
1496060170,4,0
1496103849,2,0
1496147528,1,0
1496191209,3,0
1496234889,5,0
1496278569,4,0
1496322490,1,0
1496366169,3,0
1496453528,1,0
1496497448,1,0
1496541128,4,0
1496584815,4,0
1496628728,3,0
1496672411,4,0
1496716090,3,0
1496759781,2,0
1496803448,1,0
1496847135,5,0
1496890817,3,0
1496934494,3,0
1496978169,5,0
1497021849,4,0
1497065528,5,0
1497152888,1,0
1497196571,3,0
1497240250,3,0
1497283928,9,0
1497327609,1,0
1497371288,5,0
1497414970,4,0
1497458648,1,0
1497502328,5,0
1497546014,2,0
1497633617,3,0
1497677289,3,0
1497720968,1,0
1497764649,2,0
1497808329,2,0
1497852021,3,0
1497895690,3,0
1497939610,2,0
1497983288,2,0
1498026968,1,0
1498070651,2,0
1498201687,1,0
1498245368,4,0
1498289048,5,0
1498332730,1,0
1498376411,3,0
1498463769,2,0
1498508415,4,0
1498552089,8,0
1498595768,3,0
1498639448,4,0
1498683130,3,0
1498727050,2,0
1498770728,5,0
1498814409,2,0
1498858090,2,0
1498901768,2,0
1498989128,1,0
1499032828,1,0
1499076488,1,0
1499120170,1,0
1499207529,2,0
1499294892,2,0
1499338569,4,0
1499382493,7,0
1499470091,1,0
1499513771,3,0
1499557449,3,0
1499644820,2,0
1499688729,2,0
1499732417,5,0
1499778746,4,0
1499822415,2,0
1499866092,1,0
1499909769,3,0
1499953447,3,0
1499997129,4,0
1500040822,1,0
1500084488,10,0
1500128167,5,0
1500171847,5,0
1500259209,3,0
1500302888,5,0
1500346569,2,0
1500390249,4,0
1500433928,2,0
1500477610,1,0
1500521532,4,0
1500565208,2,0
1500653050,2,0
1500696728,1,0
1500740408,1,0
1500784088,2,0
1500827769,1,0
1500871448,1,0
1501046408,2,0
1501090088,3,0
1501134010,5,0
1501221624,1,0
1501265529,3,0
1501309208,5,0
1501352889,2,0
1501396809,1,0
1501440488,3,0
1501484169,1,0
1501528091,3,0
1501572010,1,0
1501615688,5,0
1501659370,4,0
1501790425,1,0
1501834091,1,0
1501878009,1,0
1501965369,3,0
1502009049,3,0
1502052728,1,0
1502096419,1,0
1502140090,2,0
1502183769,1,0
1502227452,1,0
1502314811,2,0
1502358488,1,0
1502402169,1,0
1502489528,4,0
1502533450,3,0
1502577369,1,0
1502621529,2,0
1502665231,2,0
1502709129,1,0
1502752809,1,0
1502796489,1,0
1502840169,2,0
1502883850,1,0
1502927530,2,0
1502971236,1,0
1503014889,5,0
1503058569,1,0
1503102251,2,0
1503145928,3,0
1503189608,5,0
1503233529,1,0
1503277213,2,0
1503320889,2,0
1503364569,3,0
1503495609,4,0
1503539291,1,0
1503582969,2,0
1503670567,2,0
1503714249,3,0
1503845288,2,0
1503932648,2,0
1503976328,4,0
1504020016,7,0
1504063689,2,0
1504107370,4,0
1504151288,1,0
1504194969,2,0
1504238650,4,0
1504282330,6,0
1504326011,2,0
1504369688,2,0
1504457063,8,0
1504500730,9,0
1504544418,3,0
1504588091,3,0
1504631770,6,0
1504675450,2,0
1504719130,4,0
1504762808,4,0
1504806488,3,0
1504850168,2,0
1504893849,1,0
1504937527,1,0
1505068809,1,0
1505156422,3,0
1505200091,1,0
1505244971,4,0
1505332329,2,0
1505376014,1,0
1505419688,5,0
1505464570,2,0
1505508488,8,0
1505552169,3,0
1505595851,1,0
1505639531,2,0
1505770568,2,0
1505857928,4,0
1505945291,2,0
1505988968,2,0
1506163930,2,0
1506207608,2,0
1506294968,1,0
1506338648,2,0
1506382329,1,0
1506470169,1,0
1506513853,1,0
1506557530,6,0
1506601222,2,0
1506644891,3,0
1506732249,2,0
1506775928,3,0
1506819850,4,0
1506863530,1,0
1506907450,2,0
1506951128,3,0
1507038728,3,0
1507082409,2,0
1507126091,4,0
1507169767,3,0
1507213449,3,0
1507257133,1,0
1507301050,2,0
1507344729,2,0
1507388411,4,0
1507432092,3,0
1507475769,3,0
1507519449,1,0
1507563368,1,0
1507607049,3,0
1507694420,2,0
1507738090,2,0
1507782010,3,0
1507825689,2,0
1507869369,1,0
1507913049,2,0
1508000417,1,0
1508044328,6,0
1508088010,4,0
