DateTime,AddedIPs,RemovedIPs
1506369619,0,1
1506376819,0,1
1506380419,0,1
1506384019,5,0
1506387620,12,0
1506391220,2,1
1506394820,2,1
1506409221,1,0
1506412820,0,1
1506416420,1,0
1506420020,0,1
1506427221,0,1
1506438020,1,0
1506441620,0,1
1506445221,1,0
1506456020,1,0
1506466820,0,1
1506470420,1,1
1506474021,1,0
1506481253,9,0
1506488420,0,1
1506492020,1,0
1506495621,0,2
1506499221,1,0
1506502826,1,0
1506506420,1,1
1506510021,2,1
1506513621,1,1
1506517258,3,0
1506524456,2,0
1506531621,3,1
1506535221,2,1
1506546021,0,2
1506560421,1,1
1506571221,2,2
1506574821,0,5
1506578421,0,1
1506582021,0,2
1506585620,1,5
1506589220,3,6
1506592821,4,4
1506596420,3,0
1506600021,14,0
1506603621,3,0
1506607221,1,0
1506614420,1,10
1506618020,1,0
1506621621,2,0
1506625222,0,1
1506632422,2,9
1506639621,1,1
1506643221,0,1
1506646821,0,1
1506650421,0,2
1506654022,1,1
1506657620,1,0
1506664821,0,1
1506668420,0,2
1506672020,0,1
1506675620,0,1
1506679227,0,1
1506682823,1,0
1506690020,0,4
1506693620,1,1
1506697220,0,1
1506700820,1,2
1506704420,0,1
1506708020,1,1
1506711620,1,0
1506715220,0,1
1506718820,0,3
1506722421,0,7
1506726018,0,15
1506729618,0,11
1506733218,1,0
1506740418,0,1
1506747618,1,0
1506751234,0,1
1506754818,1,0
1506758418,0,2
1506762018,0,1
1506772818,1,0
1506776418,0,1
1506780018,1,2
1506787232,2,0
1506790818,0,1
1506794419,1,0
1506801618,1,1
1506808818,2,1
1506812418,0,1
1506816019,3,0
1506834019,2,0
1506837618,0,1
1506841219,2,0
1506844843,1,0
1506848418,3,0
1506852018,2,0
1506855618,3,1
1506859219,1,1
1506862819,3,0
1506866418,0,2
1506873619,0,1
1506877237,3,0
1506880819,3,2
1506884418,0,3
1506888018,2,0
1506891619,1,2
1506895219,2,1
1506898819,0,4
1506902418,0,3
1506906018,0,6
1506909618,1,3
1506924018,1,2
1506927618,0,1
1506934818,0,3
1506945618,1,0
1506952818,0,1
1506963618,0,1
1506967222,0,1
1506970818,3,0
1506981618,0,1
1506985217,1,0
1506988817,3,9
1506992417,0,18
1506996027,1,7
1506999617,0,1
1507003216,0,2
1507006816,0,1
1507014016,0,1
1507017617,1,1
1507028416,1,1
1507032016,0,1
1507035617,0,1
1507039217,2,1
1507050017,0,1
1507053616,1,1
1507064417,1,0
1507068016,0,1
1507071617,1,0
