DateTime,AddedIPs,RemovedIPs
1499889608,2,1
1499893208,2,0
1499896810,4,0
1499900407,10,0
1499904008,8,0
1499907609,8,0
1499911209,6,1
1499914812,5,0
1499918412,7,0
1499922012,3,0
1499925612,4,0
1499929213,1,0
1499932813,3,0
1499940013,3,0
1499943613,2,0
1499947213,6,0
1499950813,2,0
1499954413,5,0
1499958014,8,0
1499961612,6,0
1499965213,4,0
1499968812,6,0
1499972412,9,0
1499976014,10,0
1499979613,4,0
1499983214,13,0
1499986814,8,0
1499990415,4,0
1499994015,2,1
1499997615,4,0
1500001215,2,0
1500004815,7,0
1500008417,3,0
1500022817,5,0
1500026416,4,0
1500030020,1,0
1500033619,4,0
1500037220,3,0
1500040819,1,0
1500044419,8,0
1500048054,2,0
1500051620,3,0
1500055220,4,0
1500058820,4,0
1500062421,3,0
1500066019,3,0
1500076819,2,0
1500080420,0,1
1500102019,2,0
1500109220,2,0
1500127220,0,1
1500148818,1,0
1500181220,0,1
1500188420,0,1
1500199220,1,1
1500213618,0,1
1500228018,1,0
1500231618,1,0
1500249618,1,0
1500253219,0,2
1500274819,1,0
1500278446,1,0
1500282018,1,0
1500318019,1,0
1500325220,0,1
1500343218,0,1
1500393619,1,0
1500408021,1,1
1500462081,0,1
1500465620,1,0
1500469227,0,1
1500480018,0,1
1500483617,0,7
1500487218,0,6
1500490817,2,0
1500494418,0,1
1500498017,0,1
1500501629,0,5
1500505217,0,9
1500508818,0,7
1500512418,0,7
1500516048,0,7
1500519616,0,4
1500523216,0,6
1500526833,0,4
1500530416,0,2
1500534016,0,1
1500541217,0,2
1500544816,1,2
1500548414,0,5
1500552014,0,6
1500555613,0,2
1500559216,0,6
1500562815,0,8
1500566414,0,7
1500570014,0,6
1500573614,0,5
1500577214,0,10
1500580813,0,8
1500584413,0,6
1500588012,0,13
1500591611,0,7
1500595210,0,3
1500598809,0,3
1500602410,1,4
1500606010,2,2
1500609611,0,10
1500613212,0,2
1500616812,0,1
1500620414,0,2
1500624011,0,1
1500631211,0,2
1500634811,0,5
1500638411,0,3
1500642010,0,3
1500649209,0,10
1500652809,0,5
1500656407,0,2
1500660008,0,5
1500663609,0,3
1500667209,0,6
1500670807,2,3
1500681609,0,3
1500706806,0,1
1500710408,0,1
1500714006,0,2
1500724806,0,1
1500811206,0,1
1500822012,1,0
1500847209,0,1
1500861605,0,1
1500883205,0,1
1500886806,0,1
1500904806,0,1
1500915606,1,1
1500930006,1,1
1500940808,1,0
1500955209,1,0
1500973206,1,1
1500984007,1,0
1501002005,0,1
1501016406,1,0
1501034406,1,0
1501041606,1,0
1501045210,1,0
1501063208,2,0
1501070408,1,0
1501092006,1,0
1501095606,0,2
1501131606,1,0
1501138807,0,1
1501149606,0,1
1501174806,0,1
1501185606,1,0
1501210808,0,1
1501243206,0,1
1501275606,0,1
1501282807,0,1
1501286406,0,1
1501315206,1,0
1501351207,1,0
1501365613,0,0
1501390806,1,0
1501426806,0,1
1501437607,1,0
1501459205,0,1
1501477206,1,0
1501524006,0,1
1501531206,1,0
1501534805,0,1
1501549208,0,1
1501585205,0,1
1501628413,0,1
1501635606,1,0
1501642808,0,1
1501646408,0,1
1501650006,0,2
1501660805,1,0
1501675205,0,1
1501707606,0,1
1501754406,0,1
1501768806,0,1
1501786805,1,0
1501826406,1,0
1501848030,0,1
1501858924,1,0
1501923606,0,1
1501966805,1,0
1501988405,0,1
1502013605,0,1
1502028005,1,0
1502089205,0,1
1502114416,1,0
1502139605,0,1
1502179206,1,0
1502193605,1,0
1502254806,1,1
1502265605,0,1
1502269206,0,1
1502272807,1,0
1502316006,1,0
1502359205,1,0
1502380807,1,0
1502431206,2,2
1502434805,1,0
1502445606,1,0
1502460006,1,0
1502463605,0,1
1502474407,1,0
1502517606,1,0
1502553606,1,0
1502571608,0,1
1502582406,0,1
1502643606,1,0
1502647206,0,1
1502694006,1,0
1502726406,0,1
1502787606,1,0
1502805606,0,1
1502866805,0,2
1502877606,0,1
1502902806,1,0
1502942406,1,0
1502946006,1,0
1502974806,1,0
1502989219,0,2
1503039608,1,0
1503046808,0,2
1503100808,0,1
1503108006,1,0
1503154805,0,1
1503158405,0,1
1503172805,1,1
1503176405,1,0
1503198006,1,0
1503234005,1,0
1503252006,0,1
1503298805,0,1
1503320405,2,0
1503327606,1,0
1503334806,0,1
1503338406,2,0
1503370806,1,0
1503378006,1,0
1503468006,1,0
1503504007,0,1
1503507607,0,1
1503511206,1,0
1503532806,2,1
1503540006,1,0
1503547206,0,1
1503554406,0,1
1503561606,0,1
1503601207,1,0
1503626405,0,1
1503637207,1,0
1503676806,1,1
1503691206,2,0
1503698407,1,0
1503723607,0,1
1503745206,1,0
1503748807,1,0
1503777606,0,1
1503853782,0,1
1503875404,1,0
1503918627,1,0
1503936605,0,1
1503943208,0,1
1503954005,0,1
1503986407,0,1
1504011606,1,0
1504036807,0,1
1504054806,1,0
1504119606,1,1
1504130406,0,1
1504141206,0,1
1504144806,0,1
1504188006,1,0
1504191606,1,0
1504202406,2,0
1504220406,1,0
1504227606,0,1
1504234806,0,1
1504238406,1,0
1504249206,0,1
1504299606,0,1
1504310406,0,1
1504328406,0,1
1504335606,0,1
1504339205,0,1
1504346406,1,0
1504353606,1,1
1504360807,0,2
1504368006,0,1
1504378805,0,1
1504393205,1,0
1504414806,0,1
1504476005,1,0
1504490405,2,0
1504494006,1,0
1504519206,0,1
1504584006,1,0
1504634405,0,1
1504659606,1,1
1504713606,1,0
1504717206,1,0
1504724408,1,0
1504731606,0,1
1504803607,1,0
1504807206,0,1
1504821606,0,1
1504825205,1,1
1504836005,0,1
1504839606,1,0
1504843206,1,1
1504857606,1,0
1504954806,1,0
1504965606,0,1
1505016017,1,0
1505073606,1,0
1505091606,0,1
1505095206,0,1
1505098805,0,1
1505113205,0,1
1505131209,1,0
1505149207,1,0
1505152806,1,0
1505170815,1,0
1505196005,0,1
1505224806,0,1
1505228406,1,0
1505232006,0,1
1505235609,0,1
1505268005,0,1
1505332806,0,1
1505340005,1,1
1505358005,1,0
1505368806,2,0
1505376006,0,1
1505408405,1,0
1505412006,1,0
1505426406,0,0
1505430007,0,0
1505448007,0,1
1505466007,0,1
1505484005,1,0
1505509206,0,1
1505527206,1,0
1505556006,0,1
1505592006,0,1
1505613606,1,0
1505649605,0,1
1505667606,1,0
1505682005,0,1
1505736006,0,1
1505739605,1,0
1505754006,1,0
1505779205,0,1
1505808006,0,1
1505822406,1,0
1505833206,0,1
1505862005,1,0
1505887205,1,0
1505901606,1,0
1505937606,1,0
1505941206,2,0
1505948406,1,0
1505966406,0,1
1505988006,0,1
1506006006,0,1
1506013208,0,1
1506020405,0,1
1506031206,1,0
1506042006,1,0
1506070806,0,1
1506106805,0,1
1506121206,1,0
1506132005,0,1
1506135606,0,1
1506146406,1,1
1506157206,0,1
1506196806,1,0
1506200405,2,0
1506218405,0,1
1506243606,1,0
