DateTime,AddedIPs,RemovedIPs
1505775641,0,1
1505779215,1,0
1505782815,0,1
1505797225,0,1
1505808016,0,1
1505811616,1,0
1505815241,1,0
1505826015,1,0
1505833216,1,0
1505840416,1,0
1505844016,0,1
1505847616,1,0
1505851229,0,1
1505858416,0,1
1505862015,0,5
1505872815,0,2
1505876416,1,0
1505883617,0,1
1505890816,0,1
1505894416,0,2
1505898015,0,1
1505901642,2,2
1505905229,0,1
1505908815,1,1
1505912415,2,0
1505919615,0,1
1505926824,0,1
1505930415,1,0
1505937615,1,1
1505941215,0,2
1505944815,0,1
1505948455,0,1
1505955621,1,0
1505959246,1,0
1505962815,1,0
1505966416,3,0
1505970016,11,0
1505973616,0,1
1505977216,1,0
1505980826,8,2
1505984422,10,1
1505988044,4,0
1505991616,0,1
1505995249,0,1
1505998816,1,3
1506002417,0,2
1506009617,16,0
1506016817,1,0
1506020417,0,2
1506024017,0,1
1506027618,12,0
1506031218,0,1
1506034818,1,0
1506038424,2,0
1506045624,1,0
1506056418,0,1
1506060051,1,0
1506063618,1,0
1506067218,1,0
1506074427,0,1
1506085218,3,0
1506092418,1,0
1506096039,3,0
1506099618,0,1
1506103218,1,0
1506110418,1,0
1506114018,0,3
1506117619,9,5
1506121219,17,2
1506124826,4,5
1506128420,0,10
1506132017,0,23
1506135616,0,24
1506139216,0,1
1506150016,1,0
1506157217,1,0
1506171616,1,0
1506175216,2,0
1506186017,1,0
1506189617,0,1
1506200421,0,1
1506204017,1,0
1506240017,0,1
1506247216,1,1
1506268817,1,1
1506272417,0,1
1506276016,1,0
1506279616,0,2
1506283216,0,6
1506286819,1,0
1506294016,0,1
1506297616,0,5
1506304816,0,1
1506308415,2,0
1506312016,1,1
1506319215,1,6
1506322815,1,7
1506330016,0,1
1506337216,0,1
1506340815,0,6
1506344415,0,4
1506355215,0,1
1506362415,1,0
1506366015,0,1
1506376815,0,1
1506380414,0,1
1506384015,5,0
1506387615,12,0
1506391215,2,1
1506412815,0,1
1506416415,1,0
1506420016,0,1
1506427216,0,1
1506438016,1,0
1506445216,1,0
1506466816,0,1
1506470416,1,0
1506481218,9,0
1506488416,0,1
1506499216,1,0
1506502816,1,0
1506506416,1,1
1506510016,1,1
1506513616,1,0
1506517216,2,0
1506524416,2,0
1506531617,3,1
1506535217,2,1
1506560416,1,0
1506571216,1,1
1506574816,0,5
1506578417,0,1
1506582017,0,1
1506585615,0,5
1506589215,0,6
1506592820,1,4
1506600016,11,0
1506603616,1,0
1506614415,1,10
1506618015,1,0
1506621616,1,0
1506632416,1,9
1506639615,0,1
1506643216,0,1
1506650415,0,1
1506654016,0,1
1506664815,0,1
1506668415,0,2
1506675615,0,1
1506679215,0,1
1506690014,0,4
1506693614,1,0
1506697215,0,1
1506700814,0,2
1506704415,0,1
1506708015,1,1
1506711620,1,0
1506715214,0,1
1506718815,0,3
1506722415,0,7
1506726017,0,14
1506729613,0,11
1506740413,0,1
1506747613,1,0
1506754813,1,0
1506758412,0,1
1506762013,0,1
1506776413,0,1
1506780013,1,2
1506787232,1,0
1506790813,0,1
1506794413,1,0
1506801613,0,1
1506808813,1,1
1506816013,1,0
1506834013,2,0
1506859213,1,1
1506873613,0,1
1506877213,1,0
1506880813,2,1
1506888013,2,0
1506891613,1,1
1506895213,2,0
1506898813,0,1
1506909613,1,0
1506924013,1,1
1506927613,0,1
1506934813,0,3
1506952813,0,1
1506967212,0,1
1506970814,1,0
1506981613,0,1
1506988812,3,9
1506992412,0,18
1506996012,0,7
1507003211,0,1
1507032011,0,1
1507035612,0,1
1507039211,0,1
1507050012,0,1
1507053611,0,1
1507064411,1,0
1507068011,0,1
1507078811,0,1
1507082411,4,1
1507086012,17,9
1507089612,4,0
1507093212,4,0
1507096812,1,0
1507104012,1,0
1507118412,1,0
1507125613,1,1
1507129212,1,1
1507132813,1,0
1507150813,2,0
1507158013,3,0
1507161612,4,0
1507165213,4,0
1507168813,3,0
1507172413,3,0
1507179613,3,0
1507183213,1,0
1507190414,1,0
1507197613,6,0
1507201214,2,1
1507204814,5,13
1507208413,3,1
1507212014,2,0
1507215614,3,0
1507219213,1,0
1507222814,1,1
1507226413,0,1
1507230013,3,0
1507233614,6,0
1507237214,2,0
1507240814,1,0
1507244414,1,1
1507269614,0,1
1507276814,1,0
1507298414,0,1
1507309215,1,0
1507327214,1,0
1507330815,9,0
1507334415,3,1
1507345215,1,0
1507359615,0,1
1507363220,1,0
1507370415,0,1
1507377616,10,0
1507384815,1,1
1507392015,1,0
1507399215,1,0
1507410015,0,1
1507420816,1,1
1507435215,0,1
1507464016,0,1
1507471215,1,0
1507474815,1,0
1507478415,1,0
1507482016,3,1
1507485615,1,0
1507489216,5,0
1507492816,4,0
1507500022,0,2
1507510816,0,1
1507528816,0,1
1507554016,2,0
1507575616,1,1
1507586416,1,0
1507590016,2,0
1507593617,1,3
1507597216,1,0
1507600817,1,0
1507615216,0,3
1507618816,1,1
1507622416,2,0
1507633216,1,0
1507640416,0,1
1507644016,1,0
1507654816,0,1
1507658416,1,0
1507665616,1,1
1507683616,1,0
1507687217,0,1
1507690816,0,3
1507694415,0,16
1507698015,1,9
1507701615,0,1
1507705230,1,0
1507712415,1,0
1507716015,3,0
1507719615,1,1
1507723214,0,2
1507726815,1,0
1507734016,0,1
1507737614,0,2
1507748415,2,0
1507752016,12,1
1507755616,0,1
1507762816,9,1
1507766416,3,3
1507770016,0,3
1507773616,13,5
1507777217,7,3
1507784416,0,4
1507788016,0,2
1507791616,1,1
1507795216,1,2
1507798816,0,1
1507802415,0,5
1507806016,3,2
1507809615,2,6
1507813216,5,4
1507816815,2,3
1507820417,1,4
1507824015,1,1
1507827615,2,1
1507831216,1,0
1507834816,0,4
1507838415,1,5
1507842015,0,1
1507845615,1,1
1507849216,1,1
1507852815,1,0
1507863615,1,0
1507888815,1,0
1507896015,1,0
1507899615,1,0
1507903216,0,1
1507914015,0,1
1507917617,2,2
1507921215,14,1
1507924816,11,0
1507935617,0,2
1507942816,0,3
1507946418,0,7
1507950016,0,1
1507953619,0,1
1507964416,3,0
1507968017,14,1
1507971617,14,0
1507975217,10,1
1507978818,12,0
1507982418,17,10
1507986018,5,0
1507989619,1,0
1507993219,3,0
1508004019,1,0
1508014819,2,0
1508022021,7,0
