DateTime,AddedIPs,RemovedIPs
1496210460,1,0
1496253660,0,1
1496278858,0,1
1496286051,1,0
1496329255,0,1
1496361665,1,0
1496372422,1,0
1496376022,1,0
1496394012,0,1
1496408409,1,1
1496415607,1,0
1496458808,1,1
1496487608,1,0
1496516409,0,1
1496545208,0,1
1496584808,0,1
1496588408,0,1
1496592008,0,1
1496595608,1,0
1496617209,1,0
1496638809,1,0
1496671209,1,0
1496782810,1,0
1496786409,0,1
1496804409,1,0
1496851208,1,0
1496890811,0,1
1496894411,1,0
1496901609,1,0
1496908808,1,0
1496952007,0,1
1496962809,1,0
1496966408,0,1
1496995208,0,1
1497002409,1,0
1497038409,1,0
1497052810,2,0
1497081608,1,0
1497088809,1,1
1497096009,2,0
1497135609,0,1
1497178812,2,0
1497189611,1,0
1497200410,1,0
1497222010,0,1
1497232811,2,0
1497250810,1,0
1497258010,1,0
1497276008,0,1
1497297608,1,0
1497312012,1,1
1497319211,1,0
1497326412,1,0
1497387609,1,0
1497398409,1,0
1497402012,1,0
1497412810,1,0
1497420009,0,1
1497452411,0,1
1497535212,1,0
1497538813,0,1
1497567611,0,1
1497574809,0,1
1497585609,0,1
1497618009,1,0
1497636011,0,1
1497654011,1,0
1497657612,0,1
1497693611,1,1
1497697211,0,1
1497700811,0,3
1497718811,0,1
1497736809,0,1
1497744009,0,1
1497783610,0,1
1497787211,0,1
1497794409,0,1
1497812410,1,0
1497826808,0,1
1497837609,0,2
1497888008,0,1
1497909608,0,1
1497924009,1,0
1497931209,0,1
1497934810,1,0
1497956411,1,0
1497974409,0,1
1497985210,1,1
1497988810,1,0
1498003209,0,2
1498010409,1,0
1498024808,1,1
1498028412,0,2
1498071612,1,0
1498075211,0,1
1498082410,1,0
1498089610,1,0
1498096810,1,0
1498114809,1,0
1498118409,0,1
1498150815,0,1
1498158057,1,0
1498190413,1,0
1498208412,0,1
1498222813,1,0
1498233672,1,0
1498258868,0,1
1498269670,1,0
1498284066,2,0
1498298453,0,1
1498302056,1,0
1498305653,1,0
1498309254,1,0
1498312843,1,0
1498320055,1,0
1498327258,1,0
1498345218,0,1
1498377668,2,0
1498392016,1,0
1498413610,1,0
1498417210,0,1
1498496410,1,0
1498507209,0,1
1498532409,1,0
1498536010,0,1
1498543209,1,0
1498582809,1,0
1498590009,0,1
1498611609,1,0
1498618811,0,1
1498647611,0,1
1498676410,0,1
1498683609,0,1
1498687209,0,1
1498694409,0,1
1498698008,1,1
1498701609,0,1
1498708808,1,0
1498726809,2,0
1498734009,0,1
1498762812,0,1
1498788011,0,1
