DateTime,Entries,UniqueIPs
1496055609,17,17
1496062809,18,18
1496181650,19,19
1496210460,20,20
1496253660,19,19
1496278858,18,18
1496286051,19,19
1496329255,18,18
1496361665,19,19
1496372422,20,20
1496376022,21,21
1496394012,20,20
1496408409,20,20
1496415607,21,21
1496458808,21,21
1496487608,22,22
1496516409,21,21
1496545208,20,20
1496584808,19,19
1496588408,18,18
1496592008,17,17
1496595608,18,18
1496617209,19,19
1496638809,20,20
1496671209,21,21
1496782810,22,22
1496786409,21,21
1496804409,22,22
1496851208,23,23
1496890811,22,22
1496894411,23,23
1496901609,24,24
1496908808,25,25
1496952007,24,24
1496962809,25,25
1496966408,24,24
1496995208,23,23
1497002409,24,24
1497038409,25,25
1497052810,27,27
1497081608,28,28
1497088809,28,28
1497096009,30,30
1497135609,29,29
1497178812,31,31
1497189611,32,32
1497200410,33,33
1497222010,32,32
1497232811,34,34
1497250810,35,35
1497258010,36,36
1497276008,35,35
1497297608,36,36
1497312012,36,36
1497319211,37,37
1497326412,38,38
1497387609,39,39
1497398409,40,40
1497402012,41,41
1497412810,42,42
1497420009,41,41
1497452411,40,40
1497535212,41,41
1497538813,40,40
1497567611,39,39
1497574809,38,38
1497585609,37,37
1497618009,38,38
1497636011,37,37
1497654011,38,38
1497657612,37,37
1497693611,37,37
1497697211,36,36
1497700811,33,33
1497718811,32,32
1497736809,31,31
1497744009,30,30
1497783610,29,29
1497787211,28,28
1497794409,27,27
1497812410,28,28
1497826808,27,27
1497837609,25,25
1497888008,24,24
1497909608,23,23
1497924009,24,24
1497931209,23,23
1497934810,24,24
1497956411,25,25
1497974409,24,24
1497985210,24,24
1497988810,25,25
1498003209,23,23
1498010409,24,24
1498024808,24,24
1498028412,22,22
1498071612,23,23
1498075211,22,22
1498082410,23,23
1498089610,24,24
1498096810,25,25
1498114809,26,26
1498118409,25,25
1498150815,24,24
1498158057,25,25
1498190413,26,26
1498208412,25,25
1498222813,26,26
1498233672,27,27
1498258868,26,26
1498269670,27,27
1498284066,29,29
1498298453,28,28
1498302056,29,29
1498305653,30,30
1498309254,31,31
1498312843,32,32
1498320055,33,33
1498327258,34,34
1498345218,33,33
1498377668,35,35
1498392016,36,36
1498413610,37,37
1498417210,36,36
1498496410,37,37
1498507209,36,36
1498532409,37,37
1498536010,36,36
1498543209,37,37
1498582809,38,38
