DateTime,AddedIPs,RemovedIPs
1500084080,0,1
1500087681,0,1
1500091284,0,1
1500094883,1,0
1500109283,1,0
1500127283,0,1
1500138077,1,0
1500145277,0,1
1500202878,0,1
1500231677,1,0
1500260486,1,0
1500267688,0,1
1500271280,0,1
1500289279,1,0
1500300081,1,0
1500310878,0,1
1500321679,0,1
1500339685,0,1
1500346881,0,1
1500350481,0,2
1500354081,1,1
1500361281,0,2
1500368480,0,2
1500372080,2,1
1500375681,0,1
1500379284,1,1
1500382878,1,0
1500386478,0,1
1500390079,0,1
1500393680,0,3
1500400882,0,1
1500404480,2,2
1500408082,0,1
1500411682,1,0
1500418881,1,2
1500422483,0,2
1500429684,1,0
1500458478,0,1
1500462079,1,0
1500465683,0,2
1500476477,1,0
1500480080,1,0
1500487279,1,0
1500490879,2,0
1500501680,0,1
1500512479,2,1
1500530476,1,0
1500537678,1,1
1500548481,0,3
1500559278,0,1
1500566478,0,1
1500584477,0,1
1500609681,1,0
1500613278,0,3
1500620482,0,1
1500645678,1,0
1500649277,1,0
1500656476,1,0
1500685278,1,0
1500717679,0,1
1500721276,0,2
1500728476,2,0
1500746478,1,0
1500814862,1,1
1500836483,2,0
1500850878,1,0
1500861676,1,0
1500865276,0,1
1500894068,0,1
1500897671,0,4
1500901268,0,1
1500904863,0,2
1500912057,1,0
1500919264,0,1
1500930051,1,0
1500940864,0,1
1500962477,0,1
1500976876,0,1
1500980476,1,0
1500984077,0,1
1500987678,1,0
1501009278,1,0
1501016476,0,1
1501023675,0,2
1501030876,1,1
1501052474,1,0
1501066875,1,0
1501074078,1,0
1501092078,0,2
1501095676,0,1
1501102878,1,1
1501117279,0,4
1501124473,0,1
1501142477,0,1
1501149673,1,1
1501164072,0,1
1501167670,0,1
1501171271,1,0
1501178473,0,1
1501185674,1,0
1501196473,0,2
1501203673,1,1
1501214472,0,1
1501221680,0,1
1501225278,2,0
1501236079,1,1
1501239678,1,0
1501261280,0,1
1501282881,1,0
1501286481,1,1
1501290081,0,1
1501311685,1,0
1501344077,1,0
1501362081,2,0
1501365683,0,0
1501376482,1,0
1501380084,1,1
1501390886,2,0
1501416088,1,0
1501426886,1,1
1501441286,0,1
1501448486,2,0
1501452085,0,1
1501459284,1,0
1501466484,0,1
1501484485,0,1
1501488084,2,0
1501516886,0,3
1501520484,0,1
1501545683,1,0
1501552883,1,0
1501560084,2,0
1501585287,2,0
1501588886,1,0
1501592487,1,0
1501603283,1,0
1501606882,1,0
1501614085,1,0
1501639283,1,0
1501642884,1,0
1501657284,0,1
1501678886,0,1
1501704088,0,2
1501714887,1,0
1501732885,1,0
1501736483,1,0
1501830081,0,1
1501840882,0,1
1501876877,0,1
1501887680,0,1
1501923684,0,1
1501941688,1,1
1501966890,0,1
1501981289,0,1
1501984891,1,1
1501995687,0,1
1501999286,1,1
1502024486,0,1
1502031685,0,1
1502042484,2,1
1502046087,0,1
1502049686,1,0
1502060486,0,1
1502067685,1,0
1502074884,0,2
1502082084,8,0
1502085687,2,0
1502089286,1,0
1502103684,2,0
1502118084,0,1
1502121680,13,0
1502125282,5,0
1502128882,3,0
1502132483,1,0
1502139680,0,1
1502150481,0,1
1502154081,0,2
1502157684,0,1
1502190084,0,2
1502208084,0,2
1502222482,0,1
1502240483,2,0
1502254885,0,2
1502262087,1,0
1502269286,0,1
1502280087,1,0
1502305286,1,0
1502316085,2,0
1502319686,1,1
1502337687,0,1
1502359292,1,0
1502370089,0,1
1502380889,0,1
1502427689,0,1
1502431288,0,1
1502442094,1,0
1502474489,1,0
1502478087,1,0
1502488886,1,0
1502517687,1,0
1502524886,0,1
1502539286,0,1
1502589694,1,0
1502593289,0,1
1502600490,0,2
1502604080,0,2
1502611282,0,1
1502632947,1,0
1502647285,2,1
1502668886,1,1
1502679684,1,0
1502690484,0,2
1502719290,0,1
1502726487,0,3
1502730087,0,5
1502733685,0,12
1502737288,0,5
1502740886,0,1
1502744485,1,1
1502751683,1,0
1502755286,0,1
1502758883,0,1
1502762484,1,0
1502769685,0,1
1502834483,0,1
1502845285,0,1
1502859685,0,1
1502902889,0,1
1502920893,0,1
1502931693,0,1
1502971290,1,0
1502996485,1,0
1503007287,0,1
1503014486,1,1
1503025287,0,1
1503036088,0,1
1503039687,0,1
1503046887,0,1
1503068488,1,0
1503082891,0,1
1503093699,0,1
1503097298,0,1
1503100899,0,1
1503111702,0,1
1503115301,0,1
1503126094,0,2
1503129697,0,1
1503144093,1,1
1503147696,0,1
1503151288,1,0
1503180087,1,0
1503183688,1,0
1503190892,1,0
1503216092,0,1
1503237683,0,1
1503252089,0,1
1503273630,0,1
1503295241,0,1
1503349212,0,2
1503352812,2,0
1503356412,0,1
1503367211,1,1
1503378010,1,0
1503399613,1,1
1503406811,0,1
1503421211,1,0
