DateTime,Entries,UniqueIPs
1500055281,101,101
1500073286,100,100
1500076885,99,99
1500084080,98,98
1500087681,97,97
1500091284,96,96
1500094883,97,97
1500109283,98,98
1500127283,97,97
1500138077,98,98
1500145277,97,97
1500202878,96,96
1500231677,97,97
1500260486,98,98
1500267688,97,97
1500271280,96,96
1500289279,97,97
1500300081,98,98
1500310878,97,97
1500321679,96,96
1500339685,95,95
1500346881,94,94
1500350481,92,92
1500354081,92,92
1500361281,90,90
1500368480,88,88
1500372080,89,89
1500375681,88,88
1500379284,88,88
1500382878,89,89
1500386478,88,88
1500390079,87,87
1500393680,84,84
1500400882,83,83
1500404480,83,83
1500408082,82,82
1500411682,83,83
1500418881,82,82
1500422483,80,80
1500429684,81,81
1500458478,80,80
1500462079,81,81
1500465683,79,79
1500476477,80,80
1500480080,81,81
1500487279,82,82
1500490879,84,84
1500501680,83,83
1500512479,84,84
1500530476,85,85
1500537678,85,85
1500548481,82,82
1500559278,81,81
1500566478,80,80
1500584477,79,79
1500609681,80,80
1500613278,77,77
1500620482,76,76
1500645678,77,77
1500649277,78,78
1500656476,79,79
1500685278,80,80
1500717679,79,79
1500721276,77,77
1500728476,79,79
1500746478,80,80
1500814862,80,80
1500836483,82,82
1500850878,83,83
1500861676,84,84
1500865276,83,83
1500894068,82,82
1500897671,78,78
1500901268,77,77
1500904863,75,75
1500912057,76,76
1500919264,75,75
1500930051,76,76
1500940864,75,75
1500962477,74,74
1500976876,73,73
1500980476,74,74
1500984077,73,73
1500987678,74,74
1501009278,75,75
1501016476,74,74
1501023675,72,72
1501030876,72,72
1501052474,73,73
1501066875,74,74
1501074078,75,75
1501092078,73,73
1501095676,72,72
1501102878,72,72
1501117279,68,68
1501124473,67,67
1501142477,66,66
1501149673,66,66
1501164072,65,65
1501167670,64,64
1501171271,65,65
1501178473,64,64
1501185674,65,65
1501196473,63,63
1501203673,63,63
1501214472,62,62
1501221680,61,61
1501225278,63,63
1501236079,63,63
1501239678,64,64
1501261280,63,63
1501282881,64,64
1501286481,64,64
1501290081,63,63
1501311685,64,64
1501344077,65,65
1501362081,67,67
1501376482,68,68
1501380084,68,68
1501390886,70,70
1501416088,71,71
1501426886,71,71
1501441286,70,70
1501448486,72,72
1501452085,71,71
1501459284,72,72
1501466484,71,71
1501484485,70,70
1501488084,72,72
1501516886,69,69
1501520484,68,68
1501545683,69,69
1501552883,70,70
1501560084,72,72
1501585287,74,74
1501588886,75,75
1501592487,76,76
1501603283,77,77
1501606882,78,78
1501614085,79,79
1501639283,80,80
1501642884,81,81
1501657284,80,80
1501678886,79,79
1501704088,77,77
1501714887,78,78
1501732885,79,79
1501736483,80,80
1501830081,79,79
1501840882,78,78
1501876877,77,77
1501887680,76,76
1501923684,75,75
1501941688,75,75
1501966890,74,74
1501981289,73,73
1501984891,73,73
1501995687,72,72
1501999286,72,72
1502024486,71,71
1502031685,70,70
1502042484,71,71
1502046087,70,70
1502049686,71,71
1502060486,70,70
1502067685,71,71
1502074884,69,69
1502082084,77,77
1502085687,79,79
1502089286,80,80
1502103684,82,82
1502118084,81,81
1502121680,94,94
1502125282,99,99
1502128882,102,102
1502132483,103,103
1502139680,102,102
1502150481,101,101
1502154081,99,99
1502157684,98,98
1502190084,96,96
1502208084,94,94
1502222482,93,93
1502240483,95,95
1502254885,93,93
1502262087,94,94
1502269286,93,93
1502280087,94,94
1502305286,95,95
1502316085,97,97
1502319686,97,97
1502337687,96,96
1502359292,97,97
1502370089,96,96
1502380889,95,95
1502427689,94,94
1502431288,93,93
1502442094,94,94
1502474489,95,95
1502478087,96,96
1502488886,97,97
1502517687,98,98
1502524886,97,97
1502539286,96,96
1502589694,97,97
1502593289,96,96
1502600490,94,94
1502604080,92,92
1502611282,91,91
1502632947,92,92
1502647285,93,93
1502668886,93,93
1502679684,94,94
