DateTime,AddedIPs,RemovedIPs
1506956838,12,15
1506960439,22,18
1506964040,15,15
1506967636,8,7
1506971240,21,14
1506974841,18,21
1506978439,16,23
1506982036,21,21
1506985634,27,15
1506989234,9,20
1506992835,15,12
1506996436,15,17
1507000035,11,15
1507003632,13,16
1507007233,11,13
1507010833,13,11
1507014437,9,16
1507018033,15,21
1507021629,15,20
1507025234,24,16
1507028832,19,18
1507032432,20,12
1507036034,12,25
1507039631,18,49
1507043227,7,46
1507046829,14,31
1507050439,17,35
1507054038,12,32
1507057637,9,29
1507061237,20,28
1507064838,20,31
1507068437,11,23
1507072035,13,29
1507075635,18,30
1507079234,21,17
1507082832,15,18
1507086433,13,26
1507090032,10,27
1507093632,14,24
1507097230,8,30
1507100829,9,12
1507104428,16,15
1507108027,13,24
1507111628,12,27
1507115228,13,21
1507118826,10,24
1507122429,15,25
1507126032,41,22
1507129634,110,17
1507133239,99,22
1507136840,74,25
1507140442,72,28
1507144047,89,31
1507147648,64,34
1507151251,58,23
1507154853,60,27
1507158453,51,22
1507162054,48,28
1507165657,48,29
1507169257,45,21
1507172859,39,22
1507176457,42,21
1507180058,38,19
1507183658,37,22
1507187262,48,15
1507190861,43,21
1507194463,43,17
1507198064,38,15
1507201664,44,18
1507205265,48,24
1507208867,41,22
1507212468,42,28
1507216068,43,26
1507219672,54,14
1507223275,46,26
1507226873,37,19
1507230474,50,16
1507234079,47,21
1507237680,46,19
1507241283,47,32
1507244884,45,15
1507248484,50,21
1507252084,36,18
1507255683,39,14
1507259282,45,16
1507262886,56,21
1507266489,46,11
1507270092,56,13
1507273692,48,20
1507277295,46,13
1507280893,42,13
1507284499,43,9
1507288099,51,17
1507291705,57,17
1507295302,47,20
1507298906,50,30
1507302509,69,24
1507306109,43,37
1507309708,46,27
1507313308,61,24
1507316912,70,22
1507320514,50,18
1507324116,70,19
1507327713,56,17
1507331321,64,12
1507334922,59,9
1507338524,56,12
1507342125,55,13
1507345729,61,17
1507349332,65,16
1507352933,64,16
1507356534,71,9
1507360136,60,14
1507363739,56,9
1507367339,62,16
1507370942,67,12
1507374545,50,14
1507378149,57,26
1507381749,75,26
1507385350,64,27
1507388962,58,30
1507392552,52,29
1507396158,69,27
1507399761,58,26
1507403358,48,34
1507406961,57,28
1507410562,51,25
1507414166,52,20
1507417765,51,24
1507421371,48,22
1507424974,68,22
1507428571,49,24
1507432175,57,22
1507435773,57,20
1507439374,39,14
1507442978,49,19
1507446577,45,23
1507450179,51,19
1507453781,53,14
1507457384,50,25
1507460986,56,26
1507464588,64,30
1507468191,67,29
1507471789,55,36
1507475390,52,36
1507478991,50,38
1507482593,49,20
1507486194,58,20
1507489797,62,19
1507493399,62,23
1507497010,75,21
1507500614,68,28
1507504210,51,31
1507507812,47,16
1507511414,42,30
1507515014,54,17
1507518615,47,16
1507522216,41,27
1507525812,62,19
1507529410,37,27
1507533014,64,31
1507536615,77,51
1507540218,61,45
1507543818,68,55
1507547423,58,19
1507551034,88,14
1507554635,62,18
1507558232,52,33
1507561834,64,13
1507565437,72,29
1507569042,68,25
1507572641,41,15
1507576245,63,16
1507579846,59,20
1507583456,59,22
1507587054,64,23
1507590655,59,29
1507594256,67,21
1507597859,59,19
1507601460,49,31
1507605057,55,20
1507608656,54,18
1507612258,46,10
1507615858,57,22
1507619460,50,14
1507623062,59,14
1507626673,38,22
1507630273,57,28
1507633869,45,23
1507637473,55,23
1507641074,56,19
1507644674,45,23
1507648278,63,17
1507651875,54,18
1507655482,54,26
1507659083,58,11
1507662736,53,14
1507666288,70,20
1507669892,67,22
1507673515,52,19
1507677094,56,17
1507680698,46,12
1507684300,63,25
1507687900,45,13
1507691507,46,14
