DateTime,Entries,UniqueIPs
1506956838,6961,6961
1506960439,6965,6965
1506964040,6965,6965
1506967636,6966,6966
1506971240,6973,6973
1506974841,6970,6970
1506978439,6963,6963
1506982036,6963,6963
1506985634,6975,6975
1506989234,6964,6964
1506992835,6967,6967
1506996436,6965,6965
1507000035,6961,6961
1507003632,6958,6958
1507007233,6956,6956
1507010833,6958,6958
1507014437,6951,6951
1507018033,6945,6945
1507021629,6940,6940
1507025234,6948,6948
1507028832,6949,6949
1507032432,6957,6957
1507036034,6944,6944
1507039631,6913,6913
1507043227,6874,6874
1507046829,6857,6857
1507050439,6839,6839
1507054038,6819,6819
1507057637,6799,6799
1507061237,6791,6791
1507064838,6780,6780
1507068437,6768,6768
1507072035,6752,6752
1507075635,6740,6740
1507079234,6744,6744
1507082832,6741,6741
1507086433,6728,6728
1507090032,6711,6711
1507093632,6701,6701
1507097230,6679,6679
1507100829,6676,6676
1507104428,6677,6677
1507108027,6666,6666
1507111628,6651,6651
1507115228,6643,6643
1507118826,6629,6629
1507122429,6619,6619
1507126032,6638,6638
1507129634,6731,6731
1507133239,6808,6808
1507136840,6857,6857
1507140442,6901,6901
1507144047,6959,6959
1507147648,6989,6989
1507151251,7024,7024
1507154853,7057,7057
1507158453,7086,7086
1507162054,7106,7106
1507165657,7125,7125
1507169257,7149,7149
1507172859,7166,7166
1507176457,7187,7187
1507180058,7206,7206
1507183658,7221,7221
1507187262,7254,7254
1507190861,7276,7276
1507194463,7302,7302
1507198064,7325,7325
1507201664,7351,7351
1507205265,7375,7375
1507208867,7394,7394
1507212468,7408,7408
1507216068,7425,7425
1507219672,7465,7465
1507223275,7485,7485
1507226873,7503,7503
1507230474,7537,7537
1507234079,7563,7563
1507237680,7590,7590
1507241283,7605,7605
1507244884,7635,7635
1507248484,7664,7664
1507252084,7682,7682
1507255683,7707,7707
1507259282,7736,7736
1507262886,7771,7771
1507266489,7806,7806
1507270092,7849,7849
1507273692,7877,7877
1507277295,7910,7910
1507280893,7939,7939
1507284499,7973,7973
1507288099,8007,8007
1507291705,8047,8047
1507295302,8074,8074
1507298906,8094,8094
1507302509,8139,8139
1507306109,8145,8145
1507309708,8164,8164
1507313308,8201,8201
1507316912,8249,8249
1507320514,8281,8281
1507324116,8332,8332
1507327713,8371,8371
1507331321,8423,8423
1507334922,8473,8473
1507338524,8517,8517
1507342125,8559,8559
1507345729,8603,8603
1507349332,8652,8652
1507352933,8700,8700
1507356534,8762,8762
1507360136,8808,8808
1507363739,8855,8855
1507367339,8901,8901
