DateTime,AddedIPs,RemovedIPs
1507143122,84,76
1507146963,78,85
1507150805,85,78
1507152964,139,204
1507157766,62,85
1507159683,163,107
1507161614,147,194
1507163522,50,78
1507167362,81,62
1507173123,80,103
1507175042,84,102
1507179122,88,102
1507182964,103,68
1507186809,87,69
1507188723,26,4389
1507190643,4382,0
1507192564,64,61
1507196403,58,55
1507200245,65,59
1507204083,65,70
1507206255,70,65
1507208163,112,120
1507212016,77,53
1507213923,68,66
1507217762,71,51
1507221603,76,71
1507225682,80,68
1507229764,83,73
1507233613,60,66
1507235524,58,82
1507239604,64,92
1507244165,73,80
1507246324,78,98
1507252323,58,73
1507254242,74,71
1507258082,71,74
1507260244,124,142
1507262163,87,109
1507264085,218,178
1507266006,178,218
1507268164,109,87
1507270803,153,181
1507272963,94,72
1507274883,68,65
1507276808,72,60
1507278724,71,61
1507282563,61,52
1507288564,71,68
1507290483,58,64
1507300082,145,112
1507302009,70,86
1507303922,132,158
1507309923,86,64
1507311843,127,73
1507315922,67,73
1507319763,65,70
1507323613,64,87
1507325522,83,70
1507329603,51,95
1507331522,104,90
1507339442,47,69
1507343282,76,82
1507347122,82,76
1507349043,184,242
1507350962,98,82
1507356723,75,65
1507358642,58,62
1507362482,70,63
1507366322,68,51
1507370163,83,69
1507372082,139,173
1507374007,218,173
1507377843,73,61
1507381682,67,55
1507383602,64,58
1507387442,70,70
1507391282,74,57
1507395122,68,60
1507400883,75,66
1507404722,55,90
1507406643,96,126
1507408562,126,96
1507410482,96,126
1507412403,67,61
1507418163,62,99
1507420084,87,76
1507423922,51,72
1507425842,98,87
1507427763,179,180
1507429684,180,179
1507431608,64,87
1507433523,92,107
1507435443,80,90
1507443124,71,58
1507445042,54,48
1507448883,65,45
1507454642,78,52
1507456562,63,63
1507460407,367,395
1507462322,461,383
1507466162,67,62
1507470002,83,70
1507473845,69,61
1507477683,67,83
1507481522,76,68
1507483443,68,76
1507485363,115,109
1507487524,88,76
1507491362,69,74
1507495202,74,86
1507499043,47,71
1507502883,47,85
1507506964,92,82
1507508882,82,92
1507510809,118,149
1507514643,83,85
1507516562,76,81
1507520402,101,96
1507524243,78,104
1507530003,83,58
1507531922,70,60
1507537683,60,63
1507539607,64,42
1507543443,76,39
1507545362,52,77
1507549202,54,59
1507554962,122,92
1507556883,156,144
1507560722,51,51
1507562643,78,111
1507564811,133,117
1507566724,72,91
1507572482,128,50
1507574404,66,100
1507578243,72,74
1507580643,58,99
1507584723,55,73
1507588563,82,74
1507592402,81,85
1507596243,85,81
1507598162,150,172
1507605842,71,90
1507607763,88,105
1507611608,75,88
1507613522,101,73
1507617362,142,157
1507619282,75,88
1507621204,152,129
1507623123,74,62
1507625043,58,66
1507628883,75,61
1507631042,57,51
1507632963,93,113
1507634883,138,108
1507638723,59,55
1507642562,64,57
1507646402,67,52
1507650244,90,112
1507652162,150,108
1507654083,71,86
1507661043,140,115
1507664882,67,63
1507666802,102,120
1507668722,142,151
1507672563,57,85
1507676410,52,97
1507678322,120,79
1507682162,51,82
1507686244,75,66
1507690082,72,104
1507693922,112,104
1507697763,84,89
1507701610,74,66
1507703522,50,69
1507707362,76,52
1507711202,52,76
1507713122,124,84
1507715044,63,51
1507718882,58,61
1507722723,64,51
1507728485,51,64
1507730408,130,109
1507732322,103,46
1507738082,46,103
1507740002,183,127
1507743844,83,87
1507747684,70,72
1507753443,79,60
1507755364,64,106
1507759214,59,85
1507761122,64,97
1507765202,83,84
1507769043,43,75
1507772882,74,80
1507776722,81,96
1507780563,81,110
1507784411,96,89
1507788243,93,62
1507790163,67,67
1507795922,73,62
1507797845,86,57
