DateTime,AddedIPs,RemovedIPs
1507926614,2,0
1507928113,1,0
1507929013,29,0
1507929614,214,43
1507929921,127,0
1507930514,244,9
1507930814,135,9
1507931413,248,3
1507931714,121,0
1507932019,126,3
1507932312,64,3
1507932913,159,0
1507933514,405,3
1507933814,126,4
1507934414,247,0
1507934714,123,0
1507935014,126,3
1507935314,99,6
1507936513,1,0
1507938014,2,0
1507938316,1,0
1507941315,1,0
1507953914,1,0
1507955115,1,0
1507955415,1,0
1507955714,1,0
1507956014,1,0
1507956913,2,0
1507957813,1,0
1507958723,2,0
1507959314,1,0
1507959614,1,0
1507959914,1,0
1507961114,1,0
1507966815,1,0
1507967415,1,0
1507971314,2,0
1507979114,1,1
1507987515,1,0
1507993514,1,1
1507995014,1,0
1507995614,1,0
1507997714,0,1
1508000713,0,1
1508002815,1,0
1508005523,1,0
1508007316,2,0
1508008814,1,0
1508009714,1,0
1508010614,1,1
1508010913,1,0
1508012113,1,0
1508013913,1,0
1508016914,1,0
1508023215,321,3
1508023521,238,0
1508024113,485,47
1508024414,247,6
1508025014,491,0
1508025315,255,6
1508025616,239,3
1508025914,232,11
1508026513,245,6
1508027115,246,5
1508027414,123,0
1508028014,252,3
1508028314,122,12
1508028914,253,6
1508029215,126,1
1508029814,246,0
1508030415,248,3
1508030720,126,0
1508031314,245,0
1508031614,119,0
1508031914,126,0
1508032213,128,0
1508032815,247,0
1508033115,132,3
1508033714,249,0
1508034314,237,20
1508034615,46,0
1508036415,0,1
1508037615,279,9
1508037914,258,2
1508038514,466,6
1508038816,125,0
1508039413,121,0
1508040314,1,0
1508044213,1,0
1508044815,1,0
1508046314,1,0
1508047514,1,0
1508048414,1,0
1508049613,1,0
1508051414,1,0
1508053514,1,0
1508054113,1,0
1508054414,1,0
1508062215,0,1
1508064014,0,1
1508064615,3,0
1508064914,7,0
1508065215,2,0
1508065815,2,0
1508066415,1,0
1508068514,2,0
1508068814,1,0
1508071215,1,0
1508071814,1,0
1508072114,1,0
1508073315,1,0
1508074213,1,0
1508075713,1,0
1508077215,9,0
1508077815,56,3
1508086514,2,0
1508090715,0,1
1508091014,0,1
1508091314,0,1
1508103614,0,1
1508104817,0,1
1508106614,23,0
1508106914,193,3
1508107214,271,23
1508107514,257,3
1508107814,251,0
1508108114,247,9
1508108415,241,9
1508108714,234,12
1508109014,250,6
1508109615,500,9
1508109921,245,3
1508110215,244,0
1508110514,243,4
1508110814,261,6
1508111413,362,7
1508112014,254,9
1508112314,33,0
1508113514,0,1
1508121014,0,1
1508121615,0,1
1508122514,1,0
1508129714,0,1
1508133915,3,0
1508136315,0,1
1508140213,64,0
1508140514,10,0
1508140816,80,2
1508141115,110,13
1508141714,1,0
1508142314,5,0
1508142614,46,0
1508143214,2,1
1508144113,2,0
1508144415,1,0
1508148914,4,1
1508149823,1,1
1508150416,3,0
1508150715,1,0
1508151016,1,0
1508151313,3,0
1508151615,2,0
1508154015,1,0
1508154914,1,0
1508156114,1,0
1508164216,0,1
1508164514,0,1
1508173215,1,0
1508175014,0,1
1508176514,1,0
1508177715,0,1
1508180114,1,0
1508183718,0,1
1508185516,1,0
1508192113,0,1
1508194214,1,0
1508198114,0,1
1508200514,0,1
1508201414,1,1
1508202016,1,0
1508203516,1,0
1508205014,1,0
1508205914,48,0
1508206514,498,18
1508206815,245,18
1508207414,499,0
1508208014,486,13
1508208313,262,3
1508208913,497,0
1508209216,246,9
1508209814,262,0
1508210415,255,6
1508210723,123,0
1508211313,249,0
