DateTime,AddedIPs,RemovedIPs
1501537512,10,0
1501547713,0,1
1501558813,0,1
1501561213,0,1
1501592713,0,1
1501615212,0,1
1501620613,0,1
1501626316,0,1
1501654813,0,1
1501686015,0,1
1501710013,0,1
1501714212,0,1
1501726213,0,1
1501731313,0,1
1501770314,0,1
1501791313,0,1
1501792813,0,1
1501802720,0,1
1501817712,0,1
1501845612,0,1
1501872313,0,1
1501875612,0,1
1501905613,0,1
1501942814,0,1
1501968912,0,1
1501969212,0,2
1501969513,0,2
1502048113,0,1
1502064913,0,1
1502066413,0,1
1502067914,0,1
1502076316,0,1
1502081413,0,1
1502110814,0,1
1502122213,0,1
1502123412,0,1
1502123713,3,4
1502124013,0,1
1502167814,0,1
1502213714,0,1
1502217613,0,1
1502221214,0,1
1502253314,0,1
1502253614,0,2
1502302213,0,1
1502302813,0,1
1502326815,0,1
1502360113,0,1
1502362814,0,1
1502416213,0,1
1502445013,0,2
1502458814,0,1
1502478313,0,1
1502486113,0,1
1502487013,0,1
1502487314,0,1
1502487914,0,2
1502552713,0,3
1502566514,0,1
1502578213,0,1
1502579114,0,1
1502579714,0,1
1502583314,0,1
1502588413,0,1
1502591715,0,1
1502617513,0,1
1502625914,0,1
1502638213,0,1
1502646613,0,1
1502652613,0,1
1502695213,0,1
1502772314,0,1
1502775314,0,2
1502775614,0,1
1502776213,0,1
1502790013,0,1
1502800213,0,1
1502800514,0,1
1502807714,0,1
1502809514,0,1
1502819714,0,1
1502820014,0,1
1502821514,0,2
1502844314,0,1
1502865913,0,1
1502878514,0,1
1502899514,0,1
1502910614,0,1
1502936113,0,1
1502957415,0,1
1502983514,0,1
1502984416,0,1
1502985614,0,1
1502993413,0,1
1503020414,0,1
1503066613,0,1
1503070514,0,1
1503088814,0,1
1503135014,0,2
1503135614,0,2
1503174013,0,1
1503181213,0,1
1503183916,0,1
1503219014,0,3
1503287714,0,1
1503336615,0,1
1503339313,0,1
1503368724,0,1
1503382214,0,1
1503418814,0,1
1503421814,0,1
1503425417,0,1
1503436521,0,1
1503453014,0,1
1503459013,0,1
1503471915,0,1
1503499515,0,1
1503504314,0,1
1503506715,0,1
1503508815,0,1
1503553214,0,1
1503559214,0,1
1503561614,0,1
1503606014,0,1
1503629114,0,2
1503633014,0,1
1503633616,0,1
1503639313,0,1
1503640515,0,1
1503658215,0,1
1503679813,0,2
1503810914,0,1
1503900015,0,1
1503910514,0,1
1503929114,0,1
1503936315,0,1
1503939614,0,1
1503948322,0,1
1504034714,0,1
1504039514,0,1
1504042216,0,1
1504045214,0,1
1504055415,0,1
1504057515,0,1
1504108214,0,1
1504118114,0,1
1504132214,0,1
1504134316,0,1
1504191912,0,1
1504197615,0,1
1504209614,0,1
1504260013,0,1
1504357515,0,1
1504374613,0,1
1504377915,0,1
1504434015,0,1
1504515015,0,1
1504540514,0,1
1504553117,13,0
1504556114,0,1
1504563014,0,1
1504569913,0,1
1504605615,0,1
1504609815,0,1
1504610717,0,1
1504615215,0,1
1504615515,0,1
1504633214,0,1
1504710014,0,1
1504711215,0,1
1504713020,0,1
1504718414,0,1
1504726814,0,1
1504759815,0,1
1504760414,0,3
1504760715,0,3
1504761314,0,5
1504769121,0,1
1504798514,0,1
1504819814,0,1
1504829414,0,1
1504831215,0,1
1504894216,0,1
1504904715,0,1
1504942213,0,1
1504995614,0,1
1504998314,0,1
1505020516,0,1
1505046320,0,1
1505058314,10,0
1505059814,0,1
1505072414,0,1
1505076915,0,1
1505231415,0,1
1505240113,0,2
1505250315,0,1
1505257216,0,1
1505283315,0,1
1505313015,0,1
1505374514,0,1
1505428515,0,1
1505429115,0,0
1505431216,0,0
1505438115,0,1
1505452217,0,1
1505458514,0,1
1505468415,0,4
1505468714,0,5
1505484315,0,1
1505506217,0,1
1505567114,0,1
1505640014,0,1
1505644514,0,2
1505660416,0,1
1505702114,0,1
1505706015,0,1
1505715920,0,1
1505745015,0,1
1505755215,1,0
1505756415,0,1
1505840114,0,1
1505847314,0,1
1505859314,17,0
1505865315,1,0
1505899814,0,1
1505907314,0,1
1505910915,0,4
