DateTime,Entries,UniqueIPs
1501509013,302799,312392
1501532412,302798,312391
1501537512,302808,312401
1501547713,302807,312400
1501558813,302806,312399
1501561213,302805,312398
1501592713,302804,312397
1501615212,302803,312396
1501620613,302802,312395
1501626316,302801,312394
1501654813,302800,312393
1501686015,302799,312392
1501710013,302799,312391
1501714212,302798,312390
1501726213,302797,312389
1501731313,302796,312388
1501770314,302795,312387
1501791313,302794,312386
1501792813,302793,312385
1501802720,302792,312384
1501817712,302791,312383
1501845612,302790,312382
1501872313,302789,312381
1501875612,302788,312380
1501905613,302787,312379
1501942814,302786,312378
1501968912,302785,312377
1501969212,302783,312375
1501969513,302781,312373
1502048113,302780,312372
1502064913,302779,312371
1502066413,302779,312370
1502067914,302778,312369
1502076316,302777,312368
1502081413,302776,312367
1502110814,302775,312366
1502122213,302774,312365
1502123412,302773,312364
1502123713,302772,312363
1502124013,302771,312362
1502167814,302771,312361
1502213714,302770,312360
1502217613,302769,312359
1502221214,302768,312358
1502253314,302767,312357
1502253614,302765,312355
1502302213,302764,312354
1502302813,302763,312353
1502327115,302762,312352
1502360113,302761,312351
1502362814,302760,312350
1502416213,302759,312349
1502445013,302757,312347
1502458814,302756,312346
1502478313,302756,312345
1502486113,302755,312344
1502487013,302754,312343
1502487314,302753,312342
1502487914,302751,312340
1502552713,302748,312337
1502566514,302747,312336
1502578213,302746,312335
1502579114,302745,312334
1502579714,302744,312333
1502583314,302743,312332
1502588413,302742,312331
1502591715,302741,312330
1502617513,302740,312329
1502625914,302739,312328
1502638213,302738,312327
1502646613,302737,312326
1502652613,302736,312325
1502695213,302735,312324
1502772314,302734,312323
1502775314,302732,312321
1502775614,302731,312320
1502776213,302730,312319
1502790013,302729,312318
1502800213,302728,312317
1502800514,302727,312316
1502807714,302726,312315
1502809514,302725,312314
1502819714,302724,312313
1502820014,302723,312312
1502821514,302721,312310
1502844314,302720,312309
1502865913,302719,312308
1502878514,302718,312307
1502899514,302717,312306
1502910916,302716,312305
1502936113,302715,312304
1502957415,302714,312303
1502983514,302713,312302
1502984416,302712,312301
1502985614,302711,312300
1502993413,302710,312299
1503020414,302710,312298
1503066613,302709,312297
1503070514,302708,312296
1503088814,302707,312295
1503135014,302705,312293
1503135614,302703,312291
1503174013,302702,312290
1503181213,302701,312289
1503183916,302700,312288
1503219014,302697,312285
1503287714,302696,312284
1503336615,302695,312283
1503339313,302694,312282
1503368724,302693,312281
1503382214,302692,312280
1503418814,302691,312279
1503421814,302690,312278
1503425417,302689,312277
1503436521,302688,312276
1503453014,302687,312275
1503459013,302687,312274
1503471915,302686,312273
1503499515,302685,312272
1503504314,302684,312271
1503506715,302683,312270
1503508815,302682,312269
1503553214,302681,312268
