DateTime,AddedIPs,RemovedIPs
1502157613,117,0
1502158213,327,0
1502158513,190,0
1502158813,167,0
1502159120,118,0
1502159414,168,0
1502159712,177,0
1502160013,171,0
1502160314,159,1
1502160613,149,0
1502161214,326,0
1502161513,108,0
1502162113,263,0
1502162413,128,0
1502162714,126,0
1502163014,133,0
1502163313,104,0
1502163613,112,3
1502163913,145,0
1502164513,242,0
1502165114,284,0
1502165413,157,0
1502166013,300,2
1502166315,173,0
1502166613,92,0
1502166913,135,0
1502167213,118,0
1502167813,244,0
1502168112,162,0
1502168414,162,0
1502168712,163,0
1502169013,162,0
1502169313,136,0
1502169613,126,0
1502170213,280,0
1502170813,217,3
1502171113,115,0
1502171414,117,0
1502171713,116,0
1502172014,144,0
1502172612,315,0
1502172913,158,0
1502173214,188,0
1502173518,206,0
1502173814,212,0
1502174113,176,0
1502174413,215,0
1502174713,202,0
1502175013,175,0
1502175614,407,0
1502175914,221,0
1502176513,445,0
1502176814,190,0
1502177412,393,0
1502177714,168,0
1502178012,239,0
1502178314,229,0
1502178614,177,0
1502178912,230,0
1502179214,238,0
1502179513,244,0
1502179813,237,0
1502180413,469,0
1502180718,209,0
1502181013,228,0
1502181313,229,0
1502181613,233,0
1502181914,231,1
1502182213,228,3
1502182514,232,0
1502182813,148,0
1502222113,0,1
1502222714,404,0
1502223013,230,0
1502223614,461,0
1502223914,229,0
1502224513,471,0
1502224813,226,0
1502225115,229,0
1502225413,237,0
1502225713,216,0
1502226013,233,2
1502226314,248,0
1502226614,237,0
1502226913,236,7
1502227213,221,27
1502227523,286,3
1502227813,228,0
1502228114,226,10
1502228412,257,4
1502228713,232,0
1502229014,230,0
1502229313,230,0
1502229616,234,0
1502230813,133,0
1502231119,0,1
1502289014,0,1
1502293213,0,1
1502298013,0,1
1502299524,0,1
1502302813,0,1
1502324713,0,1
1502337614,0,1
1502352912,0,1
1502361614,0,1
1502363115,0,1
1502376914,0,1
1502388913,0,1
1502439613,0,1
1502457013,0,1
1502463013,0,1
1502466913,0,1
1502556614,0,1
1502598613,0,1
1502632813,0,1
1502640613,0,1
1502715913,0,1
1502734813,0,1
1502748313,0,1
1502793913,0,1
1502818515,0,1
1502843413,0,1
1502867413,0,1
1502890513,0,1
1502900413,0,1
1502916013,0,1
1502917514,0,1
1502925614,0,1
1502945714,67,0
1502946014,110,0
1502946613,212,0
1502946914,109,2
1502947213,87,0
1502947519,75,0
1502947814,111,0
1502948114,97,0
1502948414,112,0
1502948714,90,0
1502949013,90,0
1502949613,242,0
1502949914,117,0
1502950513,189,0
1502950814,101,0
1502951414,224,0
1502952014,234,4
1502952313,129,0
1502952913,276,0
1502953514,205,0
1502953813,77,0
1502954415,132,0
1502954713,51,0
1502955313,106,0
1502955613,84,0
1502956213,186,0
1502956514,83,0
1502956814,90,0
1502957415,130,0
1502957713,87,1
1502958014,76,0
1502958323,77,0
1502958614,68,0
1502959213,138,0
1502959513,84,0
1502960113,253,0
1502960714,252,0
1502961013,114,0
1502961613,239,0
1502961914,115,0
1502962513,156,0
1502962816,134,0
1502963114,143,0
1502963413,127,0
1502964014,268,0
1502964314,136,0
1502964913,242,0
1502965213,170,0
1502965812,325,0
1502966113,137,0
1502966412,144,6
1502966713,137,6
1502967013,133,3
1502967313,132,0
1502967613,119,1
1502967914,123,0
1502968213,96,3
1502968813,278,0
1502969115,137,0
1502969713,289,0
1502970014,136,0
1502970315,131,0
1502970613,119,0
1502971213,211,0
1502971814,335,0
1502972417,348,0
1502972717,148,0
1502973014,142,0
1502973313,158,0
1502973613,175,0
1502973914,194,0
1502974213,173,0
1502974813,363,0
1502975114,179,0
1502975713,317,0
1502976314,267,6
1502976613,132,9
1502977213,295,12
1502977514,158,0
1502977814,148,0
1502978113,153,0
1502978713,164,0
1502979014,123,0
1502979614,267,3
1502979920,128,0
1502980515,263,0
1502980814,163,6
1502981113,180,0
1502981713,351,0
1502982013,102,0
1502982613,339,0
1502982914,178,0
