DateTime,AddedIPs,RemovedIPs
1505736015,3,0
1505736618,6,0
1505737815,15,0
1505738416,7,0
1505739014,8,0
1505739315,2,1
1505739616,3,0
1505739915,5,0
1505740815,6,0
1505741117,1,0
1505741415,2,0
1505741713,3,0
1505742027,2,0
1505742915,6,0
1505743214,2,0
1505743514,4,0
1505743815,1,0
1505744114,1,0
1505744415,6,0
1505745014,2,0
1505745616,1,0
1505746513,2,0
1505746816,1,0
1505747413,1,0
1505756415,1,0
1505788516,2,0
1505810414,1,0
1505819413,0,2
1505831116,0,1
1505840415,6,0
1505841315,0,1
1505854514,2,0
1505866214,1,0
1505892914,1,0
1505896814,0,1
1505918415,0,1
1505919914,1,0
1505920814,2,0
1505921117,1,0
1505956813,1,0
1505981719,2,0
1506000318,1,0
1506059115,2,0
1506059415,2,0
1506059714,2,0
1506083714,0,1
1506098113,1,0
1506098414,0,1
1506107714,2,0
1506108014,2,0
1506125414,0,1
1506138014,3,0
1506138315,14,0
1506138614,19,0
1506138914,18,0
1506139214,2,0
1506139514,5,0
1506140714,6,0
1506141915,6,0
1506142514,1,0
1506142815,1,0
1506143414,2,0
1506143715,1,0
1506144615,2,0
1506146414,2,0
1506168612,1,0
1506170114,1,0
1506185713,0,1
1506189013,0,1
1506205215,0,1
1506229815,1,0
1506230114,4,0
1506233713,1,0
1506234913,2,0
1506243313,1,0
1506282913,0,1
1506286815,1,0
1506288326,1,0
1506290113,1,0
1506294915,2,0
1506300914,2,0
1506301215,10,0
1506304214,0,1
1506326414,13,0
1506326715,17,0
1506327015,1,0
1506337214,0,1
1506344713,0,1
1506347713,0,1
1506348015,0,1
1506348616,0,1
1506359415,0,1
1506362414,0,1
1506371415,1,0
1506372613,49,0
1506372913,28,0
1506382814,39,0
1506396314,0,1
1506414014,0,1
1506415513,1,0
1506419413,0,1
1506422114,0,1
1506459313,7,0
1506471314,1,0
1506478513,12,0
1506490816,10,0
1506501615,0,1
1506534613,3,0
1506601815,0,1
1506603614,0,1
1506618014,0,1
1506627913,27,0
1506628215,12,0
1506628513,2,0
1506628815,2,0
1506629114,1,0
1506630014,2,0
1506630615,2,0
1506633013,1,0
1506642013,1,0
1506642913,1,0
1506643214,1,3
1506643813,1,0
1506680114,0,1
1506684318,0,1
1506693013,1,0
1506693313,2,0
1506702913,0,1
1506708015,0,1
1506714014,1,0
1506810313,1,0
1506832815,1,0
1506843015,1,0
1506854714,1,0
1506871514,1,0
1506878113,1,0
