DateTime,AddedIPs,RemovedIPs
1500359709,0,1
1500366010,13,0
1500379210,0,1
1500382509,0,1
1500393609,0,1
1500394810,14,0
1500410409,0,1
1500423609,15,0
1500443410,0,1
1500452410,21,3
1500471609,0,1
1500481211,23,0
1500510010,9,0
1500512411,0,1
1500538810,10,3
1500567912,25,0
1500574510,0,1
1500596410,20,0
1500625209,10,0
1500644110,0,1
1500654010,17,0
1500664510,0,1
1500682810,1,0
1500684010,1,0
1500703209,0,1
1500711609,16,0
1500735609,5,0
1500735910,1,0
1500737112,1,0
1500737710,1,0
1500740410,11,0
1500747910,1,0
1500752110,1,0
1500769210,9,0
1500773710,1,0
1500784510,1,0
1500798010,8,0
1500817211,1,0
1500826810,22,0
1500835210,1,0
1500855610,13,3
1500865510,0,1
1500884410,10,0
1500885610,1,0
1500886209,0,1
1500910509,0,1
1500913210,13,0
1500920715,0,1
1500942009,20,0
1500969910,0,1
1500970811,11,0
1500986411,0,1
1500989111,0,1
1500999612,12,0
1501007116,0,1
1501012811,1,0
1501028411,11,3
1501029311,0,1
1501037111,1,0
1501037411,2,0
1501053611,0,1
1501057211,24,0
1501063811,0,1
1501086315,44,0
1501086612,52,0
1501101312,0,1
1501115114,65,0
1501115412,31,0
1501143912,78,0
1501144511,9,0
1501172412,0,1
1501172717,91,3
1501173312,7,0
1501201516,80,0
1501201813,30,0
1501202112,0,1
1501230319,83,0
1501230613,16,0
1501258812,2,0
1501259121,90,0
1501259413,4,0
1501270812,1,0
1501271413,1,0
1501280713,0,1
1501282812,0,1
1501285813,0,1
1501287613,22,0
1501287920,39,0
1501316412,13,0
1501345212,11,0
1501345814,1,0
1501346113,1,0
1501346413,1,0
1501352723,0,1
1501367712,0,0
1501374013,5,0
1501402812,27,0
1501431912,12,0
1501458912,0,1
1501460412,13,0
1501484713,0,1
1501489213,7,0
1501489513,2,0
1501489812,122,0
1501504213,0,1
1501518013,8,0
1501537212,0,1
1501546812,15,0
1501559712,1,0
1501572012,1,0
1501575613,13,0
1501596912,0,1
1501604412,9,0
1501610413,0,1
1501623312,0,1
1501633213,13,0
1501659613,0,1
1501662013,8,0
1501681212,0,1
1501690813,9,3
1501719613,21,3
1501742412,0,1
1501746013,1,0
1501748412,9,0
1501750212,0,1
1501753813,0,1
1501764912,0,1
1501777212,31,0
1501806012,25,0
1501834812,27,0
1501843212,0,1
1501847113,1,0
1501858812,0,1
1501863612,9,0
1501865712,0,1
1501870512,1,0
1501892413,28,0
1501908312,0,1
1501921212,10,0
1501950012,14,0
1501955713,1,0
1501959913,1,0
1501978813,12,0
1502007614,30,0
1502007917,1,0
1502031913,0,1
1502037013,94,0
1502065515,83,0
1502094316,85,0
1502094612,7,0
1502122212,0,4
1502122513,0,1
1502122812,0,4
1502123118,91,0
1502123713,0,1
1502151919,19,0
1502152512,65,0
1502174412,0,1
1502180718,83,0
1502181012,8,0
1502182213,0,1
1502203812,1,0
1502204713,1,0
1502210113,92,0
1502216113,0,1
1502226314,0,1
1502233814,0,1
1502238012,4,0
1502238314,60,0
1502250016,0,1
1502266813,6,0
1502267412,56,3
1502275513,0,1
1502295921,59,25
1502324713,82,0
1502353213,28,0
1502356813,0,1
1502357714,50,0
1502361014,1,0
1502377213,0,1
1502382013,22,6
1502410813,16,0
1502439613,10,0
1502468413,15,0
1502470212,0,1
1502497213,14,0
1502526014,9,3
1502534115,0,1
1502554813,14,0
1502583614,17,6
1502612413,12,0
1502632813,0,1
1502641213,10,0
1502666113,0,1
1502670013,17,0
1502696413,0,1
1502698817,35,3
1502727612,25,3
1502756412,23,0
1502766613,0,1
1502775313,0,1
1502780413,0,1
1502785215,12,0
1502787013,1,0
1502814013,16,0
