DateTime,AddedIPs,RemovedIPs
1494957628,256,0
1494971106,0,256
1495028707,0,256
1495029622,256,0
1495044021,256,0
1495121431,0,256
1495135820,256,0
1495150226,0,256
1495205108,0,768
1495224038,256,0
1495298708,0,256
1495305906,0,256
1495306820,256,0
1495309506,0,256
1495315056,256,0
1495382423,256,0
1495388049,256,768
1495464308,0,1024
1495480506,0,256
1495548448,256,0
1495550706,0,256
1495575020,0,256
1495633507,0,256
1495648826,256,0
1495690220,0,256
1495724115,768,0
1495755020,0,256
1495756834,256,0
1495806307,0,1024
1495811707,0,256
1495814966,256,0
1495819818,0,256
1495897570,1280,0
1495899016,0,512
1495906217,0,256
1495911712,256,0
1495982707,0,256
1495987221,512,0
1496023225,256,0
1496035829,0,256
1496069106,0,512
1496158218,256,0
1496159106,0,512
1496170181,0,256
1496174134,256,0
1496238755,512,0
1496241020,0,256
1496271032,0,512
1496334626,0,256
1496341819,1024,0
1496411451,256,256
1496431819,256,0
1496478631,256,0
1496503822,0,256
1496512422,0,256
1496519724,256,0
1496537505,0,256
1496584311,512,768
1496602210,256,0
1496621147,0,256
1496670715,256,0
1496677919,0,256
1496705425,256,0
1496757071,0,256
1496760731,0,512
1496764340,256,0
1496866505,0,256
1496871018,256,0
1496937622,0,512
1496995234,0,256
1497054621,0,256
1497072623,256,0
1497109978,512,0
1497110412,0,768
1497118505,0,512
1497125705,0,256
1497196814,0,256
1497199892,768,0
1497201305,0,256
1497271926,768,0
1497276007,256,0
1497281415,256,0
1497369614,0,512
1497380051,256,0
1497444674,0,256
1497484690,0,256
1497538391,512,0
1497544217,256,0
1497549212,0,256
1497550504,0,256
1497574214,256,0
1497628452,256,0
1497636285,0,512
1497668359,256,0
1497714709,768,0
1497726905,0,256
1497733224,0,256
1497801167,256,0
1497805211,0,256
1497815638,256,0
1497883982,256,0
1497972617,256,0
1498062619,256,0
1498092688,0,256
1498147211,768,0
1498157697,256,0
1498240816,0,256
1498266905,0,256
1498316093,0,1280
1498318227,0,256
1498323174,1024,0
1498395954,512,0
1498410907,256,0
1498412706,0,256
1498428110,0,256
1498489384,256,0
1498492817,0,256
1498498221,256,0
1498505421,0,256
1498511708,0,256
1498579226,0,256
1498586417,0,256
1498600330,256,256
1498650764,256,0
1498690688,0,256
1498763708,0,256
1498773624,768,0
1498775418,256,256
1498794707,256,0
1498829423,0,256
1498834374,0,256
1498863290,0,256
1498924189,256,0
1498931465,0,512
1498996278,768,0
1499003507,0,256
1499014529,0,256
1499027421,256,0
1499031023,256,0
1499100687,256,0
1499179932,0,256
1499190654,256,0
1499194427,256,0
1499261425,0,256
1499275826,0,256
1499277623,256,0
1499364029,256,0
1499378431,256,0
1499445023,0,256
1499500948,256,0
1499522475,256,0
1499526169,256,0
1499538619,256,0
1499629795,768,0
1499683905,256,0
1499694831,512,0
1499699083,256,0
1499700616,0,256
