DateTime,Entries,UniqueIPs
1499031023,49,15104
1499032655,48,14848
1499039377,47,14592
1499094020,47,14080
1499100687,47,14080
1499108105,48,14336
1499117422,47,14592
1499121018,48,14336
1499179932,46,13824
1499190654,46,14336
1499194427,48,14848
1499254221,47,14592
1499258707,46,14336
1499267707,47,14080
1499275826,45,13568
1499277623,47,14592
1499297096,46,14336
1499364029,49,15104
1499367630,50,15360
1499377509,51,14848
1499378431,52,15104
1499384708,51,14848
1499449505,50,14592
1499452204,47,13824
1499473817,47,13568
1499500948,48,13824
1499522475,49,14080
1499526169,50,14336
1499538619,51,14592
1499600965,50,14336
1499621418,49,14080
1499629795,53,15104
1499631307,52,14848
1499634905,52,14592
1499683905,53,14848
1499694831,55,15360
1499699083,57,15872
1499705511,56,15616
1499711418,55,15360
1499733020,56,15104
1499741448,55,14848
1499774416,57,15360
1499795580,53,14336
1499800507,52,14080
1499806494,51,13824
1499821218,50,13568
1499871621,49,13312
1499874617,50,13568
1499901306,49,13312
1499964537,51,13824
1499968816,50,13568
1499972418,49,13312
1499987705,48,13056
1500054669,49,13312
1500066037,47,12800
1500078619,48,13056
1500127217,46,12544
1500138016,45,12288
1500142504,44,12032
1500186627,43,11776
1500223793,46,12544
1500234571,45,12288
1500238243,46,12544
1500248964,47,12800
1500303086,44,12032
1500306568,48,13056
1500330623,47,12800
1500337821,48,13056
1500375122,51,13824
1500376507,49,13312
1500384617,50,13568
1500409828,51,13824
1500413425,50,13568
1500479401,49,13312
1500486770,51,14080
1500496224,52,14336
1500551384,54,15104
1500553817,55,15360
1500569382,56,15616
1500583793,57,15872
1500588910,56,15616
1500659378,55,15872
1500670145,54,15616
1500701430,55,15872
1500738681,57,16384
1500762622,56,16128
1500825033,60,17408
1500828535,58,16896
1500839315,57,16640
1500843115,56,16384
1500846578,55,16128
1500897049,60,17408
1500911455,59,17152
1500928221,58,16896
1500929604,60,17408
1500942626,59,17152
1500952506,58,16896
1500979863,56,16384
1500988507,55,16128
1501005130,60,17408
1501023624,59,17152
1501028107,58,16896
1501032625,57,16640
1501076954,59,17152
1501091460,58,16896
1501094989,57,16640
1501097417,58,16384
1501100108,57,16128
1501159847,56,15872
1501165827,55,15616
1501167000,59,16640
1501181396,59,16384
1501201825,58,16128
1501202994,57,15872
1501253388,60,16640
1501263019,57,15872
1501267859,58,16128
1501343390,56,15616
1501354301,60,16640
1501428618,58,16128
1501432217,57,15872
1501453821,56,15616
1501460107,55,15360
1501501777,53,14848
1501510506,52,14592
1501514108,51,14336
1501516233,50,14080
1501518617,50,14336
1501530569,51,14592
1501533021,52,14848
1501602532,54,15360
1501609733,53,14592
1501614907,52,14336
1501615821,53,14592
1501648228,52,14336
1501681734,51,14080
1501688946,52,14336
1501692520,51,14080
1501760980,52,14336
1501770616,50,13824
1501774217,49,13568
1501779215,50,13824
1501807779,51,14080
1501857028,50,13824
1501858154,51,14080
1501865361,52,14336
1501875027,53,14592
1501876138,52,14336
1501885826,51,14080
1501887621,52,14336
1501890616,51,14080
1501951763,52,14336
1501957819,51,14080
1501965022,50,13824
1501979430,51,14080
1502008227,50,13824
1502019907,49,13568
1502021706,48,13312
1502028088,49,13824
1502033419,48,13568
1502044222,49,13824
1502051420,50,14080
1502120960,48,13568
1502123429,47,13312
1502137830,46,12800
1502139002,47,13056
1502152221,47,13312
1502206220,45,12800
1502217018,44,12544
1502223308,44,12288
1502293783,42,11776
