DateTime,Entries,UniqueIPs
1508397624,36976,39953
1508398603,37087,40053
1508399556,36863,39802
1508400507,36912,39853
1508401465,36950,39873
1508402426,37001,39918
1508403396,37018,39936
1508404339,37050,39972
1508405317,37077,39992
1508405494,37133,40049
1508406255,37112,40015
1508407234,37141,40059
1508408189,37121,40041
1508409144,37106,40020
1508410105,37182,40081
1508411078,37194,40103
1508412022,37187,40076
1508412978,37217,40090
1508413954,37198,40079
1508414908,37182,40057
1508415863,37176,40043
1508416294,37227,40097
1508416827,37294,40164
1508417787,37265,40128
1508418754,37258,40127
1508419708,37287,40168
1508419893,37338,40220
1508420662,37284,40141
1508421617,37445,40332
1508422600,37403,40301
1508423551,37280,40143
1508424505,37290,40171
1508425476,37426,40342
1508426431,37462,40375
1508427387,37374,40255
1508428370,37538,40461
1508429305,37516,40460
1508430007,37515,40459
1508430267,37522,40489
1508430693,37567,40534
1508431212,37523,40506
1508432191,37440,40388
1508433138,37592,40576
1508434095,37548,40535
1508434293,37578,40568
1508435065,37563,40569
1508436034,37503,40534
1508436977,37494,40507
1508437963,37479,40503
1508438894,37559,40578
1508439874,37455,40461
1508440827,37492,40494
1508441785,37657,40681
1508442743,37498,40492
1508443699,37660,40666
1508444654,37632,40639
1508445094,37671,40680
1508445639,37377,40336
1508446572,37566,40552
1508447556,37490,40473
1508448497,37446,40428
1508450499,37238,40199
1508451613,37413,40421
1508452451,37416,40424
1508452579,37376,40377
1508453193,37412,40415
1508453539,37208,40127
1508454491,37342,40284
1508455470,37357,40322
1508456172,37358,40323
1508456424,37326,40298
1508456793,37355,40327
1508457372,37369,40338
1508458344,37358,40321
1508459291,37402,40371
1508460259,37452,40412
1508460393,35153,38019
1508461230,35138,38024
1508462190,35134,38005
1508463152,35153,38042
1508464101,35108,37997
1508465316,35144,38059
1508466283,35170,38115
1508467225,35092,38034
1508467593,35117,38062
1508468173,35072,38019
1508469259,35094,38036
1508470088,35091,38032
1508470344,35110,38047
1508471296,35153,38104
1508472272,35140,38098
1508473217,35113,38069
1508473932,35112,38068
1508474184,35141,38106
1508474793,35290,38259
1508475142,35177,38099
1508475856,35174,38097
1508476103,35185,38117
1508477054,35217,38170
1508478029,35251,38216
1508478393,35289,38262
1508478974,35282,38245
1508479964,35275,38248
1508480895,35297,38269
1508481872,35287,38249
1508481993,35328,38291
1508482840,35373,38333
1508483800,35334,38302
1508484738,35380,38346
1508485709,35471,38447
1508486677,35450,38421
1508487975,35344,38313
1508489065,35368,38325
1508489193,35427,38387
1508490032,35406,38365
1508490981,35412,38384
1508491684,35413,38385
1508491957,35446,38425
1508492909,35428,38393
1508493878,35436,38399
1508494823,35499,38459
1508495783,35490,38466
1508496394,35536,38514
1508496751,35529,38507
1508497717,35529,38506
1508498661,35498,38468
1508499614,35462,38413
1508499993,35504,38459
1508500597,35513,38474
1508501542,35566,38553
1508502504,35570,38551
1508503476,35568,38529
1508503593,35641,38602
1508504440,35647,38600
1508505382,35538,38488
1508506352,35590,38543
1508507308,35599,38577
1508508280,35627,38595
1508509226,35621,38609
1508510197,35611,38626
1508510793,35672,38689
1508511175,35690,38698
1508512121,35702,38719
1508513057,35697,38706
1508514016,35720,38723
1508514394,35775,38783
1508515010,35788,38791
1508515957,35789,38779
1508516899,35765,38749
1508517860,35708,38645
1508517993,35761,38700
1508518844,35694,38618
1508519786,35638,38589
1508520754,35629,38581
1508521696,35707,38668
1508522675,35711,38651
1508523630,35685,38616
1508525343,35659,38550
1508526264,35826,38750
1508527235,35575,38475
1508528172,35740,38668
1508529169,35568,38464
1508530095,35750,38675
1508531064,35664,38581
1508532023,35882,38844
1508532393,35906,38869
1508532989,35726,38655
1508533954,35945,38912
1508534898,35649,38582
1508535372,35681,38614
1508535866,35818,38791
1508535994,35865,38839
1508536855,36064,39067
1508537791,36095,39109
1508538807,36117,39118
1508539213,36083,39083
1508539709,36174,39161
1508540687,36152,39159
1508541625,36151,39159
1508542575,36205,39201
1508543194,36233,39234
1508543553,36242,39235
1508544502,36258,39244
1508545500,36307,39301
1508546427,36312,39262
1508546793,34980,37879
1508547392,34948,37843
1508548346,34940,37857
1508549303,34925,37834
1508550269,34987,37894
1508550394,35009,37916
1508551227,34947,37828
1508552199,34967,37856
1508553137,35038,37914
1508554125,35073,37938
1508555063,35112,37980
1508556018,35090,37967
1508556982,35193,38061
