DateTime,AddedIPs,RemovedIPs
1508277630,32,3
1508278588,32,28
1508279699,68,78
1508280734,36,21
1508281700,29,29
1508282683,30,30
1508283633,31,36
1508284573,30,30
1508285804,32,43
1508286746,18,23
1508287695,28,37
1508288670,40,46
1508289639,35,39
1508290593,26,36
1508291536,34,54
1508292516,37,38
1508293472,35,33
1508294412,31,24
1508295389,57,35
1508296334,35,29
1508297321,46,37
1508298261,33,33
1508299223,54,33
1508300198,57,112
1508301162,21,22
1508302096,40,37
1508303077,64,36
1508304012,23,39
1508304994,34,22
1508305949,36,39
1508306897,29,28
1508307865,32,31
1508308838,26,43
1508311024,62,78
1508311945,12,38
1508312909,27,28
1508313873,74,33
1508314833,28,38
1508315775,20,33
1508316761,43,44
1508317693,34,32
1508318679,36,23
1508319627,20,28
1508320612,38,43
1508321546,42,27
1508322516,34,37
1508323477,41,35
1508324437,46,43
1508325383,27,30
1508326376,35,33
1508327294,20,27
1508328278,40,42
1508329235,37,36
1508330315,35,0
1508331379,46,27
1508332341,36,28
1508333307,36,58
1508334259,24,2
1508335241,48,32
1508336211,41,69
1508337149,35,33
1508338101,23,3
1508339077,35,23
1508340035,42,54
1508340985,35,50
1508341974,32,32
1508342910,39,0
1508343874,28,68
1508344827,42,36
1508345530,20,13
1508345788,22,7
1508346756,1339,1388
1508347699,37,52
1508348669,35,45
1508349648,52,48
1508350578,50,47
1508351565,44,30
1508352495,30,29
1508353471,44,53
1508354413,30,39
1508355401,46,47
1508356335,42,60
1508357312,69,39
1508358266,73,55
1508359218,48,35
1508360186,42,37
1508360921,18,9
1508361157,52,38
1508362107,36,32
1508363073,40,44
1508364023,47,45
1508364732,18,25
1508365365,50,59
1508366427,44,35
1508368624,73,133
1508369535,30,2
1508370510,34,49
1508371478,17,32
1508372433,43,32
1508373387,30,58
1508374337,39,31
1508375293,39,47
1508376288,42,37
1508377228,37,31
1508378438,64,38
1508379393,44,41
1508380349,46,34
1508381293,49,39
1508382273,50,31
1508383223,73,43
1508384176,41,20
1508385142,44,46
1508386097,57,23
1508387055,169,82
1508388026,45,32
1508388981,41,33
1508389980,42,24
1508390892,58,36
1508391861,43,38
1508392827,52,42
1508393796,49,30
1508394740,42,36
1508395709,31,30
1508396663,40,35
1508397624,35,38
1508398603,44,47
1508399556,43,50
1508400507,52,39
1508401465,46,26
1508402426,53,31
1508403396,30,23
1508404339,45,31
1508405317,42,22
1508406255,36,19
1508407234,55,18
1508408189,32,31
1508409144,31,32
1508410105,55,96
1508411078,29,36
1508412022,43,45
1508412978,45,31
1508413954,53,80
1508414908,38,0
1508415863,40,54
1508416827,118,2
1508417787,35,37
1508418754,33,29
1508419708,27,28
1508420662,22,33
