DateTime,AddedIPs,RemovedIPs
1508428922,1,2
1508428942,0,1
1508430121,4,4
1508430724,63,57
1508431321,7,0
1508432543,38,12
1508433122,2,1
1508433722,1,0
1508434563,0,67
1508434922,4,6
1508435521,10,0
1508436121,3,1
1508436484,209,97
1508436723,1,0
1508437321,9,2
1508437922,10,3
1508438522,4,0
1508439802,0,2
1508440922,15,5
1508441522,0,1
1508442244,76,134
1508442721,5,3
1508443322,4,4
1508443402,0,2
1508443921,9,1
1508444522,2,0
1508445122,4,0
1508446083,76,5
1508447002,2,3
1508448004,0,102
1508448248,1,0
1508450415,95,8
1508450543,2,0
1508451721,5,2
1508452322,55,13
1508452921,1,3
1508454244,12,181
1508454721,16,9
1508455321,4,5
1508455921,19,3
1508456162,116,3
1508456521,16,5
1508457802,3,9
1508458085,0,95
1508458322,2,0
1508460003,67,0
1508460121,6,7
1508460722,1,4
1508461322,8,0
1508462522,7,6
1508463122,17,2
1508463842,80,29
1508464321,4,7
1508464942,10,9
1508465769,7,172
1508466121,3,0
1508466722,6,0
1508467321,2,8
1508467682,93,0
1508468542,4,6
1508469721,1,4
1508470322,3,5
1508470921,3,1
1508471522,87,10
1508472203,4,7
1508472722,1,0
1508473445,2,182
1508474522,2,3
1508475122,0,3
1508475721,13,0
1508475803,0,1
1508476355,26,44
1508476922,35,6
1508477538,190,0
1508478121,8,0
1508479444,5,174
1508479921,4,12
1508480522,2,0
1508481364,65,0
1508481722,3,1
1508483003,18,11
1508483522,4,3
1508484121,1,0
1508484721,5,14
1508485205,63,64
1508485322,3,2
1508485921,4,0
1508486603,2,1
1508487122,0,1
1508488321,1,7
1508489045,63,63
1508489522,1,0
1508490203,9,14
1508490962,129,27
1508491322,1,2
1508492521,1,0
1508492883,49,150
1508493123,2,3
1508493803,13,4
1508494232,1,0
1508494922,34,6
1508495521,3,1
1508496121,3,1
1508496723,59,7
1508497403,21,6
1508497921,10,0
1508498644,3,102
1508499122,7,0
1508499722,2,6
1508500321,27,14
1508501003,4,1
1508501521,2,0
1508502121,1,1
1508502483,67,0
1508502722,0,2
1508503322,5,1
1508503922,4,0
1508504413,66,120
1508504603,1,2
1508505721,3,1
1508506322,77,0
1508507047,9,1
1508507521,1,0
1508508143,4,1
