DateTime,Entries,UniqueIPs
1508364048,30427,46325
1508365350,30569,46468
1508365838,30468,46364
1508366710,30442,46338
1508368608,30478,46373
1508368806,30575,46471
1508370505,30571,46464
1508370722,30453,46346
1508371807,30526,46418
1508372429,30525,46417
1508372886,30663,46301
1508373037,30664,46557
1508373730,30492,46383
1508374332,30491,46383
1508375707,30497,46391
1508376273,30495,46386
1508377331,30553,46440
1508378433,30558,46444
1508379307,30595,46481
1508379607,30700,46586
1508380344,30696,46583
1508380908,30682,46566
1508381991,30783,46668
1508382259,30773,46656
1508382602,30754,46638
1508384172,30752,46635
1508384707,30781,46668
1508385663,30774,46659
1508386093,30768,46655
1508386447,30842,46729
1508387441,30918,46806
1508388022,30899,46787
1508388307,30805,46689
1508389331,30822,46703
1508389953,31204,47107
1508390133,31281,47186
1508390887,31357,47266
1508391907,31261,47169
1508393782,31263,47170
1508394510,31395,47307
1508395331,31244,47157
1508395704,31241,47152
1508397007,31473,47383
1508397610,31469,47380
1508399108,31756,47669
1508399550,31758,47669
1508400907,31952,47865
1508401461,31944,47858
1508401839,32230,48149
1508402414,32178,48097
1508403382,32172,48091
1508404041,32395,48316
1508405313,32596,48518
1508405850,32630,48549
1508406754,32660,48580
1508407297,32779,48693
1508408046,32946,48861
1508409139,33229,49145
1508409906,33399,49316
1508411064,33598,49514
1508411407,33619,49532
1508412365,33828,49742
1508412973,33831,49742
1508413207,33850,49760
1508414903,33850,49760
1508415607,34174,50084
1508416822,34170,50082
1508417767,34297,50213
1508418738,34243,50156
1508419547,34399,50313
1508420657,34300,50215
1508421367,34449,50367
1508422215,34365,50280
1508422586,34379,50293
1508423287,34596,50514
1508424501,34425,49577
1508426427,34439,49590
1508427730,34430,49582
1508428366,34425,49576
1508428490,34422,50852
1508429646,34395,50822
1508430252,33558,49956
1508430621,33479,49877
1508431330,33487,49883
1508432187,33492,50145
1508432644,33462,50116
1508433607,33557,50214
1508434091,33955,50620
1508434506,33830,50491
1508435407,33915,50321
1508436030,33925,50840
1508436910,33837,50750
1508437949,33858,50772
1508438530,33827,50742
1508439648,33823,50740
1508439869,33829,50747
1508440507,33977,50895
1508441407,33945,50855
1508441771,33949,50859
1508442307,34076,50986
1508443694,34077,50732
1508444108,34162,50815
1508444886,34268,50921
1508445625,34268,50922
1508446857,34256,50910
1508447551,34259,50908
1508450484,34314,50962
1508451309,34367,51272
1508452452,34437,51342
1508453107,34324,51227
1508454268,34315,51218
1508454606,34341,51243
1508456173,34327,51231
1508456528,34255,51158
1508458328,34247,51152
1508458507,34266,51171
1508459436,34265,51170
1508460255,34259,51162
1508460906,34239,51138
1508461727,34179,51079
1508462176,34168,51067
1508463008,34063,50959
1508464097,34069,50966
1508465707,34158,51052
1508466268,34158,51052
1508466637,34284,51178
1508467507,34126,51014
1508468168,34120,51007
1508468647,34126,51016
1508469607,34230,51120
1508470089,34229,51119
1508470235,34276,51166
1508471107,34110,50994
1508472028,34095,50979
1508472602,2074,18728
1508473669,34218,51107
1508473933,34211,51101
1508474706,34174,51062
1508475692,34158,51044
1508475857,34538,51433
1508477436,34614,51509
1508478025,34622,51515
1508478307,34618,51512
1508479950,34651,51546
1508481867,34676,51572
1508482281,34672,51821
1508482557,34694,51845
1508483795,34647,51795
1508485508,34580,51726
1508485705,34578,51724
1508487958,34583,51730
1508488236,34594,51742
1508489107,34209,51354
1508489766,34198,51343
1508490210,34031,51177
1508491207,34143,51291
1508491685,34136,51285
1508492411,33819,50969
1508493307,33901,51052
1508493873,33892,51044
1508494111,33882,51034
1508494506,33935,51089
1508495262,34061,51216
1508495769,34059,51214
1508496130,33857,51006
1508497252,33621,50768
1508497713,33624,50772
1508498107,33732,50883
1508499036,33538,50687
1508499609,33537,50687
1508499906,33584,50733
1508500903,33414,50562
1508501538,33420,50568
1508501646,33465,50614
1508502607,33157,50304
1508503462,33161,50306
1508503507,33228,50374
1508504446,32985,50126
1508505378,33043,50183
1508506207,32825,49965
1508507296,32819,49959
1508508568,32778,49919
1508509220,32776,49918
1508509721,32848,49990
1508510646,32547,49685
1508511171,32546,49683
1508511620,32547,49939
1508512510,32408,49802
1508512806,32488,49882
1508513052,32495,49890
1508513420,32495,50145
1508513856,32289,49937
1508514995,32294,48665
1508515807,32098,48471
1508516108,32100,48218
1508516895,31418,47502
1508517306,31179,47264
1508518207,31126,47465
1508518831,31492,47846
1508519708,31309,47663
1508520748,31361,47717
1508521295,30985,47340
1508522325,30832,47442
1508522660,30832,47441
1508523307,30870,47477
1508525328,30562,47171
1508526095,30432,47038
1508527230,30494,47099
1508527825,30282,46885
1508529154,30180,46779
1508529367,30228,46829
1508529645,30219,47075
1508530206,30095,46951
1508531059,30090,46691
1508531430,30170,47027
1508532132,29774,46631
1508532974,29779,46635
1508533270,29833,46692
1508533807,29687,46544
1508534893,29741,46601
1508536841,29728,46587
1508537406,29304,46159
1508538486,29377,46232
1508538803,29374,46229
1508539330,29060,45911
1508540391,29006,45858
1508540673,29002,45855
1508541314,29040,45894
1508542210,28842,45697
1508542571,28830,45685
1508543107,28816,45417
1508544497,28812,45413
1508544606,28792,45393
1508545835,28624,45222
1508546422,28622,45221
1508546706,28619,45218
1508548342,28618,45217
1508548446,28544,45142
1508549385,28341,44934
1508550254,28329,44922
1508550654,28297,44889
1508551126,28152,44742
1508552195,28193,44783
1508554111,28064,44648
1508554566,28047,44632
1508555407,27957,44540
1508556014,27951,44534
1508556634,27845,44424
1508557938,27842,44419
1508558245,27894,44472
1508559250,27805,44383
1508559870,27804,44382
1508560226,27877,44456
1508561107,27611,44188
1508561774,27603,44178
1508562019,27658,44234
1508562606,27555,44130
1508563695,27901,44489
1508564374,27722,44311
1508565709,27716,44304
1508566207,27616,44203
1508567741,27286,43869
1508568307,27286,43613
1508568901,27197,43525
1508569861,27192,43519
1508570107,26910,43239
1508571038,2454,18601
1508571738,2450,18598
1508571910,26350,42682
1508572847,26397,42729
1508574096,26094,42427
1508575506,25615,41950
1508576045,25616,41949
1508577306,25380,41712
1508577969,25460,41792
1508578666,24998,41332
1508579897,24736,41068
1508580606,24471,40801
1508581702,24522,40852
1508582319,24088,40417
1508583732,24084,40413
1508584206,23733,40062
1508585106,23779,40109
1508585533,23777,40108
1508586006,23468,39798
1508586858,23531,39862
1508587473,23527,39857
1508587806,23304,39632
1508589034,23126,39453
1508589379,23128,39455
1508590818,23180,39507
1508591299,23179,39507
1508591706,23148,39477
1508592486,23209,39538
1508593208,23200,39529
1508593507,23084,39411
1508594478,22948,39273
1508595128,22932,39256
1508595307,22987,39311
1508596207,22876,39201
1508596233,22875,37670
1508597088,22866,37661
1508597107,22839,37627
1508599244,22817,37602
1508599835,22690,37475
1508600621,22739,37524
1508601165,22734,37517
1508601656,22620,37399
1508602447,22689,38233
1508603053,21968,37494
1508603423,22004,37531
1508604306,21853,37378
1508604973,21856,37381
1508605807,21856,37382
1508606893,22361,37894
1508607906,22273,37806
1508608831,22276,38065
1508609706,22173,37964
1508610749,22219,38011
1508611336,21942,37478
1508612659,21947,37483
1508613006,21844,37380
1508614570,21839,37374
1508614806,21754,37287
1508615706,21808,37341
1508616490,21797,37330
1508616905,21689,37220
1508617831,21736,37523
1508618421,21736,37522
1508619319,21581,37372
1508620347,1910,17529
1508621285,21536,37325
1508622307,21406,37193
1508623326,21264,37050
1508624192,21256,37042
1508624887,21343,37130
1508625727,21196,36981
1508626090,21190,36976
1508626566,21230,37016
1508627705,21177,36963
1508628008,21158,36944
1508628631,21169,36700
1508629507,21056,36591
1508629926,21043,36578
1508631857,20997,36531
1508632087,21065,36602
1508633107,20864,36398
1508633779,20854,36388
1508634906,20770,36303
1508635700,20761,36295
1508636527,20607,36141
1508637612,20602,36138
1508638206,20548,36080
1508639532,20541,36074
1508640307,20393,35927
1508641471,20433,35969
1508641792,20334,35870
1508642887,20413,35949
1508643392,20411,35948
1508643907,20170,35706
1508644807,1852,17219
1508645320,1875,17243
1508645711,20087,35625
1508647212,20090,35627
1508647327,19900,35435
1508649149,20330,35875
1508649607,20314,35860
1508650507,20114,35655
1508651069,20114,35656
1508651407,20106,35647
1508653001,20102,35643
1508653838,20091,35634
1508654903,19871,35414
1508655885,19851,35396
1508656843,19906,35451
1508658768,19763,35309
1508660106,19760,35307
1508660671,19749,35295
1508660887,19790,35337
1508661728,19607,35151
1508662572,19602,35146
1508662732,19502,35045
1508663708,19536,35079
1508664505,19509,35050
1508664907,19223,34765
1508666440,19187,34726
1508666677,19025,34565
1508667607,19077,34626
1508668353,19070,34620
1508668807,18768,34321
1508670264,18745,34298
1508670606,18703,34259
1508672197,18688,34244
1508672960,18667,34225
1508674106,18649,34208
1508675145,18643,34204
1508676017,18634,34195
1508676877,18583,34144
1508678454,18529,34089
1508678707,18581,34142
1508679607,18487,34106
1508680366,18479,34098
1508681322,18482,34101
1508682306,18541,34161
1508683507,18405,34024
1508684184,18397,34016
1508684412,18347,33963
1508685307,18398,34015
1508686104,18397,34014
1508686207,18298,33913
1508686237,18297,33402
1508687468,18306,34687
1508688022,17713,34069
1508688607,17723,34079
1508688906,17723,33824
1508689439,17794,33895
1508689941,17793,33894
1508690407,17497,33596
1508691195,17506,33605
1508691682,17465,33561
1508691861,17740,33842
1508692515,17800,33905
1508693407,17746,33850
1508693794,17749,33853
1508694307,17788,33893
1508695695,17798,34158
1508696106,17783,34140
1508697007,17696,34052
1508697628,17707,33807
1508697907,17740,33838
1508699554,17750,33849
1508699706,17777,33876
1508700487,17860,33959
1508701506,17768,33866
1508703376,17767,33866
1508704086,17830,33929
1508705011,17701,33800
1508705295,17704,33803
1508705515,17701,34054
1508707242,17708,34058
1508707658,17763,34115
1508707823,17763,34370
1508708528,17643,34248
1508709149,17648,34253
1508709554,17611,34216
1508710507,17664,34269
1508711486,17664,34270
1508712307,17599,34496
1508713461,17651,34551
1508713753,17657,34556
1508714657,17748,34647
1508715373,17751,34651
1508715613,17616,34515
1508716271,17626,34525
1508717301,17627,34526
1508718609,1732,18371
1508719209,1729,18367
1508719459,17603,34494
1508721127,17600,34490
1508721307,17716,34605
1508722234,17839,34729
1508723053,17752,34640
1508723768,17841,34729
1508724607,17830,34713
1508724973,17830,34712
1508725584,17917,34801
1508726707,17832,34973
1508726895,17836,34975
1508728837,17849,34987
1508729475,17780,34916
1508730731,17789,34925
1508732658,17797,34933
1508732886,17875,35012
1508733907,17772,34911
1508734583,17770,34909
1508734825,17805,34944
1508735407,17777,34915
1508736508,18060,35205
1508736613,17995,35141
1508737508,18058,35205
1508738435,18106,35254
1508739006,18051,35197
1508740354,18023,35172
1508741075,18047,35194
1508742279,18071,35223
1508742907,18118,35271
1508743977,18089,35242
1508744183,18095,35248
1508744529,18137,35290
1508746101,18144,35298
1508746447,18165,35316
1508747388,18096,35247
1508748026,18101,35252
1508748128,18117,35269
1508748966,18194,35348
1508749950,18146,35299
1508750887,18231,35384
1508751896,18196,35349
1508752566,18242,35395
1508753795,18167,35321
