DateTime,AddedIPs,RemovedIPs
1507836975,16,2
1507839446,6,0
1507840804,66,64
1507843228,1,0
1507846644,5,0
1507847435,845,801
1507847881,25,1
1507848483,55,48
1507852965,0,35
1507853843,4,0
1507856416,710,848
1507858237,1784,1835
1507858806,13,6
1507860244,637,482
1507867923,687,662
1507868268,3,0
1507868701,1389,1355
1507869852,18,6
1507875613,404,409
1507879501,1180,1188
1507880823,10,3
1507881769,1,0
1507882639,2,1
1507883282,248,255
1507888275,1,0
1507889834,3,0
1507890301,1199,1213
1507890963,237,228
1507891924,15,3
1507896172,0,26
1507897037,254,316
1507898643,166,160
1507901101,1126,1091
1507903094,14,7
1507904240,14,257
1507906323,155,145
1507910644,187,165
1507911444,3,0
1507911901,1007,948
1507913246,1,0
1507914007,271,6
1507916899,406,426
1507918323,122,116
1507918641,3,0
1507919765,1,0
1507922701,914,923
1507923607,8,4
1507924935,14,4
1507925843,253,0
1507926243,104,101
1507927640,1,0
1507933041,3,1
1507933923,946,923
1507935688,6,6
1507936641,1,0
1507940107,0,19
1507940242,1,0
1507941035,251,0
1507941603,886,828
1507944735,1982,2025
1507946636,16,8
1507947434,1,0
1507949763,611,637
1507953844,688,666
1507954664,2,1
1507955429,1338,1316
1507957953,7,2
1507962003,410,384
1507965901,1195,1225
1507968956,19,6
1507969033,17,0
1507969684,272,269
1507976240,1,1
1507977033,1234,1295
1507977362,157,165
1507980206,11,7
1507982567,242,401
1507983433,1,0
1507985047,129,126
1507987835,1144,1102
1507990347,424,398
1507990638,2,0
1507991148,15,6
1507992723,112,99
1507993216,1007,0
1507996320,250,0
1507997839,4,0
1507998301,1061,1066
1508000409,169,160
1508002056,12,6
1508002224,252,0
1508003466,251,0
1508004243,112,98
1508005229,12,0
1508009101,905,996
1508010981,3,3
1508012163,149,130
1508012240,13,1
1508013036,15,4
1508013903,0,251
1508019858,89,80
1508020342,810,752
1508021477,256,0
1508024134,19,5
1508026508,0,19
1508026643,7,0
1508027523,862,853
1508030701,2334,2480
1508033844,4,0
1508035203,548,567
1508041067,3,0
1508041501,1175,1184
1508042883,642,610
1508046243,7,6
1508048243,4,0
1508049372,0,1
1508050564,448,443
1508052301,1032,1031
1508055440,7,0
1508057288,15,4
1508058243,252,255
1508058351,1,1
1508062082,229,234
1508062639,4,0
1508063431,1014,999
1508068335,15,2
1508069763,428,570
1508069839,4,0
1508074232,629,626
1508077038,3,0
1508077683,221,214
1508078657,262,267
1508079203,8,6
1508080644,1,0
1508084106,488,255
1508084701,1138,1038
1508085604,201,210
1508090330,7,4
1508091443,2,0
1508093299,139,123
1508095038,1,0
1508095501,1024,1006
1508099415,247,0
1508100963,135,140
1508101250,10,4
1508105843,3,0
1508106627,804,798
1508108643,92,89
1508111938,10,8
1508112484,892,864
1508112913,0,30
1508113039,3,0
1508117101,1797,2076
1508120164,563,604
1508123039,8,8
1508126567,3,0
1508127843,631,599
1508127901,1309,1313
1508134021,11,6
1508135523,447,430
1508138701,1155,1200
1508142267,4,0
1508143203,253,249
1508145045,5,6
1508149035,5,0
1508149834,1239,1264
1508150884,249,254
1508155272,1,0
1508156112,239,324
1508156244,2,0
1508158569,173,417
1508159710,0,254
1508160618,1119,1132
1508162643,123,107
1508163442,6,1
1508166510,256,260
1508167149,20,8
1508170323,223,197
1508170643,5,0
1508171101,1054,1054
1508174108,0,256
1508175141,1,0
1508178002,151,144
1508178136,13,247
1508181138,1,1
1508181901,981,918
1508185039,2,0
1508185686,132,124
1508185961,7,1
1508189252,23,5
1508192701,938,889
1508193049,255,0
1508193843,118,108
1508195793,1,1
1508199443,0,20
1508200296,10,6
1508201523,891,848
1508203501,2529,2671
1508206640,2,0
1508209443,607,678
1508211346,25,2
1508213298,678,628
1508213862,1,0
1508214301,1621,1617
1508220963,406,369
1508221035,2,0
1508222388,14,4
1508225101,1356,1376
1508229653,266,262
1508233398,12,3
1508235901,1127,1144
1508237282,202,207
1508241650,269,275
1508242637,6,0
1508243534,0,16
1508244431,18,2
1508244963,159,155
1508246701,1081,1076
1508248414,254,0
1508248861,2,0
1508249842,3,0
1508252643,126,105
1508254334,213,219
1508255539,11,6
1508256165,1,0
1508256482,190,168
1508257208,2,0
1508257828,987,934
1508259083,0,255
1508262439,1414,0
1508264162,103,105
1508264243,12,1
1508266456,10,4
1508266971,1,0
1508268301,863,910
1508271443,4,0
1508271857,91,78
1508273292,2,2
1508277363,20,8
1508278636,4,0
1508279101,1445,1428
1508279540,61,65
1508285835,3,0
1508287204,882,2266
1508288640,15,7
1508289901,3032,3246
1508293040,1,0
1508294882,557,598
1508299488,20,6
1508300270,3,0
1508301140,1622,1669
