DateTime,AddedIPs,RemovedIPs
1508368921,3,0
1508370121,2,1
1508370721,2,1
1508371322,1,8
1508372522,8,6
1508373121,2,0
1508373722,1,3
1508374322,2,4
1508374921,11,6
1508375522,3,1
1508376121,10,1
1508377322,5,4
1508377921,6,9
1508378521,4,1
1508379721,4,4
1508380322,2,0
1508380921,8,11
1508382121,0,3
1508383321,3,5
1508383922,1,8
1508384522,6,4
1508385122,0,3
1508385721,22,1
1508386922,4,5
1508387521,0,1
1508388122,1,0
1508389457,3,8
1508389921,3,0
1508390521,5,15
1508391721,14,2
1508392922,32,52
1508394123,14,5
1508394722,2,2
1508395322,6,0
1508395921,7,3
1508396522,1,0
1508397122,1,3
1508397721,0,11
1508399522,1,0
1508400121,1,4
1508400722,1,3
1508401322,3,6
1508401921,23,3
1508402522,4,1
1508403721,2,0
1508404321,2,0
1508404922,0,5
1508405581,3,1
1508406121,2,0
1508406721,1,1
1508407322,2,2
1508408522,31,3
1508409121,1,4
1508410322,0,1
1508410921,5,4
1508412122,0,3
1508412722,0,1
1508413321,11,15
1508414522,7,0
1508415721,22,25
1508416381,2,18
1508416922,3,5
1508418121,6,14
1508419321,2,0
1508420522,3,3
1508421722,19,10
1508422322,8,2
1508422921,1,1
1508423522,1,0
1508423581,0,6
1508424122,7,5
1508424722,0,1
1508425322,0,3
1508426522,1,5
1508427121,3,4
1508427721,2,3
1508428922,1,2
1508430121,4,4
1508431321,7,0
1508432522,38,10
1508433122,2,1
1508433722,1,0
1508434381,0,1
1508434922,4,6
1508435521,10,0
1508436121,3,1
1508436723,1,0
1508437321,9,2
1508437922,10,3
1508438522,4,0
1508440922,15,5
1508441522,0,1
1508442122,6,2
1508442721,5,3
1508443322,4,4
1508443921,9,1
1508444522,2,0
1508445122,4,0
1508445722,6,5
1508446922,2,1
1508448248,1,0
1508449922,0,8
1508450522,2,0
1508451721,5,2
1508452921,1,3
1508454121,12,4
1508454721,16,7
1508455321,4,5
1508455921,19,3
1508455981,0,3
1508456521,16,5
1508457722,3,9
1508458322,2,0
1508460121,6,7
1508460722,1,4
1508461322,8,0
1508462522,7,6
1508463122,17,2
1508463721,10,12
1508464321,4,7
1508464922,9,8
1508465521,7,0
1508466121,3,0
1508466722,6,0
1508467321,2,8
1508468522,4,4
1508469721,1,4
1508470322,3,5
1508470921,3,1
1508471522,1,0
1508472121,4,4
1508472722,1,0
1508473321,2,2
1508474522,2,3
1508475122,0,3
1508475721,13,0
1508476355,26,44
1508476922,36,6
1508477538,1,0
1508478121,8,0
1508479322,5,5
1508479921,4,12
1508480522,2,0
1508481722,3,1
1508482921,18,11
1508483522,4,3
1508484121,1,0
1508484721,6,14
1508485322,3,2
1508485921,4,0
1508486522,1,0
1508487122,0,1
1508488321,1,7
1508488922,3,4
1508489522,1,0
1508490122,9,14
1508491322,1,2
1508492521,1,0
1508493123,2,3
1508493722,13,3
1508494232,1,0
1508494922,34,6
1508495521,3,1
1508496121,3,1
1508496721,2,0
1508497322,21,1
1508497921,10,0
1508498521,3,6
1508499122,7,0
1508499722,2,6
1508500321,27,14
1508500923,2,1
1508501521,2,0
1508502121,1,1
1508502722,0,2
1508503322,5,1
1508503922,4,0
1508504522,1,0
1508505721,3,1
1508507047,9,1
1508507521,1,0
1508508121,4,1
1508509322,4,0
1508509981,7,2
1508510522,4,0
1508511121,0,1
1508511722,0,4
1508512322,1,12
1508512921,1,0
1508514122,15,5
1508514721,3,7
1508515322,1,0
1508515922,0,2
1508516522,8,0
1508517181,10,20
1508517722,1,5
1508518322,3,0
1508518922,0,2
1508520122,2,3
1508520721,3,0
1508521322,4,1
1508521922,1,0
1508522522,1,5
1508523121,5,0
1508524921,24,10
1508525521,2,0
1508526122,2,0
1508527322,16,9
1508528522,6,0
1508529722,9,6
1508530321,12,19
1508530921,2,6
