DateTime,AddedIPs,RemovedIPs
1495369668,231,268
1495389096,139,109
1495402872,256,122
1495452724,229,260
1495462188,410,401
1495476214,158,221
1495488034,321,245
1495539055,222,216
1495549144,127,125
1495563037,313,186
1495567806,253,271
1495625456,259,189
1495647703,535,318
1495651406,332,246
1495698652,214,178
1495711858,239,193
1495732900,177,255
1495735759,269,272
1495748156,142,249
1495798256,253,318
1495822310,515,436
1495885187,245,242
1495901430,229,197
1495912109,236,296
1495971047,256,227
1495971823,113,94
1495983928,210,229
1495997309,146,225
1496057455,281,227
1496058361,126,101
1496062911,281,296
1496065063,320,120
1496143873,283,250
1496220948,663,645
1496221173,109,166
1496221645,320,252
1496230268,167,202
1496270449,690,604
1496316673,143,234
1496326502,184,197
1496352134,239,166
1496403051,132,205
1496412741,290,244
1496417746,125,231
1496489462,143,258
1496513878,650,1065
1496516163,102,188
1496575847,135,241
1496662248,126,254
1496695784,395,400
1496748647,204,270
1496767806,255,248
1496835047,212,256
1496852635,294,273
1496921464,555,711
1496959970,369,318
1497007852,156,295
1497044629,1280,999
1497094257,149,167
1497105796,250,255
1497118136,107,202
1497180650,146,137
1497203102,246,261
1497205861,25,70
1497212159,4,18
1497214714,174,242
1497267061,115,116
1497277609,305,306
1497289590,475,376
1497353456,178,153
1497375174,693,684
1497378413,73,79
1497431647,369,267
1497440042,1739,128
1497461168,264,156
1497464108,135,148
1497482057,264,278
1497526246,245,118
1497547815,150,203
1497549316,98,137
1497551389,255,260
1497612657,2266,191
1497637557,798,615
1497699061,1034,200
1497720327,259,250
1497736562,250,424
1497785454,217,145
1497801988,315,235
1497815218,353,308
1497871859,137,137
1497885864,273,248
1497897254,317,127
1497958255,435,315
1497964394,279,280
1497974266,263,174
1497980180,149,289
1498044662,187,144
1498059409,486,417
1498066390,270,148
1498075890,216,224
1498131047,167,127
1498136938,129,131
1498142838,142,242
1498161171,289,261
1498217456,204,196
1498236874,798,535
1498303852,307,1849
1498317730,231,223
1498340042,175,137
1498390250,183,248
1498417783,473,563
1498472265,290,257
1498472779,257,162
1498476651,145,2265
1498499724,280,134
1498554702,359,307
1498554806,143,135
1498563058,203,1041
1498585565,148,203
1498640615,592,527
1498649454,218,232
1498666604,296,184
1498694066,320,358
1498715582,124,151
1498735853,223,168
1498777620,487,421
1498777633,90,1675
1498822255,190,163
1498837592,282,293
1498837608,143,221
1498908651,180,200
1498942504,163,401
1498995046,259,181
1498998493,311,283
1498999456,239,182
1499023701,251,99
1499081451,263,187
1499082505,303,325
1499106393,377,389
1499120802,246,146
1499167850,243,218
1499189342,451,474
1499244064,405,472
1499254257,219,212
1499264484,245,148
1499269242,177,143
1499296016,325,293
1499340653,192,168
1499381775,672,614
1499417767,162,204
1499427059,193,223
1499449183,386,485
1499513453,243,242
1499525895,227,243
1499537950,225,134
