DateTime,Entries,UniqueIPs
1507779370,2867,2867
1507781303,2856,2856
1507783465,2837,2837
1507785380,3641,3641
1507787296,3632,3632
1507789235,3621,3621
1507791167,3621,3621
1507793051,3613,3613
1507794968,3601,3601
1507796897,3595,3595
1507798816,3552,3552
1507800749,3536,3536
1507802661,3508,3508
1507804570,3481,3481
1507806502,3481,3481
1507808410,3468,3468
1507810328,3467,3467
1507812247,3454,3454
1507814173,3445,3445
1507816101,3448,3448
1507818005,3441,3441
1507819936,3439,3439
1507821849,3420,3420
1507825254,1910,1910
1507827149,1923,1923
1507829067,2567,2567
1507830984,2589,2589
1507832906,2630,2630
1507834851,2700,2700
1507837001,2748,2748
1507838895,2782,2782
1507840836,2814,2814
1507842749,2828,2828
1507844675,2845,2845
1507846992,2860,2860
1507848988,2869,2869
1507850888,2873,2873
1507852825,2853,2853
1507854742,2848,2848
1507856654,2830,2830
1507858566,2825,2825
1507860487,2806,2806
1507862420,2802,2802
1507864338,2795,2795
1507866249,2802,2802
1507868184,2789,2789
1507870103,2790,2790
1507872010,3374,3374
1507873940,3377,3377
1507875850,3370,3370
1507877777,3369,3369
1507879699,3366,3366
1507881606,3367,3367
1507883541,3360,3360
1507885456,3369,3369
1507887387,3364,3364
1507889297,3371,3371
1507891220,3405,3405
1507893141,3428,3428
1507895051,3421,3421
1507896989,3419,3419
1507898904,3419,3419
1507900810,3419,3419
1507902732,3418,3418
1507904653,3413,3413
1507906581,3420,3420
1507908509,3427,3427
1507910689,1741,1741
1507912590,1747,1747
1507914528,2365,2365
1507916426,2432,2432
1507918579,2486,2486
1507920503,2544,2544
1507922438,2581,2581
1507924334,2611,2611
1507926264,2634,2634
1507928184,2719,2719
1507930105,2778,2778
1507932043,2817,2817
1507933962,2904,2904
1507935875,2968,2968
1507937796,2991,2991
1507939706,2999,2999
1507941619,2994,2994
1507944156,2989,2989
1507946177,2973,2973
1507948324,2992,2992
1507950491,3007,3007
1507952292,3016,3016
1507954720,3014,3014
1507956990,3009,3009
1507958900,3557,3557
1507961081,3576,3576
1507962969,3587,3587
1507964913,3590,3590
1507966833,3608,3608
1507968743,3609,3609
1507970655,3593,3593
1507972596,3591,3591
1507974504,3601,3601
1507976656,3597,3597
1507978614,3587,3587
1507980750,3587,3587
1507982683,3594,3594
1507984593,3594,3594
1507986504,3591,3591
1507988423,3578,3578
1507990353,3576,3576
1507992257,3569,3569
1507994195,3569,3569
1507996101,3559,3559
1507998016,1980,1980
1507999944,1973,1973
1508001855,2689,2689
1508003785,2680,2680
1508005702,2700,2700
1508007876,2722,2722
1508009782,2762,2762
1508011714,2793,2793
1508013626,2816,2816
1508015545,2832,2832
1508017459,2838,2838
1508019398,2845,2845
