DateTime,AddedIPs,RemovedIPs
1501404757,12,0
1501419370,14,0
1501434078,10,1
1501448667,13,1
1501463315,5,0
1501478196,15,0
1501492811,6,0
1501507481,8,0
1501522112,4,1
1501536757,5,0
1501551635,1,0
1501566259,3,1
1501580911,9,0
1501595545,16,0
1501610195,15,1
1501624901,15,0
1501639470,27,1
1501654106,17,0
1501668742,11,0
1501683641,4,0
1501698768,3,1
1501713407,3,0
1501728030,1,1
1501742661,3,0
1501757306,4,0
1501772209,3,0
1501786865,2,0
1501801463,2,0
1501816105,5,0
1501830769,4,0
1501845412,3,0
1501860013,5,0
1501874661,4,0
1501889316,2,0
1501904205,4,1
1501918844,3,0
1501933463,3,1
1501948371,5,0
1501962984,5,0
1501977651,4,0
1501992522,4,0
1502007144,3,0
1502022050,3,1
1502036661,5,2
1502051288,7,0
1502065940,10,0
1502080594,4,0
1502095232,2,0
1502109865,12,0
1502124493,6,0
1502139152,6,1
1502153782,6,0
1502168486,1,0
1502183307,3,0
1502197959,7,0
1502212597,14,0
1502227221,10,0
1502241858,4,1
1502256510,6,0
1502271134,9,0
1502285781,7,1
1502300441,7,0
1502315049,7,0
1502329967,8,0
1502344578,6,0
1502359304,5,1
1502374115,7,0
1502389011,14,0
1502403622,8,0
1502418275,7,0
1502433168,8,0
1502447800,8,0
1502462425,6,0
1502477064,12,0
1502491961,12,1
1502506590,17,0
1502521252,17,0
1502535882,12,0
1502550489,14,0
1502565408,10,0
1502580262,14,2
1502594906,10,0
1502609557,5,0
1502624204,4,0
1502638836,7,5
1502653468,11,1
1502668089,10,1
1502682746,7,0
1502697372,10,0
1502712119,15,0
1502726671,9,0
1502741570,9,1
1502756203,9,0
1502771085,10,1
1502785725,10,0
1502800337,3,0
1502814996,3,0
1502829643,9,0
1502844249,5,0
1502858893,6,0
1502873544,8,1
1502888170,11,0
1502903070,6,1
1502917707,2,0
1502932359,7,0
1502946973,4,3
1502961641,11,0
1502976268,5,0
1502991161,5,0
1503005802,6,0
1503020413,8,0
1503035072,8,0
1503049710,8,0
1503064361,12,0
1503079000,4,0
1503093675,5,0
1503108522,9,0
1503123407,2,0
1503138042,6,0
1503152669,11,0
1503167319,8,0
1503182203,10,0
1503196844,5,0
1503211453,12,1
1503226105,6,1
1503240757,8,0
1503255661,8,1
1503270510,8,0
1503285147,7,0
1503299784,6,0
1503314447,2,0
1503329055,6,1
1503343710,7,0
1503358346,9,0
1503372972,10,1
1503387607,10,0
1503402256,7,1
1503417152,5,1
1503431769,9,1
1503446446,5,0
1503461050,4,0
1503475706,6,0
