DateTime,AddedIPs,RemovedIPs
1465734579,118,113
1465821321,145,117
1465900013,153,124
1465924367,71,92
1465993149,152,113
1466073194,137,119
1466085839,175,148
1466165884,82,91
1466311061,273,202
1466471872,231,158
1466519406,187,151
1466602569,152,128
1466682692,136,127
1466769201,174,137
1466786350,104,153
1466858444,157,158
1466900876,181,158
1466951655,90,100
1467027997,136,100
1467115270,120,118
1467199637,154,152
1467434329,223,198
1467584026,173,149
1467644341,164,142
1467725756,206,189
1467896207,213,233
1467901406,163,161
1467985428,111,78
1468016183,105,144
1468075549,153,86
1468158861,104,103
1468241033,139,119
1468255045,105,146
1468334603,88,99
1468508508,242,172
1468591984,213,186
1468677834,193,169
1468699677,157,121
1468865171,222,130
1468942325,168,133
1469024772,284,235
1469082751,276,257
1469123434,188,187
1469186156,210,123
1469249012,105,106
1469307928,362,99
1469376026,173,123
1469456165,373,141
1469534722,233,162
1469703334,579,219
1469845057,357,282
1469893853,410,129
1469980853,123,90
1470052257,337,120
1470224017,368,271
1470308742,564,150
1470334214,246,181
1470505649,716,316
1470585166,155,154
1470653040,338,351
1470703408,209,314
1470785336,235,136
1470834221,365,220
1470918988,737,261
1471004740,272,173
1471515973,453,533
1471600283,580,158
1471697002,342,259
1471783078,255,127
1471855435,228,164
1471960689,436,289
1472037185,221,122
1472157411,524,281
1472214341,217,131
1472281778,253,161
1472390935,360,217
1472461834,196,130
1472572313,453,266
1472654673,141,129
1472819403,555,303
1473078277,518,258
1473161752,340,187
1473246937,530,386
1473333962,194,318
1473524806,601,286
1473616659,474,346
1473765848,427,391
1473797813,123,146
1473869091,193,153
1473933768,225,306
1474041046,359,237
1474147676,762,154
1474217970,146,111
1474300509,262,216
1474374391,209,189
1474455412,222,178
1474554224,309,271
1474630123,177,140
1474643008,140,141
1474987667,254,351
1475235663,277,573
1475328899,435,190
1475499784,395,251
1475511249,277,209
1475589355,496,342
1475675344,463,413
1475791300,440,333
1475853118,799,172
1475936116,302,165
1476110398,420,320
1476190190,314,197
1476302636,5308,238
1476358663,224,221
1476509164,1316,375
1476630537,428,288
1476707554,259,253
1476786752,538,251
1476828119,389,317
1476887812,325,295
1476969423,337,319
1477053352,472,242
1477084788,378,275
