DateTime,Entries,UniqueIPs
1440181805,3314,888645
1440616814,3314,888645
1442182838,0,0
1442269802,3314,888645
1442530804,3314,888645
1453120809,3314,888645
1453207834,3314,888645
1453294803,3314,888645
1453381809,3314,888645
1453468806,3314,888645
1453555803,3314,888645
1453642805,3314,888645
1453729806,3314,888645
1500087870,3304,888478
1500174302,3300,888297
1500260793,3302,879645
1500347224,3298,887949
1500433747,3299,888305
1500520203,3304,888463
1500606667,3299,887592
1500693127,3301,887484
1500779669,3302,887836
1500866103,3302,887191
1500952572,3298,871927
1501039046,3298,887427
1501125486,3302,888632
1501211950,3292,887478
1501298413,3296,822380
1501384941,3301,888230
1501471387,3297,883487
1501557855,3301,888585
1501644308,3295,888528
1501730866,3299,887289
1501817293,3303,888432
1501903785,3299,888154
1501990202,3299,888020
1502076729,3300,888234
1502163211,3298,887973
1502249707,3304,888094
1502336165,3298,888329
1502422668,3302,887836
1502509090,3297,887794
1502595599,3303,888573
1502682101,3297,888088
1502768590,3296,885899
1502855102,3298,887800
1502941583,3294,880153
1503028037,3299,888592
1503114490,3302,888111
1503200986,3300,887594
1503287406,3297,821490
1503373879,3293,850414
1503460375,3299,888353
1503546783,3301,888339
1503633243,3305,888495
1503719712,3301,884020
1503892645,3300,881574
1503979118,3299,887479
1504065548,3298,885215
1504152003,3296,888551
1504238464,3297,888456
1504324923,3300,887117
1504411383,3300,888568
1504497846,3304,821761
1504584303,3302,887837
1504670766,3289,888179
1504757224,3295,887301
1504843689,3298,887955
1504930145,3303,887529
1505016604,3296,887698
1505103066,3303,887271
1505189525,3301,879909
1505275983,3297,886996
1505362446,3304,887326
1505535370,3297,888226
1505621827,3297,886552
1505708287,3299,888217
1505794746,3301,888632
1505881204,3297,887771
1505967664,3304,887575
1506054126,3298,888314
1506140585,3295,888192
1506227076,3301,888443
1506313505,3298,888320
1506399966,3300,880147
1506486423,3296,887993
1507351025,3292,821771
1507437485,3303,887248
1507523949,3299,855516
1507610405,3299,887834
1507696865,3295,888524
1507783328,3304,888031
1507869841,3302,887836
1507956303,3303,888509
1508042767,3294,886963
1508129225,3301,883709
1508215685,3293,880177
1508302143,3301,886574
1508388606,3291,833921
1508475068,3296,887354
1508561524,3298,887276
1508647987,3300,888361
1508734444,3305,888359
