DateTime,Entries,UniqueIPs
1440181870,40792,227983904
1440616863,40792,227983904
1442530856,40792,227983904
1453057837,40792,227983904
1453144839,40792,227983904
1453231839,40792,227983904
1453318828,40792,227983904
1453405838,40792,227983904
1453492864,40792,227983904
1453579841,40792,227983904
1453666835,40792,227983904
1465745904,40791,227983648
1500027089,40777,227979632
1500113546,40779,227915462
1500200005,40784,227917135
1500286465,40780,227982096
1500372920,40783,227713336
1500459373,40779,227982170
1500545958,40787,227983183
1500632486,40789,227913608
1500718932,40778,227915930
1500805405,40780,227786376
1500891938,40783,227983183
1500978447,40786,227982576
1501065010,40774,227915680
1501151484,40776,227981552
1501237949,40778,227981608
1501324393,40781,227980968
1501410861,40779,227978928
1501497311,40770,227967304
1501583906,40783,227981760
1501670352,40786,227973880
1501756821,40778,227916281
1501843285,40780,227974552
1501929840,40771,227901048
1502016253,40781,227895944
1502102734,40782,227981568
1502189269,40784,227898648
1502275693,40787,227916176
1502362294,40779,227915504
1502448769,40787,227980328
1502535191,40782,227784079
1502621679,40789,227982807
1502708119,40780,227917056
1502794671,40780,227981880
1502881100,40794,227959008
1502967561,40784,227982103
1503054014,40775,227980960
1503140503,40791,227980592
1503226932,40785,227982064
1503313393,40787,227973224
1503399906,40789,227979600
1503486372,40780,227916910
1503572939,40780,227981616
1503659390,40786,227915624
1503832278,40777,227917160
1503918874,40777,227883373
1504005322,40785,227916106
1504091772,40782,227915983
1504178362,40779,227904840
1504264813,40780,227961256
1504351450,40786,227982775
1504437911,40786,227883835
1504524611,40785,227982640
1504611094,40785,227916432
1504697533,40781,227981008
1504784017,40788,227880576
1504870595,40782,227818342
1504957213,40781,227982560
1505043869,40779,227982264
1505130355,40780,227917263
1505216829,40784,227981319
1505303419,40780,227916999
1505476459,40780,227588884
1505562918,40785,227981978
1505649443,40793,227983016
1505735969,40780,227917152
1505822419,40776,227916719
1505908885,40778,227908544
1505995332,40783,227949760
1506081797,40776,227980626
1506168279,40782,227982192
1506254711,40787,227983491
1506341172,40786,227917904
1506427705,40786,227981490
1507292852,40792,227982728
1507379339,40780,227983240
1507465752,40780,227851301
1507552210,40787,227915783
1507638760,40791,227848043
1507725244,40789,227981103
1507811728,40778,227848120
1507898169,40775,227906198
1507984812,40778,227973184
1508071298,40782,227648583
1508157778,40780,227915256
1508244361,40787,227983187
1508330778,40782,227916439
1508417299,40775,227978223
1508503759,40782,227835663
1508590296,40789,227884600
1508676753,40782,227983063
